period,scenario,backlog_stock,capacity_stock,perceived_backlog,corrective_action,investment_flow,service_flow,resistance_index,trust_stock,institutional_learning_stock,system_performance
20,Delayed correction,0.0,60.964,0.0,0.0,0.96,25.524,0.0,96.501,54.039,100.0
21,Delayed correction,0.0,61.156,0.0,0.0,0.96,25.605,0.0,98.91,55.095,100.0
22,Delayed correction,0.0,61.348,0.0,0.0,0.96,25.686,0.0,100.0,56.151,100.0
23,Delayed correction,0.0,61.54,0.0,0.0,0.96,25.766,0.0,100.0,57.207,100.0
24,Delayed correction,0.0,61.732,0.0,0.0,0.96,25.847,0.0,100.0,58.263,100.0
25,Delayed correction,0.0,61.924,0.0,0.0,0.96,25.928,0.0,100.0,59.319,100.0
26,Delayed correction,0.0,62.116,0.0,0.0,0.96,26.008,0.0,100.0,60.375,100.0
27,Delayed correction,0.0,62.308,0.0,0.0,0.96,26.089,0.0,100.0,61.431,100.0
28,Delayed correction,0.0,62.5,0.0,0.0,0.96,26.169,0.0,100.0,62.487,100.0
29,Delayed correction,0.0,62.692,0.0,0.0,0.96,26.25,0.0,100.0,63.543,100.0
30,Delayed correction,0.0,62.884,0.0,0.0,0.96,26.331,0.0,100.0,64.599,100.0
31,Delayed correction,0.0,63.076,0.0,0.0,0.96,26.411,0.0,100.0,65.655,100.0
32,Delayed correction,0.0,63.268,0.0,0.0,0.96,26.492,0.0,100.0,66.711,100.0
33,Delayed correction,0.0,63.46,0.0,0.0,0.96,26.573,0.0,100.0,67.767,100.0
34,Delayed correction,0.0,63.652,0.0,0.0,0.96,26.653,0.0,100.0,68.823,100.0
35,Delayed correction,0.0,63.844,0.0,0.0,0.96,26.734,0.0,100.0,69.879,100.0
36,Delayed correction,0.0,64.036,0.0,0.0,0.96,26.815,0.0,100.0,70.935,100.0
37,Delayed correction,0.0,64.228,0.0,0.0,0.96,26.895,0.0,100.0,71.991,100.0
38,Delayed correction,0.0,64.42,0.0,0.0,0.96,26.976,0.0,100.0,73.047,100.0
39,Delayed correction,0.0,64.612,0.0,0.0,0.96,27.057,0.0,100.0,74.103,100.0
40,Delayed correction,0.0,64.804,0.0,0.0,0.96,27.137,0.0,100.0,75.159,100.0
41,Delayed correction,0.0,64.996,0.0,0.0,0.96,27.218,0.0,100.0,76.215,100.0
42,Delayed correction,0.0,65.188,0.0,0.0,0.96,27.298,0.0,100.0,77.271,100.0
43,Delayed correction,0.0,65.38,0.0,0.0,0.96,27.379,0.0,100.0,78.327,100.0
44,Delayed correction,0.0,65.572,0.0,0.0,0.96,27.46,0.0,100.0,79.383,100.0
45,Delayed correction,0.0,65.764,0.0,0.0,0.96,27.54,0.0,100.0,80.439,100.0
46,Delayed correction,0.0,65.956,0.0,0.0,0.96,27.621,0.0,100.0,81.495,100.0
47,Delayed correction,0.0,66.148,0.0,0.0,0.96,27.702,0.0,100.0,82.551,100.0
48,Delayed correction,0.0,66.34,0.0,0.0,0.96,27.782,0.0,100.0,83.607,100.0
0,Structural leverage,58.0,47.521,58.0,14.875,12.355,21.391,2.008,56.004,37.412,100.0
1,Structural leverage,39.609,49.326,58.0,14.945,12.403,22.039,2.018,57.724,39.823,100.0
2,Structural leverage,20.633,51.426,58.0,15.015,12.45,22.807,2.027,60.193,42.233,100.0
3,Structural leverage,0.951,53.83,58.0,15.085,12.498,23.699,2.036,62.766,44.644,100.0
4,Structural leverage,0.0,56.257,58.0,15.155,12.545,24.718,2.046,65.42,47.053,100.0
5,Structural leverage,0.0,57.684,39.609,7.5,7.34,24.672,1.013,68.152,49.515,100.0
6,Structural leverage,0.0,58.132,20.633,0.0,2.24,24.227,0.0,70.931,52.027,100.0
7,Structural leverage,0.0,58.58,0.951,0.0,2.24,24.416,0.0,73.724,54.539,100.0
8,Structural leverage,0.0,59.028,0.0,0.0,2.24,24.604,0.0,76.532,57.051,100.0
9,Structural leverage,0.0,59.476,0.0,0.0,2.24,24.792,0.0,79.356,59.563,100.0
10,Structural leverage,0.0,59.924,0.0,0.0,2.24,24.98,0.0,82.194,62.075,100.0
11,Structural leverage,0.0,60.372,0.0,0.0,2.24,25.168,0.0,85.047,64.587,100.0
12,Structural leverage,0.0,60.82,0.0,0.0,2.24,25.356,0.0,87.916,67.099,100.0
13,Structural leverage,0.0,61.268,0.0,0.0,2.24,25.545,0.0,90.799,69.611,100.0
14,Structural leverage,0.0,61.716,0.0,0.0,2.24,25.733,0.0,93.698,72.123,100.0
15,Structural leverage,0.0,62.164,0.0,0.0,2.24,25.921,0.0,96.612,74.635,100.0
16,Structural leverage,0.0,62.612,0.0,0.0,2.24,26.109,0.0,99.541,77.147,100.0
17,Structural leverage,0.0,63.06,0.0,0.0,2.24,26.297,0.0,100.0,79.659,100.0
18,Structural leverage,0.0,63.508,0.0,0.0,2.24,26.485,0.0,100.0,82.171,100.0
19,Structural leverage,0.0,63.956,0.0,0.0,2.24,26.674,0.0,100.0,84.683,100.0
20,Structural leverage,0.0,64.404,0.0,0.0,2.24,26.862,0.0,100.0,87.195,100.0
21,Structural leverage,0.0,64.852,0.0,0.0,2.24,27.05,0.0,100.0,89.707,100.0
22,Structural leverage,0.0,65.3,0.0,0.0,2.24,27.238,0.0,100.0,92.219,100.0
23,Structural leverage,0.0,65.748,0.0,0.0,2.24,27.426,0.0,100.0,94.731,100.0
24,Structural leverage,0.0,66.196,0.0,0.0,2.24,27.614,0.0,100.0,97.243,100.0
25,Structural leverage,0.0,66.644,0.0,0.0,2.24,27.802,0.0,100.0,99.755,100.0
26,Structural leverage,0.0,67.092,0.0,0.0,2.24,27.991,0.0,100.0,100.0,100.0
27,Structural leverage,0.0,67.54,0.0,0.0,2.24,28.179,0.0,100.0,100.0,100.0
28,Structural leverage,0.0,67.988,0.0,0.0,2.24,28.367,0.0,100.0,100.0,100.0
29,Structural leverage,0.0,68.436,0.0,0.0,2.24,28.555,0.0,100.0,100.0,100.0
30,Structural leverage,0.0,68.884,0.0,0.0,2.24,28.743,0.0,100.0,100.0,100.0
31,Structural leverage,0.0,69.332,0.0,0.0,2.24,28.931,0.0,100.0,100.0,100.0
32,Structural leverage,0.0,69.78,0.0,0.0,2.24,29.12,0.0,100.0,100.0,100.0
33,Structural leverage,0.0,70.228,0.0,0.0,2.24,29.308,0.0,100.0,100.0,100.0
34,Structural leverage,0.0,70.676,0.0,0.0,2.24,29.496,0.0,100.0,100.0,100.0
35,Structural leverage,0.0,71.124,0.0,0.0,2.24,29.684,0.0,100.0,100.0,100.0
36,Structural leverage,0.0,71.572,0.0,0.0,2.24,29.872,0.0,100.0,100.0,100.0
37,Structural leverage,0.0,72.02,0.0,0.0,2.24,30.06,0.0,100.0,100.0,100.0
38,Structural leverage,0.0,72.468,0.0,0.0,2.24,30.249,0.0,100.0,100.0,100.0
39,Structural leverage,0.0,72.916,0.0,0.0,2.24,30.437,0.0,100.0,100.0,100.0
40,Structural leverage,0.0,73.364,0.0,0.0,2.24,30.625,0.0,100.0,100.0,100.0
41,Structural leverage,0.0,73.812,0.0,0.0,2.24,30.813,0.0,100.0,100.0,100.0
42,Structural leverage,0.0,74.26,0.0,0.0,2.24,31.001,0.0,100.0,100.0,100.0
43,Structural leverage,0.0,74.708,0.0,0.0,2.24,31.189,0.0,100.0,100.0,100.0
44,Structural leverage,0.0,75.156,0.0,0.0,2.24,31.378,0.0,100.0,100.0,100.0
45,Structural leverage,0.0,75.604,0.0,0.0,2.24,31.566,0.0,100.0,100.0,100.0
46,Structural leverage,0.0,76.052,0.0,0.0,2.24,31.754,0.0,100.0,100.0,100.0
47,Structural leverage,0.0,76.5,0.0,0.0,2.24,31.942,0.0,100.0,100.0,100.0
48,Structural leverage,0.0,76.948,0.0,0.0,2.24,32.13,0.0,100.0,100.0,100.0
0,Participatory learning,58.0,47.511,58.0,13.905,12.179,21.296,1.377,56.441,38.443,100.0
1,Participatory learning,39.504,49.316,58.0,14.039,12.265,21.949,1.39,58.601,41.886,100.0
2,Participatory learning,20.413,51.424,58.0,14.174,12.351,22.726,1.403,61.516,45.328,100.0
3,Participatory learning,0.604,53.845,58.0,14.308,12.437,23.631,1.416,64.523,48.769,100.0
4,Participatory learning,0.0,55.421,39.504,7.414,8.025,23.668,0.734,67.588,52.244,100.0
5,Participatory learning,0.0,56.113,20.413,0.295,3.469,23.319,0.029,70.681,55.755,100.0
6,Participatory learning,0.0,56.769,0.604,0.0,3.28,23.568,0.0,73.796,59.267,100.0
7,Participatory learning,0.0,57.425,0.0,0.0,3.28,23.843,0.0,76.934,62.779,100.0
8,Participatory learning,0.0,58.081,0.0,0.0,3.28,24.119,0.0,80.093,66.291,100.0
9,Participatory learning,0.0,58.737,0.0,0.0,3.28,24.394,0.0,83.275,69.803,100.0
10,Participatory learning,0.0,59.393,0.0,0.0,3.28,24.67,0.0,86.478,73.315,100.0
11,Participatory learning,0.0,60.049,0.0,0.0,3.28,24.945,0.0,89.704,76.827,100.0
12,Participatory learning,0.0,60.705,0.0,0.0,3.28,25.221,0.0,92.952,80.339,100.0
13,Participatory learning,0.0,61.361,0.0,0.0,3.28,25.496,0.0,96.221,83.851,100.0
14,Participatory learning,0.0,62.017,0.0,0.0,3.28,25.772,0.0,99.513,87.363,100.0
15,Participatory learning,0.0,62.673,0.0,0.0,3.28,26.047,0.0,100.0,90.875,100.0
16,Participatory learning,0.0,63.329,0.0,0.0,3.28,26.323,0.0,100.0,94.387,100.0
17,Participatory learning,0.0,63.985,0.0,0.0,3.28,26.598,0.0,100.0,97.899,100.0
18,Participatory learning,0.0,64.641,0.0,0.0,3.28,26.874,0.0,100.0,100.0,100.0
19,Participatory learning,0.0,65.297,0.0,0.0,3.28,27.149,0.0,100.0,100.0,100.0
20,Participatory learning,0.0,65.953,0.0,0.0,3.28,27.425,0.0,100.0,100.0,100.0
21,Participatory learning,0.0,66.609,0.0,0.0,3.28,27.7,0.0,100.0,100.0,100.0
22,Participatory learning,0.0,67.265,0.0,0.0,3.28,27.976,0.0,100.0,100.0,100.0
23,Participatory learning,0.0,67.921,0.0,0.0,3.28,28.251,0.0,100.0,100.0,100.0
24,Participatory learning,0.0,68.577,0.0,0.0,3.28,28.527,0.0,100.0,100.0,100.0
25,Participatory learning,0.0,69.233,0.0,0.0,3.28,28.802,0.0,100.0,100.0,100.0
26,Participatory learning,0.0,69.889,0.0,0.0,3.28,29.078,0.0,100.0,100.0,100.0
27,Participatory learning,0.0,70.545,0.0,0.0,3.28,29.354,0.0,100.0,100.0,100.0
28,Participatory learning,0.0,71.201,0.0,0.0,3.28,29.629,0.0,100.0,100.0,100.0
29,Participatory learning,0.0,71.857,0.0,0.0,3.28,29.905,0.0,100.0,100.0,100.0
30,Participatory learning,0.0,72.513,0.0,0.0,3.28,30.18,0.0,100.0,100.0,100.0
31,Participatory learning,0.0,73.169,0.0,0.0,3.28,30.456,0.0,100.0,100.0,100.0
32,Participatory learning,0.0,73.825,0.0,0.0,3.28,30.731,0.0,100.0,100.0,100.0
33,Participatory learning,0.0,74.481,0.0,0.0,3.28,31.007,0.0,100.0,100.0,100.0
34,Participatory learning,0.0,75.137,0.0,0.0,3.28,31.282,0.0,100.0,100.0,100.0
35,Participatory learning,0.0,75.793,0.0,0.0,3.28,31.558,0.0,100.0,100.0,100.0
36,Participatory learning,0.0,76.449,0.0,0.0,3.28,31.833,0.0,100.0,100.0,100.0
37,Participatory learning,0.0,77.105,0.0,0.0,3.28,32.109,0.0,100.0,100.0,100.0
38,Participatory learning,0.0,77.761,0.0,0.0,3.28,32.384,0.0,100.0,100.0,100.0
39,Participatory learning,0.0,78.417,0.0,0.0,3.28,32.66,0.0,100.0,100.0,100.0
40,Participatory learning,0.0,79.073,0.0,0.0,3.28,32.935,0.0,100.0,100.0,100.0
41,Participatory learning,0.0,79.729,0.0,0.0,3.28,33.211,0.0,100.0,100.0,100.0
42,Participatory learning,0.0,80.385,0.0,0.0,3.28,33.486,0.0,100.0,100.0,100.0
43,Participatory learning,0.0,81.041,0.0,0.0,3.28,33.762,0.0,100.0,100.0,100.0
44,Participatory learning,0.0,81.697,0.0,0.0,3.28,34.037,0.0,100.0,100.0,100.0
45,Participatory learning,0.0,82.353,0.0,0.0,3.28,34.313,0.0,100.0,100.0,100.0
46,Participatory learning,0.0,83.009,0.0,0.0,3.28,34.588,0.0,100.0,100.0,100.0
47,Participatory learning,0.0,83.665,0.0,0.0,3.28,34.864,0.0,100.0,100.0,100.0
48,Participatory learning,0.0,84.321,0.0,0.0,3.28,35.139,0.0,100.0,100.0,100.0
