period,scenario,resource_stock,perceived_resource_stock,consumption_flow,regeneration_flow,overshoot_index,leverage_quality,trust_stock,institutional_learning_stock,resilience_capacity,structural_insight_score
23,Growth with weak feedback,68.976,65.939,6.294,7.443,11.921,21.04,73.995,59.576,99.034,50.18
24,Growth with weak feedback,70.336,65.463,6.232,7.592,12.088,21.04,74.983,60.6,100.0,50.707
25,Growth with weak feedback,71.801,65.116,6.175,7.64,12.21,21.04,75.971,61.624,100.0,51.069
26,Growth with weak feedback,73.279,64.903,6.161,7.64,12.284,21.04,76.959,62.648,100.0,51.439
27,Growth with weak feedback,74.771,64.833,6.149,7.64,12.309,21.04,77.947,63.672,100.0,51.817
28,Growth with weak feedback,76.274,64.911,6.137,7.64,12.281,21.04,78.935,64.696,100.0,52.206
29,Growth with weak feedback,77.787,65.147,6.127,7.64,12.199,21.04,79.923,65.72,100.0,52.604
30,Growth with weak feedback,79.31,65.548,6.118,7.64,12.058,21.04,80.911,66.744,100.0,53.013
31,Growth with weak feedback,80.84,66.122,6.11,7.64,11.857,21.04,81.899,67.768,100.0,53.432
32,Growth with weak feedback,82.376,66.879,6.104,7.64,11.592,21.04,82.887,68.792,100.0,53.863
33,Growth with weak feedback,83.917,67.827,6.099,7.64,11.261,21.04,83.875,69.816,100.0,54.306
34,Growth with weak feedback,85.461,68.976,6.096,7.64,10.858,21.04,84.863,70.84,100.0,54.762
35,Growth with weak feedback,87.006,70.336,6.095,7.64,10.382,21.04,85.851,71.864,100.0,55.231
36,Growth with weak feedback,88.552,71.801,6.094,7.64,9.87,21.04,86.839,72.888,100.0,55.707
37,Growth with weak feedback,90.098,73.279,6.094,7.64,9.352,21.04,87.827,73.912,100.0,56.183
38,Growth with weak feedback,91.644,74.771,6.094,7.64,8.83,21.04,88.815,74.936,100.0,56.661
39,Growth with weak feedback,93.191,76.274,6.093,7.64,8.304,21.04,89.803,75.96,100.0,57.139
40,Growth with weak feedback,94.738,77.787,6.093,7.64,7.775,21.04,90.791,76.984,100.0,57.617
41,Growth with weak feedback,96.284,79.31,6.093,7.64,7.242,21.04,91.779,78.008,100.0,58.097
42,Growth with weak feedback,97.831,80.84,6.093,7.64,6.706,21.04,92.767,79.032,100.0,58.576
43,Growth with weak feedback,99.377,82.376,6.093,7.64,6.168,21.04,93.755,80.056,100.0,59.056
44,Growth with weak feedback,100.0,83.917,6.094,7.64,5.629,21.04,94.743,81.08,100.0,59.537
45,Growth with weak feedback,100.0,85.461,6.094,7.64,5.089,21.04,95.731,82.104,100.0,60.018
46,Growth with weak feedback,100.0,87.006,6.094,7.64,4.548,21.04,96.719,83.128,100.0,60.498
47,Growth with weak feedback,100.0,88.552,6.094,7.64,4.007,21.04,97.707,84.152,100.0,60.979
48,Growth with weak feedback,100.0,90.098,6.094,7.64,3.466,21.04,98.695,85.176,100.0,61.46
49,Growth with weak feedback,100.0,91.644,6.095,7.64,2.924,21.04,99.683,86.2,100.0,61.941
50,Growth with weak feedback,100.0,93.191,6.095,7.64,2.383,21.04,100.0,87.224,100.0,62.314
51,Growth with weak feedback,100.0,94.738,6.095,7.64,1.842,21.04,100.0,88.248,100.0,62.637
52,Growth with weak feedback,100.0,96.284,6.095,7.64,1.3,21.04,100.0,89.272,100.0,62.959
53,Growth with weak feedback,100.0,97.831,6.095,7.64,0.759,21.04,100.0,90.296,100.0,63.282
54,Growth with weak feedback,100.0,99.377,6.095,7.64,0.218,21.04,100.0,91.32,100.0,63.605
55,Growth with weak feedback,100.0,100.0,6.088,7.64,0.0,21.04,100.0,92.344,100.0,63.869
56,Growth with weak feedback,100.0,100.0,6.076,7.64,0.0,21.04,100.0,93.368,100.0,64.095
57,Growth with weak feedback,100.0,100.0,6.064,7.64,0.0,21.04,100.0,94.392,100.0,64.32
58,Growth with weak feedback,100.0,100.0,6.051,7.64,0.0,21.04,100.0,95.416,100.0,64.545
59,Growth with weak feedback,100.0,100.0,6.039,7.64,0.0,21.04,100.0,96.44,100.0,64.77
60,Growth with weak feedback,100.0,100.0,6.027,7.64,0.0,21.04,100.0,97.464,100.0,64.996
0,Delayed correction,82.286,82.0,5.206,5.492,6.3,32.84,53.54,36.576,44.084,38.18
1,Delayed correction,82.694,82.0,5.187,5.596,6.3,32.84,55.08,38.152,46.24,39.161
2,Delayed correction,83.23,82.0,5.169,5.704,6.3,32.84,56.62,39.728,48.47,40.155
3,Delayed correction,83.896,82.0,5.15,5.815,6.3,32.84,58.16,41.304,50.771,41.163
4,Delayed correction,84.696,82.0,5.131,5.931,6.3,32.84,59.7,42.88,53.147,42.184
5,Delayed correction,85.633,82.0,5.112,6.049,6.3,32.84,61.24,44.456,55.595,43.217
6,Delayed correction,86.712,82.0,5.093,6.172,6.3,32.84,62.78,46.032,58.118,44.265
7,Delayed correction,87.936,82.0,5.074,6.298,6.3,32.84,64.32,47.608,60.714,45.325
8,Delayed correction,89.309,82.0,5.055,6.428,6.3,32.84,65.86,49.184,63.385,46.399
9,Delayed correction,90.83,82.286,5.04,6.561,6.2,32.84,67.4,50.76,66.13,47.504
10,Delayed correction,92.502,82.694,5.026,6.699,6.057,32.84,68.94,52.336,68.95,48.631
11,Delayed correction,94.327,83.23,5.015,6.84,5.87,32.84,70.48,53.912,71.845,49.779
12,Delayed correction,96.307,83.896,5.005,6.984,5.636,32.84,72.02,55.488,74.815,50.948
13,Delayed correction,98.443,84.696,4.996,7.133,5.356,32.84,73.56,57.064,77.86,52.14
14,Delayed correction,100.0,85.633,4.99,7.285,5.028,32.84,75.1,58.64,80.981,53.354
15,Delayed correction,100.0,86.712,4.985,7.441,4.651,32.84,76.64,60.216,84.178,54.59
16,Delayed correction,100.0,87.936,4.982,7.601,4.222,32.84,78.18,61.792,87.451,55.85
17,Delayed correction,100.0,89.309,4.982,7.765,3.742,32.84,79.72,63.368,90.799,57.132
18,Delayed correction,100.0,90.83,4.983,7.932,3.209,32.84,81.26,64.944,94.225,58.438
19,Delayed correction,100.0,92.502,4.986,8.103,2.624,32.84,82.8,66.52,97.726,59.766
20,Delayed correction,100.0,94.327,4.991,8.278,1.986,32.84,84.34,68.096,100.0,60.884
21,Delayed correction,100.0,96.307,4.999,8.392,1.293,32.84,85.88,69.672,100.0,61.602
22,Delayed correction,100.0,98.443,5.008,8.392,0.545,32.84,87.42,71.248,100.0,62.329
23,Delayed correction,100.0,100.0,5.01,8.392,0.0,32.84,88.96,72.824,100.0,63.02
24,Delayed correction,100.0,100.0,4.991,8.392,0.0,32.84,90.5,74.4,100.0,63.614
25,Delayed correction,100.0,100.0,4.972,8.392,0.0,32.84,92.04,75.976,100.0,64.207
26,Delayed correction,100.0,100.0,4.953,8.392,0.0,32.84,93.58,77.552,100.0,64.8
27,Delayed correction,100.0,100.0,4.934,8.392,0.0,32.84,95.12,79.128,100.0,65.393
28,Delayed correction,100.0,100.0,4.915,8.392,0.0,32.84,96.66,80.704,100.0,65.986
29,Delayed correction,100.0,100.0,4.896,8.392,0.0,32.84,98.2,82.28,100.0,66.579
30,Delayed correction,100.0,100.0,4.877,8.392,0.0,32.84,99.74,83.856,100.0,67.172
31,Delayed correction,100.0,100.0,4.859,8.392,0.0,32.84,100.0,85.432,100.0,67.561
32,Delayed correction,100.0,100.0,4.84,8.392,0.0,32.84,100.0,87.008,100.0,67.907
33,Delayed correction,100.0,100.0,4.821,8.392,0.0,32.84,100.0,88.584,100.0,68.254
34,Delayed correction,100.0,100.0,4.802,8.392,0.0,32.84,100.0,90.16,100.0,68.601
35,Delayed correction,100.0,100.0,4.783,8.392,0.0,32.84,100.0,91.736,100.0,68.948
36,Delayed correction,100.0,100.0,4.764,8.392,0.0,32.84,100.0,93.312,100.0,69.294
37,Delayed correction,100.0,100.0,4.745,8.392,0.0,32.84,100.0,94.888,100.0,69.641
38,Delayed correction,100.0,100.0,4.726,8.392,0.0,32.84,100.0,96.464,100.0,69.988
39,Delayed correction,100.0,100.0,4.707,8.392,0.0,32.84,100.0,98.04,100.0,70.334
40,Delayed correction,100.0,100.0,4.688,8.392,0.0,32.84,100.0,99.616,100.0,70.681
41,Delayed correction,100.0,100.0,4.669,8.392,0.0,32.84,100.0,100.0,100.0,70.766
42,Delayed correction,100.0,100.0,4.665,8.392,0.0,32.84,100.0,100.0,100.0,70.766
43,Delayed correction,100.0,100.0,4.665,8.392,0.0,32.84,100.0,100.0,100.0,70.766
44,Delayed correction,100.0,100.0,4.665,8.392,0.0,32.84,100.0,100.0,100.0,70.766
45,Delayed correction,100.0,100.0,4.665,8.392,0.0,32.84,100.0,100.0,100.0,70.766
46,Delayed correction,100.0,100.0,4.665,8.392,0.0,32.84,100.0,100.0,100.0,70.766
47,Delayed correction,100.0,100.0,4.665,8.392,0.0,32.84,100.0,100.0,100.0,70.766
48,Delayed correction,100.0,100.0,4.665,8.392,0.0,32.84,100.0,100.0,100.0,70.766
49,Delayed correction,100.0,100.0,4.665,8.392,0.0,32.84,100.0,100.0,100.0,70.766
50,Delayed correction,100.0,100.0,4.665,8.392,0.0,32.84,100.0,100.0,100.0,70.766
51,Delayed correction,100.0,100.0,4.665,8.392,0.0,32.84,100.0,100.0,100.0,70.766
52,Delayed correction,100.0,100.0,4.665,8.392,0.0,32.84,100.0,100.0,100.0,70.766
53,Delayed correction,100.0,100.0,4.665,8.392,0.0,32.84,100.0,100.0,100.0,70.766
54,Delayed correction,100.0,100.0,4.665,8.392,0.0,32.84,100.0,100.0,100.0,70.766
55,Delayed correction,100.0,100.0,4.665,8.392,0.0,32.84,100.0,100.0,100.0,70.766
56,Delayed correction,100.0,100.0,4.665,8.392,0.0,32.84,100.0,100.0,100.0,70.766
57,Delayed correction,100.0,100.0,4.665,8.392,0.0,32.84,100.0,100.0,100.0,70.766
58,Delayed correction,100.0,100.0,4.665,8.392,0.0,32.84,100.0,100.0,100.0,70.766
59,Delayed correction,100.0,100.0,4.665,8.392,0.0,32.84,100.0,100.0,100.0,70.766
60,Delayed correction,100.0,100.0,4.665,8.392,0.0,32.84,100.0,100.0,100.0,70.766
0,Technical efficiency,84.776,82.0,3.396,6.172,6.3,42.08,58.0,37.038,44.351,42.985
1,Technical efficiency,87.694,82.0,3.372,6.29,6.3,42.08,60.0,39.076,46.795,44.193
2,Technical efficiency,90.758,82.0,3.347,6.412,6.3,42.08,62.0,41.114,49.331,45.418
3,Technical efficiency,93.974,82.0,3.323,6.539,6.3,42.08,64.0,43.152,51.96,46.659
4,Technical efficiency,97.345,82.0,3.298,6.67,6.3,42.08,66.0,45.19,54.683,47.918
5,Technical efficiency,100.0,82.0,3.274,6.806,6.3,42.08,68.0,47.228,57.498,49.193
6,Technical efficiency,100.0,84.776,3.301,6.947,5.328,42.08,70.0,49.266,60.406,50.66
7,Technical efficiency,100.0,87.694,3.33,7.092,4.307,42.08,72.0,51.304,63.405,52.152
8,Technical efficiency,100.0,90.758,3.362,7.242,3.235,42.08,74.0,53.342,66.496,53.669
9,Technical efficiency,100.0,93.974,3.397,7.397,2.109,42.08,76.0,55.38,69.679,55.213
10,Technical efficiency,100.0,97.345,3.435,7.556,0.929,42.08,78.0,57.418,72.954,56.784
11,Technical efficiency,100.0,100.0,3.459,7.72,0.0,42.08,80.0,59.456,76.323,58.326
12,Technical efficiency,100.0,100.0,3.435,7.888,0.0,42.08,82.0,61.494,79.788,59.718
13,Technical efficiency,100.0,100.0,3.41,8.061,0.0,42.08,84.0,63.532,83.35,61.127
14,Technical efficiency,100.0,100.0,3.386,8.24,0.0,42.08,86.0,65.57,87.009,62.554
15,Technical efficiency,100.0,100.0,3.361,8.422,0.0,42.08,88.0,67.608,90.765,63.999
16,Technical efficiency,100.0,100.0,3.337,8.61,0.0,42.08,90.0,69.646,94.619,65.461
17,Technical efficiency,100.0,100.0,3.312,8.803,0.0,42.08,92.0,71.684,98.571,66.94
18,Technical efficiency,100.0,100.0,3.288,9.001,0.0,42.08,94.0,73.722,100.0,67.966
19,Technical efficiency,100.0,100.0,3.263,9.072,0.0,42.08,96.0,75.76,100.0,68.734
20,Technical efficiency,100.0,100.0,3.239,9.072,0.0,42.08,98.0,77.798,100.0,69.503
21,Technical efficiency,100.0,100.0,3.214,9.072,0.0,42.08,100.0,79.836,100.0,70.271
22,Technical efficiency,100.0,100.0,3.19,9.072,0.0,42.08,100.0,81.874,100.0,70.719
23,Technical efficiency,100.0,100.0,3.166,9.072,0.0,42.08,100.0,83.912,100.0,71.168
24,Technical efficiency,100.0,100.0,3.141,9.072,0.0,42.08,100.0,85.95,100.0,71.616
25,Technical efficiency,100.0,100.0,3.117,9.072,0.0,42.08,100.0,87.988,100.0,72.065
26,Technical efficiency,100.0,100.0,3.092,9.072,0.0,42.08,100.0,90.026,100.0,72.513
27,Technical efficiency,100.0,100.0,3.068,9.072,0.0,42.08,100.0,92.064,100.0,72.961
28,Technical efficiency,100.0,100.0,3.043,9.072,0.0,42.08,100.0,94.102,100.0,73.41
29,Technical efficiency,100.0,100.0,3.019,9.072,0.0,42.08,100.0,96.14,100.0,73.858
30,Technical efficiency,100.0,100.0,2.994,9.072,0.0,42.08,100.0,98.178,100.0,74.306
31,Technical efficiency,100.0,100.0,2.97,9.072,0.0,42.08,100.0,100.0,100.0,74.707
32,Technical efficiency,100.0,100.0,2.948,9.072,0.0,42.08,100.0,100.0,100.0,74.707
33,Technical efficiency,100.0,100.0,2.948,9.072,0.0,42.08,100.0,100.0,100.0,74.707
34,Technical efficiency,100.0,100.0,2.948,9.072,0.0,42.08,100.0,100.0,100.0,74.707
35,Technical efficiency,100.0,100.0,2.948,9.072,0.0,42.08,100.0,100.0,100.0,74.707
36,Technical efficiency,100.0,100.0,2.948,9.072,0.0,42.08,100.0,100.0,100.0,74.707
37,Technical efficiency,100.0,100.0,2.948,9.072,0.0,42.08,100.0,100.0,100.0,74.707
38,Technical efficiency,100.0,100.0,2.948,9.072,0.0,42.08,100.0,100.0,100.0,74.707
39,Technical efficiency,100.0,100.0,2.948,9.072,0.0,42.08,100.0,100.0,100.0,74.707
40,Technical efficiency,100.0,100.0,2.948,9.072,0.0,42.08,100.0,100.0,100.0,74.707
41,Technical efficiency,100.0,100.0,2.948,9.072,0.0,42.08,100.0,100.0,100.0,74.707
42,Technical efficiency,100.0,100.0,2.948,9.072,0.0,42.08,100.0,100.0,100.0,74.707
43,Technical efficiency,100.0,100.0,2.948,9.072,0.0,42.08,100.0,100.0,100.0,74.707
44,Technical efficiency,100.0,100.0,2.948,9.072,0.0,42.08,100.0,100.0,100.0,74.707
45,Technical efficiency,100.0,100.0,2.948,9.072,0.0,42.08,100.0,100.0,100.0,74.707
46,Technical efficiency,100.0,100.0,2.948,9.072,0.0,42.08,100.0,100.0,100.0,74.707
47,Technical efficiency,100.0,100.0,2.948,9.072,0.0,42.08,100.0,100.0,100.0,74.707
48,Technical efficiency,100.0,100.0,2.948,9.072,0.0,42.08,100.0,100.0,100.0,74.707
49,Technical efficiency,100.0,100.0,2.948,9.072,0.0,42.08,100.0,100.0,100.0,74.707
50,Technical efficiency,100.0,100.0,2.948,9.072,0.0,42.08,100.0,100.0,100.0,74.707
51,Technical efficiency,100.0,100.0,2.948,9.072,0.0,42.08,100.0,100.0,100.0,74.707
52,Technical efficiency,100.0,100.0,2.948,9.072,0.0,42.08,100.0,100.0,100.0,74.707
53,Technical efficiency,100.0,100.0,2.948,9.072,0.0,42.08,100.0,100.0,100.0,74.707
54,Technical efficiency,100.0,100.0,2.948,9.072,0.0,42.08,100.0,100.0,100.0,74.707
55,Technical efficiency,100.0,100.0,2.948,9.072,0.0,42.08,100.0,100.0,100.0,74.707
56,Technical efficiency,100.0,100.0,2.948,9.072,0.0,42.08,100.0,100.0,100.0,74.707
57,Technical efficiency,100.0,100.0,2.948,9.072,0.0,42.08,100.0,100.0,100.0,74.707
58,Technical efficiency,100.0,100.0,2.948,9.072,0.0,42.08,100.0,100.0,100.0,74.707
59,Technical efficiency,100.0,100.0,2.948,9.072,0.0,42.08,100.0,100.0,100.0,74.707
60,Technical efficiency,100.0,100.0,2.948,9.072,0.0,42.08,100.0,100.0,100.0,74.707
0,Structural leverage,89.006,82.0,0.68,7.686,6.3,76.2,63.08,38.458,45.055,59.237
1,Structural leverage,96.207,82.0,0.638,7.839,6.3,76.2,66.16,41.916,48.263,61.068
2,Structural leverage,100.0,82.0,0.597,7.999,6.3,76.2,69.24,45.374,51.624,62.927
3,Structural leverage,100.0,82.0,0.555,8.167,6.3,76.2,72.32,48.832,55.139,64.813
4,Structural leverage,100.0,89.006,0.671,8.343,3.848,76.2,75.4,52.29,58.8,67.167
5,Structural leverage,100.0,96.207,0.791,8.526,1.328,76.2,78.48,55.748,62.609,69.56
6,Structural leverage,100.0,100.0,0.835,8.716,0.0,76.2,81.56,59.206,66.569,71.765
7,Structural leverage,100.0,100.0,0.794,8.914,0.0,76.2,84.64,62.664,70.685,73.76
8,Structural leverage,100.0,100.0,0.752,9.12,0.0,76.2,87.72,66.122,74.958,75.782
9,Structural leverage,100.0,100.0,0.711,9.334,0.0,76.2,90.8,69.58,79.388,77.833
10,Structural leverage,100.0,100.0,0.669,9.555,0.0,76.2,93.88,73.038,83.977,79.913
11,Structural leverage,100.0,100.0,0.628,9.785,0.0,76.2,96.96,76.496,88.724,82.021
12,Structural leverage,100.0,100.0,0.586,10.022,0.0,76.2,100.0,79.954,93.63,84.151
13,Structural leverage,100.0,100.0,0.545,10.268,0.0,76.2,100.0,83.412,98.697,85.824
14,Structural leverage,100.0,100.0,0.503,10.521,0.0,76.2,100.0,86.87,100.0,86.819
15,Structural leverage,100.0,100.0,0.462,10.586,0.0,76.2,100.0,90.328,100.0,87.58
16,Structural leverage,100.0,100.0,0.42,10.586,0.0,76.2,100.0,93.786,100.0,88.341
17,Structural leverage,100.0,100.0,0.379,10.586,0.0,76.2,100.0,97.244,100.0,89.102
18,Structural leverage,100.0,100.0,0.337,10.586,0.0,76.2,100.0,100.0,100.0,89.708
19,Structural leverage,100.0,100.0,0.304,10.586,0.0,76.2,100.0,100.0,100.0,89.708
20,Structural leverage,100.0,100.0,0.304,10.586,0.0,76.2,100.0,100.0,100.0,89.708
21,Structural leverage,100.0,100.0,0.304,10.586,0.0,76.2,100.0,100.0,100.0,89.708
22,Structural leverage,100.0,100.0,0.304,10.586,0.0,76.2,100.0,100.0,100.0,89.708
23,Structural leverage,100.0,100.0,0.304,10.586,0.0,76.2,100.0,100.0,100.0,89.708
24,Structural leverage,100.0,100.0,0.304,10.586,0.0,76.2,100.0,100.0,100.0,89.708
25,Structural leverage,100.0,100.0,0.304,10.586,0.0,76.2,100.0,100.0,100.0,89.708
26,Structural leverage,100.0,100.0,0.304,10.586,0.0,76.2,100.0,100.0,100.0,89.708
27,Structural leverage,100.0,100.0,0.304,10.586,0.0,76.2,100.0,100.0,100.0,89.708
28,Structural leverage,100.0,100.0,0.304,10.586,0.0,76.2,100.0,100.0,100.0,89.708
29,Structural leverage,100.0,100.0,0.304,10.586,0.0,76.2,100.0,100.0,100.0,89.708
30,Structural leverage,100.0,100.0,0.304,10.586,0.0,76.2,100.0,100.0,100.0,89.708
31,Structural leverage,100.0,100.0,0.304,10.586,0.0,76.2,100.0,100.0,100.0,89.708
32,Structural leverage,100.0,100.0,0.304,10.586,0.0,76.2,100.0,100.0,100.0,89.708
33,Structural leverage,100.0,100.0,0.304,10.586,0.0,76.2,100.0,100.0,100.0,89.708
34,Structural leverage,100.0,100.0,0.304,10.586,0.0,76.2,100.0,100.0,100.0,89.708
35,Structural leverage,100.0,100.0,0.304,10.586,0.0,76.2,100.0,100.0,100.0,89.708
36,Structural leverage,100.0,100.0,0.304,10.586,0.0,76.2,100.0,100.0,100.0,89.708
37,Structural leverage,100.0,100.0,0.304,10.586,0.0,76.2,100.0,100.0,100.0,89.708
38,Structural leverage,100.0,100.0,0.304,10.586,0.0,76.2,100.0,100.0,100.0,89.708
39,Structural leverage,100.0,100.0,0.304,10.586,0.0,76.2,100.0,100.0,100.0,89.708
40,Structural leverage,100.0,100.0,0.304,10.586,0.0,76.2,100.0,100.0,100.0,89.708
41,Structural leverage,100.0,100.0,0.304,10.586,0.0,76.2,100.0,100.0,100.0,89.708
42,Structural leverage,100.0,100.0,0.304,10.586,0.0,76.2,100.0,100.0,100.0,89.708
43,Structural leverage,100.0,100.0,0.304,10.586,0.0,76.2,100.0,100.0,100.0,89.708
44,Structural leverage,100.0,100.0,0.304,10.586,0.0,76.2,100.0,100.0,100.0,89.708
45,Structural leverage,100.0,100.0,0.304,10.586,0.0,76.2,100.0,100.0,100.0,89.708
46,Structural leverage,100.0,100.0,0.304,10.586,0.0,76.2,100.0,100.0,100.0,89.708
47,Structural leverage,100.0,100.0,0.304,10.586,0.0,76.2,100.0,100.0,100.0,89.708
48,Structural leverage,100.0,100.0,0.304,10.586,0.0,76.2,100.0,100.0,100.0,89.708
49,Structural leverage,100.0,100.0,0.304,10.586,0.0,76.2,100.0,100.0,100.0,89.708
50,Structural leverage,100.0,100.0,0.304,10.586,0.0,76.2,100.0,100.0,100.0,89.708
51,Structural leverage,100.0,100.0,0.304,10.586,0.0,76.2,100.0,100.0,100.0,89.708
52,Structural leverage,100.0,100.0,0.304,10.586,0.0,76.2,100.0,100.0,100.0,89.708
53,Structural leverage,100.0,100.0,0.304,10.586,0.0,76.2,100.0,100.0,100.0,89.708
54,Structural leverage,100.0,100.0,0.304,10.586,0.0,76.2,100.0,100.0,100.0,89.708
55,Structural leverage,100.0,100.0,0.304,10.586,0.0,76.2,100.0,100.0,100.0,89.708
56,Structural leverage,100.0,100.0,0.304,10.586,0.0,76.2,100.0,100.0,100.0,89.708
57,Structural leverage,100.0,100.0,0.304,10.586,0.0,76.2,100.0,100.0,100.0,89.708
58,Structural leverage,100.0,100.0,0.304,10.586,0.0,76.2,100.0,100.0,100.0,89.708
59,Structural leverage,100.0,100.0,0.304,10.586,0.0,76.2,100.0,100.0,100.0,89.708
60,Structural leverage,100.0,100.0,0.304,10.586,0.0,76.2,100.0,100.0,100.0,89.708
