year,scenario,asset_id,category,condition,failure_probability,failure_consequence,cyber_physical_dependency,risk_score,maintenance_action_score,resilience_score,equity_priority,redundancy
1,Reactive maintenance baseline,wastewater_lift_station,wastewater,58.546,26.948,57.7,31.38,38.155,25.257,28.497,68.0,32.0
1,Reactive maintenance baseline,public_broadband_hub,digital,74.674,13.29,50.378,50.38,29.979,23.668,33.717,80.0,40.0
1,Reactive maintenance baseline,hospital_access_corridor,transport,60.624,21.984,61.635,23.38,36.001,25.263,29.649,86.0,28.0
2,Reactive maintenance baseline,bridge_north,transport,61.165,22.858,53.393,22.38,33.498,23.984,30.846,62.0,35.0
2,Reactive maintenance baseline,water_main_east,water,55.212,28.873,60.988,25.38,39.764,26.038,26.854,82.0,25.0
2,Reactive maintenance baseline,substation_7,power,67.173,21.318,57.956,41.38,36.147,24.839,31.983,70.0,42.0
2,Reactive maintenance baseline,transit_signal_core,transport,69.225,16.622,47.831,44.38,30.321,23.119,33.812,58.0,48.0
2,Reactive maintenance baseline,stormwater_pump_south,stormwater,50.793,31.374,62.082,30.38,42.023,26.4,25.932,76.0,30.0
2,Reactive maintenance baseline,cooling_center_grid_node,public_facility,64.828,22.099,57.432,34.38,35.694,25.248,31.278,88.0,38.0
2,Reactive maintenance baseline,air_quality_sensor_cluster,environmental,78.688,11.558,43.3,28.38,24.35,22.165,39.003,74.0,55.0
2,Reactive maintenance baseline,wastewater_lift_station,wastewater,57.095,27.5,57.7,31.38,38.458,25.328,28.101,68.0,32.0
2,Reactive maintenance baseline,public_broadband_hub,digital,73.35,13.793,50.378,50.38,30.256,23.733,33.356,80.0,40.0
2,Reactive maintenance baseline,hospital_access_corridor,transport,59.252,22.505,61.635,23.38,36.288,25.331,29.274,86.0,28.0
3,Reactive maintenance baseline,bridge_north,transport,59.752,23.395,53.393,22.38,33.793,24.054,30.46,62.0,35.0
3,Reactive maintenance baseline,water_main_east,water,53.822,29.401,60.988,25.38,40.054,26.106,26.474,82.0,25.0
3,Reactive maintenance baseline,substation_7,power,65.764,21.853,57.956,41.38,36.442,24.909,31.598,70.0,42.0
3,Reactive maintenance baseline,transit_signal_core,transport,67.843,17.148,47.831,44.38,30.61,23.187,33.434,58.0,48.0
3,Reactive maintenance baseline,stormwater_pump_south,stormwater,49.196,31.982,62.082,30.38,42.357,26.479,25.495,76.0,30.0
3,Reactive maintenance baseline,cooling_center_grid_node,public_facility,63.247,22.7,57.432,34.38,36.024,25.326,30.846,88.0,38.0
3,Reactive maintenance baseline,air_quality_sensor_cluster,environmental,77.038,12.185,43.3,28.38,24.694,22.247,38.552,74.0,55.0
3,Reactive maintenance baseline,wastewater_lift_station,wastewater,55.648,28.05,57.7,31.38,38.76,25.4,27.705,68.0,32.0
3,Reactive maintenance baseline,public_broadband_hub,digital,72.03,14.294,50.378,50.38,30.532,23.798,32.995,80.0,40.0
3,Reactive maintenance baseline,hospital_access_corridor,transport,57.882,23.026,61.635,23.38,36.574,25.398,28.9,86.0,28.0
4,Reactive maintenance baseline,bridge_north,transport,58.342,23.931,53.393,22.38,34.088,24.123,30.075,62.0,35.0
4,Reactive maintenance baseline,water_main_east,water,52.435,29.928,60.988,25.38,40.344,26.175,26.095,82.0,25.0
4,Reactive maintenance baseline,substation_7,power,64.358,22.387,57.956,41.38,36.736,24.978,31.214,70.0,42.0
4,Reactive maintenance baseline,transit_signal_core,transport,66.463,17.672,47.831,44.38,30.898,23.255,33.057,58.0,48.0
4,Reactive maintenance baseline,stormwater_pump_south,stormwater,47.601,32.588,62.082,30.38,42.69,26.558,25.06,76.0,30.0
4,Reactive maintenance baseline,cooling_center_grid_node,public_facility,61.67,23.299,57.432,34.38,36.354,25.404,30.415,88.0,38.0
4,Reactive maintenance baseline,air_quality_sensor_cluster,environmental,75.392,12.81,43.3,28.38,25.039,22.328,38.102,74.0,55.0
4,Reactive maintenance baseline,wastewater_lift_station,wastewater,54.204,28.599,57.7,31.38,39.062,25.471,27.311,68.0,32.0
4,Reactive maintenance baseline,public_broadband_hub,digital,70.712,14.795,50.378,50.38,30.807,23.864,32.635,80.0,40.0
4,Reactive maintenance baseline,hospital_access_corridor,transport,56.516,23.545,61.635,23.38,36.86,25.466,28.527,86.0,28.0
5,Reactive maintenance baseline,bridge_north,transport,56.936,24.465,53.393,22.38,34.382,24.193,29.69,62.0,35.0
5,Reactive maintenance baseline,water_main_east,water,51.052,30.454,60.988,25.38,40.633,26.243,25.718,82.0,25.0
5,Reactive maintenance baseline,substation_7,power,62.955,22.92,57.956,41.38,37.029,25.048,30.831,70.0,42.0
5,Reactive maintenance baseline,transit_signal_core,transport,65.086,18.195,47.831,44.38,31.186,23.323,32.681,58.0,48.0
5,Reactive maintenance baseline,stormwater_pump_south,stormwater,46.01,33.192,62.082,30.38,43.022,26.636,24.625,76.0,30.0
5,Reactive maintenance baseline,cooling_center_grid_node,public_facility,60.097,23.897,57.432,34.38,36.682,25.481,29.985,88.0,38.0
5,Reactive maintenance baseline,air_quality_sensor_cluster,environmental,73.749,13.435,43.3,28.38,25.382,22.409,37.653,74.0,55.0
5,Reactive maintenance baseline,wastewater_lift_station,wastewater,52.763,29.146,57.7,31.38,39.363,25.542,26.917,68.0,32.0
5,Reactive maintenance baseline,public_broadband_hub,digital,69.398,15.295,50.378,50.38,31.082,23.929,32.276,80.0,40.0
5,Reactive maintenance baseline,hospital_access_corridor,transport,55.152,24.063,61.635,23.38,37.145,25.533,28.154,86.0,28.0
6,Reactive maintenance baseline,bridge_north,transport,55.532,24.999,53.393,22.38,34.675,24.262,29.307,62.0,35.0
6,Reactive maintenance baseline,water_main_east,water,49.672,30.978,60.988,25.38,40.922,26.312,25.34,82.0,25.0
6,Reactive maintenance baseline,substation_7,power,61.556,23.452,57.956,41.38,37.321,25.117,30.449,70.0,42.0
6,Reactive maintenance baseline,transit_signal_core,transport,63.713,18.717,47.831,44.38,31.473,23.391,32.306,58.0,48.0
6,Reactive maintenance baseline,stormwater_pump_south,stormwater,44.423,33.795,62.082,30.38,43.354,26.715,24.191,76.0,30.0
6,Reactive maintenance baseline,cooling_center_grid_node,public_facility,58.527,24.494,57.432,34.38,37.011,25.559,29.556,88.0,38.0
6,Reactive maintenance baseline,air_quality_sensor_cluster,environmental,72.11,14.058,43.3,28.38,25.725,22.49,37.206,74.0,55.0
6,Reactive maintenance baseline,wastewater_lift_station,wastewater,51.325,29.692,57.7,31.38,39.664,25.613,26.524,68.0,32.0
6,Reactive maintenance baseline,public_broadband_hub,digital,68.086,15.793,50.378,50.38,31.356,23.993,31.917,80.0,40.0
6,Reactive maintenance baseline,hospital_access_corridor,transport,53.792,24.58,61.635,23.38,37.429,25.601,27.783,86.0,28.0
7,Reactive maintenance baseline,bridge_north,transport,54.132,25.531,53.393,22.38,34.968,24.331,28.924,62.0,35.0
7,Reactive maintenance baseline,water_main_east,water,48.294,31.502,60.988,25.38,41.21,26.38,24.964,82.0,25.0
7,Reactive maintenance baseline,substation_7,power,60.159,23.983,57.956,41.38,37.613,25.186,30.067,70.0,42.0
7,Reactive maintenance baseline,transit_signal_core,transport,62.343,19.238,47.831,44.38,31.76,23.459,31.932,58.0,48.0
7,Reactive maintenance baseline,stormwater_pump_south,stormwater,42.839,34.397,62.082,30.38,43.685,26.793,23.759,76.0,30.0
7,Reactive maintenance baseline,cooling_center_grid_node,public_facility,56.96,25.089,57.432,34.38,37.338,25.636,29.128,88.0,38.0
7,Reactive maintenance baseline,air_quality_sensor_cluster,environmental,70.474,14.679,43.3,28.38,26.066,22.571,36.759,74.0,55.0
7,Reactive maintenance baseline,wastewater_lift_station,wastewater,49.89,30.238,57.7,31.38,39.964,25.684,26.132,68.0,32.0
7,Reactive maintenance baseline,public_broadband_hub,digital,66.777,16.29,50.378,50.38,31.63,24.058,31.56,80.0,40.0
7,Reactive maintenance baseline,hospital_access_corridor,transport,52.434,25.096,61.635,23.38,37.713,25.668,27.412,86.0,28.0
8,Reactive maintenance baseline,bridge_north,transport,52.734,26.062,53.393,22.38,35.26,24.4,28.543,62.0,35.0
8,Reactive maintenance baseline,water_main_east,water,46.92,32.024,60.988,25.38,41.497,26.447,24.589,82.0,25.0
8,Reactive maintenance baseline,substation_7,power,58.766,24.512,57.956,41.38,37.904,25.255,29.686,70.0,42.0
8,Reactive maintenance baseline,transit_signal_core,transport,60.975,19.757,47.831,44.38,32.045,23.526,31.558,58.0,48.0
8,Reactive maintenance baseline,stormwater_pump_south,stormwater,41.259,34.998,62.082,30.38,44.015,26.871,23.327,76.0,30.0
8,Reactive maintenance baseline,cooling_center_grid_node,public_facility,55.397,25.683,57.432,34.38,37.665,25.713,28.701,88.0,38.0
8,Reactive maintenance baseline,air_quality_sensor_cluster,environmental,68.842,15.299,43.3,28.38,26.407,22.652,36.313,74.0,55.0
8,Reactive maintenance baseline,wastewater_lift_station,wastewater,48.459,30.782,57.7,31.38,40.263,25.755,25.741,68.0,32.0
8,Reactive maintenance baseline,public_broadband_hub,digital,65.471,16.787,50.378,50.38,31.903,24.122,31.203,80.0,40.0
8,Reactive maintenance baseline,hospital_access_corridor,transport,51.08,25.61,61.635,23.38,37.996,25.734,27.042,86.0,28.0
9,Reactive maintenance baseline,bridge_north,transport,51.34,26.591,53.393,22.38,35.551,24.469,28.162,62.0,35.0
9,Reactive maintenance baseline,water_main_east,water,45.549,32.545,60.988,25.38,41.783,26.515,24.214,82.0,25.0
9,Reactive maintenance baseline,substation_7,power,57.376,25.04,57.956,41.38,38.195,25.323,29.307,70.0,42.0
9,Reactive maintenance baseline,transit_signal_core,transport,59.611,20.276,47.831,44.38,32.331,23.594,31.185,58.0,48.0
9,Reactive maintenance baseline,stormwater_pump_south,stormwater,39.682,35.597,62.082,30.38,44.345,26.949,22.896,76.0,30.0
9,Reactive maintenance baseline,cooling_center_grid_node,public_facility,53.837,26.276,57.432,34.38,37.991,25.791,28.275,88.0,38.0
9,Reactive maintenance baseline,air_quality_sensor_cluster,environmental,67.214,15.918,43.3,28.38,26.748,22.732,35.868,74.0,55.0
9,Reactive maintenance baseline,wastewater_lift_station,wastewater,47.031,31.324,57.7,31.38,40.561,25.825,25.351,68.0,32.0
9,Reactive maintenance baseline,public_broadband_hub,digital,64.168,17.282,50.378,50.38,32.175,24.187,30.847,80.0,40.0
9,Reactive maintenance baseline,hospital_access_corridor,transport,49.729,26.124,61.635,23.38,38.278,25.801,26.673,86.0,28.0
10,Reactive maintenance baseline,bridge_north,transport,49.949,27.12,53.393,22.38,35.842,24.538,27.782,62.0,35.0
10,Reactive maintenance baseline,water_main_east,water,44.181,33.065,60.988,25.38,42.069,26.583,23.84,82.0,25.0
10,Reactive maintenance baseline,substation_7,power,55.988,25.568,57.956,41.38,38.485,25.392,28.928,70.0,42.0
10,Reactive maintenance baseline,transit_signal_core,transport,58.249,20.793,47.831,44.38,32.615,23.661,30.813,58.0,48.0
10,Reactive maintenance baseline,stormwater_pump_south,stormwater,38.109,36.195,62.082,30.38,44.674,27.027,22.466,76.0,30.0
10,Reactive maintenance baseline,cooling_center_grid_node,public_facility,52.281,26.867,57.432,34.38,38.316,25.867,27.85,88.0,38.0
10,Reactive maintenance baseline,air_quality_sensor_cluster,environmental,65.589,16.535,43.3,28.38,27.087,22.812,35.424,74.0,55.0
10,Reactive maintenance baseline,wastewater_lift_station,wastewater,45.606,31.866,57.7,31.38,40.859,25.896,24.962,68.0,32.0
10,Reactive maintenance baseline,public_broadband_hub,digital,62.868,17.776,50.378,50.38,32.447,24.251,30.492,80.0,40.0
10,Reactive maintenance baseline,hospital_access_corridor,transport,48.38,26.636,61.635,23.38,38.56,25.868,26.304,86.0,28.0
11,Reactive maintenance baseline,bridge_north,transport,48.561,27.647,53.393,22.38,36.132,24.607,27.402,62.0,35.0
11,Reactive maintenance baseline,water_main_east,water,42.816,33.584,60.988,25.38,42.355,26.65,23.467,82.0,25.0
11,Reactive maintenance baseline,substation_7,power,54.604,26.094,57.956,41.38,38.774,25.46,28.549,70.0,42.0
11,Reactive maintenance baseline,transit_signal_core,transport,56.891,21.309,47.831,44.38,32.899,23.728,30.442,58.0,48.0
11,Reactive maintenance baseline,stormwater_pump_south,stormwater,36.539,36.791,62.082,30.38,45.002,27.104,22.038,76.0,30.0
11,Reactive maintenance baseline,cooling_center_grid_node,public_facility,50.728,27.457,57.432,34.38,38.641,25.944,27.426,88.0,38.0
11,Reactive maintenance baseline,air_quality_sensor_cluster,environmental,63.968,17.151,43.3,28.38,27.426,22.893,34.981,74.0,55.0
11,Reactive maintenance baseline,wastewater_lift_station,wastewater,44.184,32.406,57.7,31.38,41.156,25.966,24.573,68.0,32.0
11,Reactive maintenance baseline,public_broadband_hub,digital,61.571,18.269,50.378,50.38,32.718,24.315,30.138,80.0,40.0
11,Reactive maintenance baseline,hospital_access_corridor,transport,47.035,27.148,61.635,23.38,38.841,25.934,25.937,86.0,28.0
12,Reactive maintenance baseline,bridge_north,transport,47.176,28.174,53.393,22.38,36.421,24.675,27.024,62.0,35.0
12,Reactive maintenance baseline,water_main_east,water,41.454,34.101,60.988,25.38,42.639,26.717,23.095,82.0,25.0
12,Reactive maintenance baseline,substation_7,power,53.223,26.618,57.956,41.38,39.063,25.528,28.172,70.0,42.0
12,Reactive maintenance baseline,transit_signal_core,transport,55.536,21.824,47.831,44.38,33.182,23.795,30.072,58.0,48.0
12,Reactive maintenance baseline,stormwater_pump_south,stormwater,34.973,37.386,62.082,30.38,45.329,27.181,21.61,76.0,30.0
12,Reactive maintenance baseline,cooling_center_grid_node,public_facility,49.179,28.046,57.432,34.38,38.964,26.021,27.003,88.0,38.0
12,Reactive maintenance baseline,air_quality_sensor_cluster,environmental,62.35,17.766,43.3,28.38,27.764,22.972,34.539,74.0,55.0
12,Reactive maintenance baseline,wastewater_lift_station,wastewater,42.765,32.945,57.7,31.38,41.453,26.036,24.186,68.0,32.0
12,Reactive maintenance baseline,public_broadband_hub,digital,60.277,18.76,50.378,50.38,32.988,24.379,29.784,80.0,40.0
12,Reactive maintenance baseline,hospital_access_corridor,transport,45.692,27.658,61.635,23.38,39.122,26.001,25.57,86.0,28.0
13,Reactive maintenance baseline,bridge_north,transport,45.795,28.699,53.393,22.38,36.71,24.743,26.647,62.0,35.0
13,Reactive maintenance baseline,water_main_east,water,40.095,34.618,60.988,25.38,42.923,26.785,22.724,82.0,25.0
13,Reactive maintenance baseline,substation_7,power,51.845,27.142,57.956,41.38,39.351,25.597,27.796,70.0,42.0
13,Reactive maintenance baseline,transit_signal_core,transport,54.184,22.338,47.831,44.38,33.465,23.862,29.703,58.0,48.0
13,Reactive maintenance baseline,stormwater_pump_south,stormwater,33.41,37.98,62.082,30.38,45.656,27.259,21.183,76.0,30.0
13,Reactive maintenance baseline,cooling_center_grid_node,public_facility,47.633,28.633,57.432,34.38,39.287,26.097,26.58,88.0,38.0
13,Reactive maintenance baseline,air_quality_sensor_cluster,environmental,60.736,18.379,43.3,28.38,28.102,23.052,34.098,74.0,55.0
13,Reactive maintenance baseline,wastewater_lift_station,wastewater,41.35,33.483,57.7,31.38,41.749,26.106,23.799,68.0,32.0
13,Reactive maintenance baseline,public_broadband_hub,digital,58.985,19.251,50.378,50.38,33.258,24.443,29.431,80.0,40.0
13,Reactive maintenance baseline,hospital_access_corridor,transport,44.353,28.167,61.635,23.38,39.402,26.067,25.204,86.0,28.0
14,Reactive maintenance baseline,bridge_north,transport,44.416,29.223,53.393,22.38,36.998,24.811,26.27,62.0,35.0
14,Reactive maintenance baseline,water_main_east,water,38.739,35.133,60.988,25.38,43.207,26.852,22.354,82.0,25.0
14,Reactive maintenance baseline,substation_7,power,50.471,27.664,57.956,41.38,39.638,25.664,27.42,70.0,42.0
14,Reactive maintenance baseline,transit_signal_core,transport,52.834,22.851,47.831,44.38,33.747,23.928,29.334,58.0,48.0
14,Reactive maintenance baseline,stormwater_pump_south,stormwater,31.851,38.573,62.082,30.38,45.982,27.336,20.757,76.0,30.0
14,Reactive maintenance baseline,cooling_center_grid_node,public_facility,46.09,29.219,57.432,34.38,39.61,26.173,26.159,88.0,38.0
14,Reactive maintenance baseline,air_quality_sensor_cluster,environmental,59.126,18.991,43.3,28.38,28.438,23.132,33.659,74.0,55.0
14,Reactive maintenance baseline,wastewater_lift_station,wastewater,39.937,34.02,57.7,31.38,42.044,26.176,23.413,68.0,32.0
14,Reactive maintenance baseline,public_broadband_hub,digital,57.697,19.741,50.378,50.38,33.528,24.507,29.079,80.0,40.0
14,Reactive maintenance baseline,hospital_access_corridor,transport,43.017,28.675,61.635,23.38,39.681,26.133,24.839,86.0,28.0
15,Reactive maintenance baseline,bridge_north,transport,43.04,29.745,53.393,22.38,37.286,24.879,25.894,62.0,35.0
15,Reactive maintenance baseline,water_main_east,water,37.386,35.647,60.988,25.38,43.489,26.918,21.984,82.0,25.0
15,Reactive maintenance baseline,substation_7,power,49.099,28.186,57.956,41.38,39.925,25.732,27.045,70.0,42.0
15,Reactive maintenance baseline,transit_signal_core,transport,51.488,23.363,47.831,44.38,34.028,23.995,28.966,58.0,48.0
15,Reactive maintenance baseline,stormwater_pump_south,stormwater,30.295,39.164,62.082,30.38,46.307,27.413,20.332,76.0,30.0
15,Reactive maintenance baseline,cooling_center_grid_node,public_facility,44.551,29.804,57.432,34.38,39.931,26.249,25.738,88.0,38.0
15,Reactive maintenance baseline,air_quality_sensor_cluster,environmental,57.519,19.602,43.3,28.38,28.774,23.211,33.22,74.0,55.0
15,Reactive maintenance baseline,wastewater_lift_station,wastewater,38.528,34.555,57.7,31.38,42.338,26.245,23.028,68.0,32.0
15,Reactive maintenance baseline,public_broadband_hub,digital,56.411,20.229,50.378,50.38,33.796,24.57,28.728,80.0,40.0
15,Reactive maintenance baseline,hospital_access_corridor,transport,41.683,29.181,61.635,23.38,39.96,26.199,24.475,86.0,28.0
16,Reactive maintenance baseline,bridge_north,transport,41.668,30.267,53.393,22.38,37.573,24.947,25.519,62.0,35.0
16,Reactive maintenance baseline,water_main_east,water,36.036,36.16,60.988,25.38,43.772,26.985,21.615,82.0,25.0
16,Reactive maintenance baseline,substation_7,power,47.73,28.706,57.956,41.38,40.211,25.8,26.671,70.0,42.0
16,Reactive maintenance baseline,transit_signal_core,transport,50.145,23.873,47.831,44.38,34.309,24.061,28.599,58.0,48.0
16,Reactive maintenance baseline,stormwater_pump_south,stormwater,28.743,39.754,62.082,30.38,46.631,27.489,19.908,76.0,30.0
16,Reactive maintenance baseline,cooling_center_grid_node,public_facility,43.016,30.388,57.432,34.38,40.252,26.325,25.319,88.0,38.0
16,Reactive maintenance baseline,air_quality_sensor_cluster,environmental,55.916,20.211,43.3,28.38,29.109,23.29,32.782,74.0,55.0
16,Reactive maintenance baseline,wastewater_lift_station,wastewater,37.122,35.09,57.7,31.38,42.632,26.315,22.644,68.0,32.0
16,Reactive maintenance baseline,public_broadband_hub,digital,55.128,20.717,50.378,50.38,34.064,24.633,28.377,80.0,40.0
16,Reactive maintenance baseline,hospital_access_corridor,transport,40.353,29.687,61.635,23.38,40.238,26.264,24.111,86.0,28.0
17,Reactive maintenance baseline,bridge_north,transport,40.298,30.787,53.393,22.38,37.859,25.015,25.145,62.0,35.0
17,Reactive maintenance baseline,water_main_east,water,34.689,36.672,60.988,25.38,44.053,27.052,21.247,82.0,25.0
17,Reactive maintenance baseline,substation_7,power,46.364,29.225,57.956,41.38,40.496,25.867,26.298,70.0,42.0
17,Reactive maintenance baseline,transit_signal_core,transport,48.804,24.382,47.831,44.38,34.589,24.127,28.233,58.0,48.0
17,Reactive maintenance baseline,stormwater_pump_south,stormwater,27.194,40.342,62.082,30.38,46.955,27.566,19.484,76.0,30.0
17,Reactive maintenance baseline,cooling_center_grid_node,public_facility,41.484,30.97,57.432,34.38,40.573,26.401,24.9,88.0,38.0
17,Reactive maintenance baseline,air_quality_sensor_cluster,environmental,54.316,20.819,43.3,28.38,29.443,23.369,32.345,74.0,55.0
17,Reactive maintenance baseline,wastewater_lift_station,wastewater,35.719,35.623,57.7,31.38,42.926,26.384,22.26,68.0,32.0
17,Reactive maintenance baseline,public_broadband_hub,digital,53.848,21.203,50.378,50.38,34.332,24.697,28.028,80.0,40.0
17,Reactive maintenance baseline,hospital_access_corridor,transport,39.025,30.191,61.635,23.38,40.515,26.33,23.748,86.0,28.0
18,Reactive maintenance baseline,bridge_north,transport,38.932,31.307,53.393,22.38,38.144,25.082,24.772,62.0,35.0
18,Reactive maintenance baseline,water_main_east,water,33.345,37.182,60.988,25.38,44.334,27.118,20.88,82.0,25.0
18,Reactive maintenance baseline,substation_7,power,45.001,29.743,57.956,41.38,40.781,25.935,25.926,70.0,42.0
18,Reactive maintenance baseline,transit_signal_core,transport,47.467,24.89,47.831,44.38,34.869,24.193,27.868,58.0,48.0
18,Reactive maintenance baseline,stormwater_pump_south,stormwater,25.649,40.93,62.082,30.38,47.278,27.642,19.062,76.0,30.0
18,Reactive maintenance baseline,cooling_center_grid_node,public_facility,39.955,31.551,57.432,34.38,40.892,26.476,24.483,88.0,38.0
18,Reactive maintenance baseline,air_quality_sensor_cluster,environmental,52.72,21.425,43.3,28.38,29.777,23.448,31.909,74.0,55.0
18,Reactive maintenance baseline,wastewater_lift_station,wastewater,34.319,36.155,57.7,31.38,43.218,26.453,21.878,68.0,32.0
18,Reactive maintenance baseline,public_broadband_hub,digital,52.571,21.689,50.378,50.38,34.599,24.76,27.679,80.0,40.0
18,Reactive maintenance baseline,hospital_access_corridor,transport,37.7,30.695,61.635,23.38,40.792,26.395,23.386,86.0,28.0
19,Reactive maintenance baseline,bridge_north,transport,37.568,31.825,53.393,22.38,38.429,25.15,24.399,62.0,35.0
19,Reactive maintenance baseline,water_main_east,water,32.004,37.692,60.988,25.38,44.614,27.184,20.514,82.0,25.0
19,Reactive maintenance baseline,substation_7,power,43.642,30.259,57.956,41.38,41.065,26.002,25.555,70.0,42.0
19,Reactive maintenance baseline,transit_signal_core,transport,46.133,25.398,47.831,44.38,35.147,24.259,27.503,58.0,48.0
19,Reactive maintenance baseline,stormwater_pump_south,stormwater,24.107,41.516,62.082,30.38,47.6,27.718,18.641,76.0,30.0
19,Reactive maintenance baseline,cooling_center_grid_node,public_facility,38.43,32.13,57.432,34.38,41.211,26.552,24.066,88.0,38.0
19,Reactive maintenance baseline,air_quality_sensor_cluster,environmental,51.128,22.031,43.3,28.38,30.11,23.527,31.473,74.0,55.0
19,Reactive maintenance baseline,wastewater_lift_station,wastewater,32.922,36.686,57.7,31.38,43.51,26.522,21.496,68.0,32.0
19,Reactive maintenance baseline,public_broadband_hub,digital,51.297,22.173,50.378,50.38,34.865,24.823,27.331,80.0,40.0
19,Reactive maintenance baseline,hospital_access_corridor,transport,36.379,31.197,61.635,23.38,41.068,26.461,23.025,86.0,28.0
20,Reactive maintenance baseline,bridge_north,transport,36.208,32.342,53.393,22.38,38.714,25.217,24.027,62.0,35.0
20,Reactive maintenance baseline,water_main_east,water,30.666,38.2,60.988,25.38,44.894,27.25,20.148,82.0,25.0
20,Reactive maintenance baseline,substation_7,power,42.285,30.775,57.956,41.38,41.349,26.069,25.184,70.0,42.0
20,Reactive maintenance baseline,transit_signal_core,transport,44.801,25.903,47.831,44.38,35.426,24.325,27.139,58.0,48.0
20,Reactive maintenance baseline,stormwater_pump_south,stormwater,22.568,42.1,62.082,30.38,47.922,27.794,18.221,76.0,30.0
20,Reactive maintenance baseline,cooling_center_grid_node,public_facility,36.908,32.709,57.432,34.38,41.529,26.627,23.65,88.0,38.0
20,Reactive maintenance baseline,air_quality_sensor_cluster,environmental,49.539,22.634,43.3,28.38,30.442,23.605,31.039,74.0,55.0
20,Reactive maintenance baseline,wastewater_lift_station,wastewater,31.528,37.215,57.7,31.38,43.801,26.591,21.116,68.0,32.0
20,Reactive maintenance baseline,public_broadband_hub,digital,50.025,22.656,50.378,50.38,35.131,24.885,26.983,80.0,40.0
20,Reactive maintenance baseline,hospital_access_corridor,transport,35.06,31.698,61.635,23.38,41.344,26.526,22.665,86.0,28.0
0,Sensor-rich but underfunded,bridge_north,transport,64.0,12.277,53.943,38.48,29.48,26.005,32.043,62.0,35.0
0,Sensor-rich but underfunded,water_main_east,water,58.0,18.482,61.695,41.48,35.907,28.146,28.014,82.0,25.0
0,Sensor-rich but underfunded,substation_7,power,70.0,11.666,58.572,57.48,32.664,27.006,33.048,70.0,42.0
0,Sensor-rich but underfunded,transit_signal_core,transport,72.0,7.091,48.329,60.48,26.863,25.262,34.849,58.0,48.0
0,Sensor-rich but underfunded,stormwater_pump_south,stormwater,54.0,21.158,62.834,46.48,38.277,28.519,27.159,76.0,30.0
0,Sensor-rich but underfunded,cooling_center_grid_node,public_facility,68.0,12.059,58.237,50.48,32.063,27.424,32.473,88.0,38.0
0,Sensor-rich but underfunded,air_quality_sensor_cluster,environmental,82.0,1.148,43.986,44.48,20.475,24.249,40.281,74.0,55.0
0,Sensor-rich but underfunded,wastewater_lift_station,wastewater,60.0,17.364,58.325,47.48,34.712,27.428,29.251,68.0,32.0
0,Sensor-rich but underfunded,public_broadband_hub,digital,76.0,4.582,51.008,66.48,27.021,25.983,34.32,80.0,40.0
0,Sensor-rich but underfunded,hospital_access_corridor,transport,62.0,12.012,62.35,39.48,32.377,27.436,30.44,86.0,28.0
1,Sensor-rich but underfunded,bridge_north,transport,62.871,12.706,53.943,38.48,29.716,26.061,31.734,62.0,35.0
1,Sensor-rich but underfunded,water_main_east,water,56.896,18.902,61.695,41.48,36.137,28.2,27.712,82.0,25.0
