article_slug,article_title,domain_profile,scenario,year,ecological_social_capacity,resource_pressure,threshold_margin,administrative_or_system_burden,vulnerability_index,resilience_ratio,intervention_active,regime_classification
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,delayed_response,3,76.421,45.8,30.621,34.0,53.746,1.6686,False,resilient
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,delayed_response,4,74.72,47.75,26.969,35.0,54.924,1.5648,False,resilient
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,delayed_response,5,72.895,49.7,23.195,36.0,56.135,1.4667,False,stressed_recoverable
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,delayed_response,6,70.948,51.65,19.298,37.0,57.382,1.3736,False,stressed_recoverable
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,delayed_response,7,68.878,53.6,15.278,38.0,58.662,1.285,False,stressed_recoverable
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,delayed_response,8,66.686,55.55,11.136,39.0,59.977,1.2005,False,stressed_recoverable
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,delayed_response,9,64.37,57.5,6.87,40.0,61.326,1.1195,False,near_threshold
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,delayed_response,10,61.932,59.45,2.482,41.0,62.71,1.0418,False,near_threshold
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,delayed_response,11,59.371,61.4,-2.029,42.0,64.128,0.967,False,shifted_regime
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,delayed_response,12,56.688,63.35,-6.662,43.0,65.58,0.8948,False,shifted_regime
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,delayed_response,13,53.881,65.3,-11.419,44.0,67.067,0.8251,False,shifted_regime
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,delayed_response,14,52.689,67.145,-14.455,44.616,67.949,0.7847,True,shifted_regime
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,delayed_response,15,51.393,68.989,-17.597,45.232,68.859,0.7449,True,shifted_regime
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,delayed_response,16,49.991,70.834,-20.843,45.848,69.799,0.7058,True,shifted_regime
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,delayed_response,17,48.486,72.679,-24.193,46.464,70.769,0.6671,True,shifted_regime
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,delayed_response,18,46.875,74.524,-27.648,47.08,71.767,0.629,True,shifted_regime
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,delayed_response,19,45.16,76.368,-31.208,47.696,72.795,0.5914,True,shifted_regime
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,delayed_response,20,43.341,78.213,-34.872,48.312,73.852,0.5541,True,shifted_regime
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,delayed_response,21,41.417,80.058,-38.641,48.928,74.938,0.5173,True,shifted_regime
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,delayed_response,22,39.388,81.902,-42.514,49.544,76.054,0.4809,True,shifted_regime
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,delayed_response,23,37.255,83.747,-46.492,50.16,77.199,0.4449,True,shifted_regime
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,delayed_response,24,35.017,85.592,-50.575,50.776,78.373,0.4091,True,shifted_regime
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,delayed_response,25,32.675,87.436,-54.762,51.392,79.577,0.3737,True,shifted_regime
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,delayed_response,26,30.228,89.281,-59.053,52.008,80.81,0.3386,True,shifted_regime
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,delayed_response,27,27.676,91.126,-63.449,52.624,82.072,0.3037,True,shifted_regime
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,delayed_response,28,25.02,92.971,-67.95,53.24,83.363,0.2691,True,shifted_regime
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,delayed_response,29,22.26,94.815,-72.556,53.856,84.684,0.2348,True,shifted_regime
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,delayed_response,30,19.394,96.66,-77.265,54.472,86.034,0.2006,True,shifted_regime
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,professional_redesign,0,81.175,39.95,41.225,31.0,50.312,2.0319,False,resilient
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,professional_redesign,1,80.228,41.9,38.328,32.0,51.278,1.9148,False,resilient
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,professional_redesign,2,79.158,43.85,35.308,33.0,52.279,1.8052,False,resilient
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,professional_redesign,3,77.966,45.8,32.165,34.0,53.314,1.7023,False,resilient
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,professional_redesign,4,76.65,47.75,28.9,35.0,54.383,1.6052,False,resilient
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,professional_redesign,5,78.429,49.419,29.01,34.976,54.177,1.587,True,resilient
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,professional_redesign,6,80.134,51.088,29.045,34.952,53.992,1.5685,True,resilient
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,professional_redesign,7,81.764,52.758,29.007,34.928,53.827,1.5498,True,resilient
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,professional_redesign,8,83.32,54.427,28.893,34.904,53.684,1.5309,True,resilient
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,professional_redesign,9,84.802,56.096,28.706,34.88,53.561,1.5117,True,resilient
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,professional_redesign,10,86.21,57.765,28.445,34.856,53.459,1.4924,True,resilient
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,professional_redesign,11,87.543,59.434,28.109,34.832,53.377,1.4729,True,resilient
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,professional_redesign,12,88.802,61.104,27.699,34.808,53.317,1.4533,True,resilient
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,professional_redesign,13,89.987,62.773,27.214,34.784,53.277,1.4335,True,resilient
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,professional_redesign,14,91.097,64.442,26.655,34.76,53.258,1.4136,True,resilient
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,professional_redesign,15,92.134,66.111,26.022,34.736,53.26,1.3936,True,resilient
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,professional_redesign,16,93.096,67.78,25.315,34.712,53.283,1.3735,True,resilient
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,professional_redesign,17,93.983,69.45,24.534,34.688,53.326,1.3533,True,stressed_recoverable
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,professional_redesign,18,94.797,71.119,23.678,34.664,53.391,1.3329,True,stressed_recoverable
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,professional_redesign,19,95.536,72.788,22.748,34.64,53.476,1.3125,True,stressed_recoverable
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,professional_redesign,20,96.201,74.457,21.744,34.616,53.582,1.292,True,stressed_recoverable
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,professional_redesign,21,96.791,76.126,20.665,34.592,53.708,1.2715,True,stressed_recoverable
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,professional_redesign,22,97.308,77.796,19.512,34.568,53.856,1.2508,True,stressed_recoverable
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,professional_redesign,23,97.75,79.465,18.285,34.544,54.024,1.2301,True,stressed_recoverable
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,professional_redesign,24,98.117,81.134,16.983,34.52,54.213,1.2093,True,stressed_recoverable
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,professional_redesign,25,98.411,82.803,15.608,34.496,54.423,1.1885,True,stressed_recoverable
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,professional_redesign,26,98.63,84.472,14.158,34.472,54.654,1.1676,True,stressed_recoverable
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,professional_redesign,27,98.775,86.142,12.634,34.448,54.905,1.1467,True,stressed_recoverable
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,professional_redesign,28,98.846,87.811,11.035,34.424,55.178,1.1257,True,stressed_recoverable
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,professional_redesign,29,98.842,89.48,9.362,34.4,55.471,1.1046,True,near_threshold
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,professional_redesign,30,98.764,91.149,7.615,34.376,55.784,1.0835,True,near_threshold
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,transformative_change,0,81.392,39.95,41.442,31.0,50.251,2.0374,False,resilient
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,transformative_change,1,80.662,41.9,38.762,32.0,51.157,1.9251,False,resilient
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,transformative_change,2,79.808,43.85,35.958,33.0,52.097,1.82,False,resilient
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,transformative_change,3,82.864,45.379,37.485,32.464,51.329,1.826,True,resilient
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,transformative_change,4,85.87,46.908,38.962,31.928,50.575,1.8306,True,resilient
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,transformative_change,5,88.825,48.436,40.389,31.392,49.835,1.8339,True,resilient
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,transformative_change,6,91.731,49.965,41.766,30.856,49.109,1.8359,True,resilient
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,transformative_change,7,94.586,51.494,43.092,30.32,48.397,1.8368,True,resilient
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,transformative_change,8,97.392,53.023,44.369,29.784,47.699,1.8368,True,resilient
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,transformative_change,9,100.0,54.552,45.448,29.248,47.056,1.8331,True,resilient
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,transformative_change,10,100.0,56.08,43.92,28.712,47.144,1.7832,True,resilient
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,transformative_change,11,100.0,57.609,42.391,28.176,47.231,1.7358,True,resilient
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,transformative_change,12,100.0,59.138,40.862,27.64,47.319,1.691,True,resilient
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,transformative_change,13,100.0,60.667,39.333,27.104,47.406,1.6483,True,resilient
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,transformative_change,14,100.0,62.196,37.804,26.568,47.494,1.6078,True,resilient
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,transformative_change,15,100.0,63.724,36.276,26.032,47.582,1.5693,True,resilient
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,transformative_change,16,100.0,65.253,34.747,25.496,47.669,1.5325,True,resilient
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,transformative_change,17,100.0,66.782,33.218,24.96,47.757,1.4974,True,resilient
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,transformative_change,18,100.0,68.311,31.689,24.424,47.844,1.4639,True,resilient
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,transformative_change,19,100.0,69.84,30.16,23.888,47.932,1.4319,True,resilient
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,transformative_change,20,100.0,71.368,28.632,23.352,48.02,1.4012,True,resilient
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,transformative_change,21,100.0,72.897,27.103,22.816,48.107,1.3718,True,resilient
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,transformative_change,22,100.0,74.426,25.574,22.28,48.195,1.3436,True,resilient
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,transformative_change,23,100.0,75.955,24.045,21.744,48.282,1.3166,True,stressed_recoverable
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,transformative_change,24,100.0,77.484,22.516,21.208,48.37,1.2906,True,stressed_recoverable
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,transformative_change,25,100.0,79.012,20.988,20.672,48.457,1.2656,True,stressed_recoverable
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,transformative_change,26,100.0,80.541,19.459,20.136,48.545,1.2416,True,stressed_recoverable
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,transformative_change,27,100.0,82.07,17.93,19.6,48.633,1.2185,True,stressed_recoverable
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,transformative_change,28,100.0,83.599,16.401,19.064,48.72,1.1962,True,stressed_recoverable
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,transformative_change,29,100.0,85.128,14.872,18.528,48.808,1.1747,True,stressed_recoverable
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,transformative_change,30,100.0,86.656,13.344,17.992,48.895,1.154,True,stressed_recoverable
