period,scenario,system_state,observed_state,reference_goal,error_signal,control_action,disturbance_pressure,response_variety,variety_gap,learning_capacity,trust_index,regulation_quality,accountability_index
47,Rigid control,55.384,56.991,70.0,13.009,4.686,9.33,21.188,50.231,36.985,0.0,87.363,9.165
48,Rigid control,55.259,56.749,70.0,13.251,4.751,9.36,20.583,50.812,36.545,0.0,86.932,9.078
0,Delayed feedback,48.357,46.0,70.0,24.0,16.64,7.56,47.18,20.0,39.872,45.346,100.0,32.037
1,Delayed feedback,50.725,46.0,70.0,24.0,16.734,7.59,48.407,18.82,41.744,44.751,100.0,32.065
2,Delayed feedback,53.105,46.0,70.0,24.0,16.833,7.62,49.683,17.593,43.606,44.217,100.0,32.115
3,Delayed feedback,55.497,46.0,70.0,24.0,16.935,7.65,51.011,16.317,45.447,43.748,100.0,32.189
4,Delayed feedback,57.903,46.0,70.0,24.0,17.041,7.68,52.391,14.989,47.269,43.344,100.0,32.288
5,Delayed feedback,60.322,46.0,70.0,24.0,17.151,7.71,53.827,13.609,49.074,43.01,100.0,32.411
6,Delayed feedback,62.756,46.0,70.0,24.0,17.266,7.74,55.32,12.173,50.867,42.747,100.0,32.561
7,Delayed feedback,65.205,46.0,70.0,24.0,17.386,7.77,56.873,10.68,52.649,42.559,100.0,32.738
8,Delayed feedback,67.671,46.0,70.0,24.0,17.51,7.8,58.488,9.127,54.423,42.449,100.0,32.943
9,Delayed feedback,70.154,46.0,70.0,24.0,17.639,7.83,60.167,7.512,56.193,42.419,100.0,33.178
10,Delayed feedback,72.655,46.0,70.0,24.0,17.773,7.86,61.914,5.833,57.962,42.473,100.0,33.443
11,Delayed feedback,74.913,48.357,70.0,21.643,16.452,7.89,63.73,4.086,59.733,42.686,100.0,33.759
12,Delayed feedback,76.926,50.725,70.0,19.275,15.129,7.92,65.62,2.27,61.512,43.06,100.0,34.125
13,Delayed feedback,78.695,53.105,70.0,16.895,13.804,7.95,67.584,0.38,63.306,43.6,100.0,34.543
14,Delayed feedback,80.196,55.497,70.0,14.503,12.352,7.98,69.564,0.0,65.123,44.231,100.0,34.758
15,Delayed feedback,81.423,57.903,70.0,12.097,10.86,8.01,71.544,0.0,66.964,44.934,100.0,34.934
16,Delayed feedback,82.374,60.322,70.0,9.678,9.36,8.04,73.524,0.0,68.833,45.71,100.0,35.127
17,Delayed feedback,83.047,62.756,70.0,7.244,7.851,8.07,75.504,0.0,70.705,46.559,100.0,35.34
18,Delayed feedback,83.441,65.205,70.0,4.795,6.333,8.1,77.484,0.0,72.577,47.481,100.0,35.57
19,Delayed feedback,83.553,67.671,70.0,2.329,4.804,8.13,79.464,0.0,74.449,48.477,100.0,35.819
20,Delayed feedback,82.173,70.154,70.0,-0.154,3.456,8.16,81.444,0.0,76.321,49.538,100.0,36.085
21,Delayed feedback,80.508,72.655,70.0,-2.655,5.006,8.19,83.424,0.0,78.193,50.525,100.0,36.331
22,Delayed feedback,78.585,74.913,70.0,-4.913,6.406,8.22,85.404,0.0,80.065,51.443,100.0,36.561
23,Delayed feedback,76.431,76.926,70.0,-6.926,7.654,8.25,87.384,0.0,81.937,52.301,100.0,36.775
24,Delayed feedback,74.074,78.695,70.0,-8.695,8.751,8.28,89.364,0.0,83.809,53.107,100.0,36.977
25,Delayed feedback,71.544,80.196,70.0,-10.196,9.681,8.31,91.344,0.0,85.681,53.867,100.0,37.167
26,Delayed feedback,68.87,81.423,70.0,-11.423,10.442,8.34,93.324,0.0,87.553,54.59,100.0,37.348
27,Delayed feedback,66.084,82.374,70.0,-12.374,11.032,8.37,95.304,0.0,89.425,55.285,100.0,37.521
28,Delayed feedback,63.218,83.047,70.0,-13.047,11.449,8.4,97.284,0.0,91.297,55.959,100.0,37.69
29,Delayed feedback,60.301,83.441,70.0,-13.441,11.693,8.43,99.264,0.0,93.169,56.622,100.0,37.856
30,Delayed feedback,57.365,83.553,70.0,-13.553,11.763,8.46,100.0,0.0,95.041,57.282,100.0,38.02
31,Delayed feedback,54.578,82.173,70.0,-12.173,10.908,8.49,100.0,0.0,96.913,57.982,100.0,38.196
32,Delayed feedback,51.971,80.508,70.0,-10.508,9.875,8.52,100.0,0.0,98.785,58.733,100.0,38.383
33,Delayed feedback,49.572,78.585,70.0,-8.585,8.683,8.55,100.0,0.0,100.0,59.542,100.0,38.585
34,Delayed feedback,47.407,76.431,70.0,-6.431,7.348,8.58,100.0,0.0,100.0,60.415,100.0,38.804
35,Delayed feedback,45.5,74.074,70.0,-4.074,5.886,8.61,100.0,0.0,100.0,61.358,100.0,39.04
36,Delayed feedback,43.869,71.544,70.0,-1.544,4.317,8.64,100.0,0.0,100.0,62.378,100.0,39.295
37,Delayed feedback,43.739,68.87,70.0,1.13,4.061,8.67,100.0,0.0,100.0,63.41,100.0,39.553
38,Delayed feedback,43.915,66.084,70.0,3.916,5.788,8.7,100.0,0.0,100.0,64.359,100.0,39.79
39,Delayed feedback,44.405,63.218,70.0,6.782,7.565,8.73,100.0,0.0,100.0,65.221,100.0,40.005
40,Delayed feedback,45.214,60.301,70.0,9.699,9.373,8.76,100.0,0.0,100.0,65.996,100.0,40.199
41,Delayed feedback,46.345,57.365,70.0,12.635,11.193,8.79,100.0,0.0,100.0,66.683,100.0,40.371
42,Delayed feedback,47.781,54.578,70.0,15.422,12.922,8.82,100.0,0.0,100.0,67.287,100.0,40.522
43,Delayed feedback,49.502,51.971,70.0,18.029,14.538,8.85,100.0,0.0,100.0,67.812,100.0,40.653
44,Delayed feedback,51.484,49.572,70.0,20.428,16.026,8.88,100.0,0.0,100.0,68.265,100.0,40.766
45,Delayed feedback,53.703,47.407,70.0,22.593,17.368,8.91,100.0,0.0,100.0,68.653,100.0,40.863
46,Delayed feedback,56.128,45.5,70.0,24.5,18.55,8.94,100.0,0.0,100.0,68.984,100.0,40.946
47,Delayed feedback,58.729,43.869,70.0,26.131,19.562,8.97,100.0,0.0,100.0,69.266,100.0,41.017
48,Delayed feedback,61.338,43.739,70.0,26.261,19.642,9.0,100.0,0.0,100.0,69.544,100.0,41.086
0,Adaptive regulation,48.198,46.0,70.0,24.0,16.8,7.32,65.852,0.0,41.48,59.042,100.0,54.06
1,Adaptive regulation,50.39,46.0,70.0,24.0,16.8,7.35,69.704,0.0,44.96,60.084,100.0,54.321
2,Adaptive regulation,52.576,46.0,70.0,24.0,16.8,7.38,73.556,0.0,48.44,61.126,100.0,54.581
3,Adaptive regulation,54.756,46.0,70.0,24.0,16.8,7.41,77.408,0.0,51.92,62.168,100.0,54.842
4,Adaptive regulation,56.93,46.0,70.0,24.0,16.8,7.44,81.26,0.0,55.4,63.21,100.0,55.102
5,Adaptive regulation,58.908,48.198,70.0,21.802,15.745,7.47,85.112,0.0,58.88,64.318,100.0,55.379
6,Adaptive regulation,60.691,50.39,70.0,19.61,14.693,7.5,88.964,0.0,62.36,65.492,100.0,55.673
7,Adaptive regulation,62.279,52.576,70.0,17.424,13.644,7.53,92.816,0.0,65.84,66.731,100.0,55.983
8,Adaptive regulation,63.672,54.756,70.0,15.244,12.597,7.56,96.668,0.0,69.32,68.036,100.0,56.309
9,Adaptive regulation,64.872,56.93,70.0,13.07,11.554,7.59,100.0,0.0,72.8,69.405,100.0,56.651
10,Adaptive regulation,65.895,58.908,70.0,11.092,10.604,7.62,100.0,0.0,76.28,70.835,100.0,57.009
11,Adaptive regulation,66.757,60.691,70.0,9.309,9.748,7.65,100.0,0.0,79.76,72.317,100.0,57.379
12,Adaptive regulation,67.477,62.279,70.0,7.721,8.986,7.68,100.0,0.0,83.24,73.848,100.0,57.762
13,Adaptive regulation,68.07,63.672,70.0,6.328,8.317,7.71,100.0,0.0,86.72,75.42,100.0,58.155
14,Adaptive regulation,68.553,64.872,70.0,5.128,7.742,7.74,100.0,0.0,90.2,77.028,100.0,58.557
15,Adaptive regulation,68.942,65.895,70.0,4.105,7.251,7.77,100.0,0.0,93.68,78.667,100.0,58.967
16,Adaptive regulation,69.251,66.757,70.0,3.243,6.837,7.8,100.0,0.0,97.16,80.332,100.0,59.383
17,Adaptive regulation,69.491,67.477,70.0,2.523,6.491,7.83,100.0,0.0,100.0,82.018,100.0,59.804
18,Adaptive regulation,69.675,68.07,70.0,1.93,6.206,7.86,100.0,0.0,100.0,83.722,100.0,60.231
19,Adaptive regulation,69.81,68.553,70.0,1.447,5.974,7.89,100.0,0.0,100.0,85.441,100.0,60.66
20,Adaptive regulation,69.906,68.942,70.0,1.058,5.788,7.92,100.0,0.0,100.0,87.171,100.0,61.093
21,Adaptive regulation,69.969,69.251,70.0,0.749,5.639,7.95,100.0,0.0,100.0,88.91,100.0,61.528
22,Adaptive regulation,70.005,69.491,70.0,0.509,5.524,7.98,100.0,0.0,100.0,90.657,100.0,61.964
23,Adaptive regulation,70.02,69.675,70.0,0.325,5.436,8.01,100.0,0.0,100.0,92.409,100.0,62.402
24,Adaptive regulation,70.017,69.81,70.0,0.19,5.371,8.04,100.0,0.0,100.0,94.166,100.0,62.841
25,Adaptive regulation,69.999,69.906,70.0,0.094,5.325,8.07,100.0,0.0,100.0,95.925,100.0,63.281
26,Adaptive regulation,69.97,69.969,70.0,0.031,5.295,8.1,100.0,0.0,100.0,97.686,100.0,63.722
27,Adaptive regulation,68.031,70.005,70.0,-0.005,5.283,8.13,100.0,0.0,100.0,99.448,100.0,64.162
28,Adaptive regulation,66.085,70.02,70.0,-0.02,5.289,8.16,100.0,0.0,100.0,100.0,100.0,64.3
29,Adaptive regulation,64.133,70.017,70.0,-0.017,5.288,8.19,100.0,0.0,100.0,100.0,100.0,64.3
30,Adaptive regulation,64.078,69.999,70.0,0.001,5.28,8.22,100.0,0.0,100.0,100.0,100.0,64.3
31,Adaptive regulation,64.019,69.97,70.0,0.03,5.294,8.25,100.0,0.0,100.0,100.0,100.0,64.3
32,Adaptive regulation,64.121,68.031,70.0,1.969,6.225,8.28,100.0,0.0,100.0,100.0,100.0,64.3
33,Adaptive regulation,64.386,66.085,70.0,3.915,7.159,8.31,100.0,0.0,100.0,100.0,100.0,64.3
34,Adaptive regulation,64.813,64.133,70.0,5.867,8.096,8.34,100.0,0.0,100.0,100.0,100.0,64.3
35,Adaptive regulation,65.239,64.078,70.0,5.922,8.123,8.37,100.0,0.0,100.0,100.0,100.0,64.3
36,Adaptive regulation,65.664,64.019,70.0,5.981,8.151,8.4,100.0,0.0,100.0,100.0,100.0,64.3
37,Adaptive regulation,66.075,64.121,70.0,5.879,8.102,8.43,100.0,0.0,100.0,100.0,100.0,64.3
38,Adaptive regulation,66.456,64.386,70.0,5.614,7.975,8.46,100.0,0.0,100.0,100.0,100.0,64.3
39,Adaptive regulation,66.795,64.813,70.0,5.187,7.77,8.49,100.0,0.0,100.0,100.0,100.0,64.3
40,Adaptive regulation,67.091,65.239,70.0,4.761,7.565,8.52,100.0,0.0,100.0,100.0,100.0,64.3
41,Adaptive regulation,67.344,65.664,70.0,4.336,7.361,8.55,100.0,0.0,100.0,100.0,100.0,64.3
42,Adaptive regulation,67.555,66.075,70.0,3.925,7.164,8.58,100.0,0.0,100.0,100.0,100.0,64.3
43,Adaptive regulation,67.728,66.456,70.0,3.544,6.981,8.61,100.0,0.0,100.0,100.0,100.0,64.3
44,Adaptive regulation,67.865,66.795,70.0,3.205,6.818,8.64,100.0,0.0,100.0,100.0,100.0,64.3
45,Adaptive regulation,67.971,67.091,70.0,2.909,6.677,8.67,100.0,0.0,100.0,100.0,100.0,64.3
46,Adaptive regulation,68.049,67.344,70.0,2.656,6.555,8.7,100.0,0.0,100.0,100.0,100.0,64.3
47,Adaptive regulation,68.102,67.555,70.0,2.445,6.454,8.73,100.0,0.0,100.0,100.0,100.0,64.3
48,Adaptive regulation,68.135,67.728,70.0,2.272,6.371,8.76,100.0,0.0,100.0,100.0,100.0,64.3
0,Accountable learning system,47.962,46.0,70.0,24.0,16.32,7.14,74.892,0.0,42.432,67.618,100.0,69.404
1,Accountable learning system,49.917,46.0,70.0,24.0,16.32,7.17,79.784,0.0,46.864,69.236,100.0,69.809
2,Accountable learning system,51.867,46.0,70.0,24.0,16.32,7.2,84.676,0.0,51.296,70.854,100.0,70.213
3,Accountable learning system,53.81,46.0,70.0,24.0,16.32,7.23,89.568,0.0,55.728,72.472,100.0,70.618
4,Accountable learning system,55.6,47.962,70.0,22.038,15.496,7.26,94.46,0.0,60.16,74.149,100.0,71.037
5,Accountable learning system,57.235,49.917,70.0,20.083,14.675,7.29,99.352,0.0,64.592,75.884,100.0,71.471
6,Accountable learning system,58.717,51.867,70.0,18.133,13.856,7.32,100.0,0.0,69.024,77.678,100.0,71.92
7,Accountable learning system,60.046,53.81,70.0,16.19,13.04,7.35,100.0,0.0,73.456,79.531,100.0,72.383
8,Accountable learning system,61.234,55.6,70.0,14.4,12.288,7.38,100.0,0.0,77.888,81.437,100.0,72.859
9,Accountable learning system,62.292,57.235,70.0,12.765,11.601,7.41,100.0,0.0,82.32,83.392,100.0,73.348
10,Accountable learning system,63.233,58.717,70.0,11.283,10.979,7.44,100.0,0.0,86.752,85.391,100.0,73.848
11,Accountable learning system,64.066,60.046,70.0,9.954,10.421,7.47,100.0,0.0,91.184,87.431,100.0,74.358
12,Accountable learning system,64.804,61.234,70.0,8.766,9.922,7.5,100.0,0.0,95.616,89.506,100.0,74.876
13,Accountable learning system,65.456,62.292,70.0,7.708,9.477,7.53,100.0,0.0,100.0,91.612,100.0,75.403
14,Accountable learning system,66.031,63.233,70.0,6.767,9.082,7.56,100.0,0.0,100.0,93.747,100.0,75.937
15,Accountable learning system,66.537,64.066,70.0,5.934,8.732,7.59,100.0,0.0,100.0,95.907,100.0,76.477
16,Accountable learning system,66.981,64.804,70.0,5.196,8.422,7.62,100.0,0.0,100.0,98.09,100.0,77.022
17,Accountable learning system,67.369,65.456,70.0,4.544,8.148,7.65,100.0,0.0,100.0,100.0,100.0,77.5
18,Accountable learning system,67.709,66.031,70.0,3.969,7.907,7.68,100.0,0.0,100.0,100.0,100.0,77.5
19,Accountable learning system,68.004,66.537,70.0,3.463,7.695,7.71,100.0,0.0,100.0,100.0,100.0,77.5
20,Accountable learning system,68.259,66.981,70.0,3.019,7.508,7.74,100.0,0.0,100.0,100.0,100.0,77.5
21,Accountable learning system,68.479,67.369,70.0,2.631,7.345,7.77,100.0,0.0,100.0,100.0,100.0,77.5
22,Accountable learning system,68.668,67.709,70.0,2.291,7.202,7.8,100.0,0.0,100.0,100.0,100.0,77.5
23,Accountable learning system,68.828,68.004,70.0,1.996,7.078,7.83,100.0,0.0,100.0,100.0,100.0,77.5
24,Accountable learning system,68.963,68.259,70.0,1.741,6.971,7.86,100.0,0.0,100.0,100.0,100.0,77.5
25,Accountable learning system,69.075,68.479,70.0,1.521,6.879,7.89,100.0,0.0,100.0,100.0,100.0,77.5
26,Accountable learning system,69.167,68.668,70.0,1.332,6.8,7.92,100.0,0.0,100.0,100.0,100.0,77.5
27,Accountable learning system,69.241,68.828,70.0,1.172,6.732,7.95,100.0,0.0,100.0,100.0,100.0,77.5
28,Accountable learning system,69.298,68.963,70.0,1.037,6.676,7.98,100.0,0.0,100.0,100.0,100.0,77.5
29,Accountable learning system,69.341,69.075,70.0,0.925,6.629,8.01,100.0,0.0,100.0,100.0,100.0,77.5
30,Accountable learning system,69.371,69.167,70.0,0.833,6.59,8.04,100.0,0.0,100.0,100.0,100.0,77.5
31,Accountable learning system,69.39,69.241,70.0,0.759,6.559,8.07,100.0,0.0,100.0,100.0,100.0,77.5
32,Accountable learning system,69.398,69.298,70.0,0.702,6.535,8.1,100.0,0.0,100.0,100.0,100.0,77.5
33,Accountable learning system,69.397,69.341,70.0,0.659,6.517,8.13,100.0,0.0,100.0,100.0,100.0,77.5
34,Accountable learning system,69.388,69.371,70.0,0.629,6.504,8.16,100.0,0.0,100.0,100.0,100.0,77.5
35,Accountable learning system,69.371,69.39,70.0,0.61,6.496,8.19,100.0,0.0,100.0,100.0,100.0,77.5
36,Accountable learning system,69.348,69.398,70.0,0.602,6.493,8.22,100.0,0.0,100.0,100.0,100.0,77.5
37,Accountable learning system,69.319,69.397,70.0,0.603,6.493,8.25,100.0,0.0,100.0,100.0,100.0,77.5
38,Accountable learning system,69.284,69.388,70.0,0.612,6.497,8.28,100.0,0.0,100.0,100.0,100.0,77.5
39,Accountable learning system,69.245,69.371,70.0,0.629,6.504,8.31,100.0,0.0,100.0,100.0,100.0,77.5
40,Accountable learning system,69.201,69.348,70.0,0.652,6.514,8.34,100.0,0.0,100.0,100.0,100.0,77.5
41,Accountable learning system,69.154,69.319,70.0,0.681,6.526,8.37,100.0,0.0,100.0,100.0,100.0,77.5
42,Accountable learning system,69.104,69.284,70.0,0.716,6.541,8.4,100.0,0.0,100.0,100.0,100.0,77.5
43,Accountable learning system,69.05,69.245,70.0,0.755,6.557,8.43,100.0,0.0,100.0,100.0,100.0,77.5
44,Accountable learning system,68.993,69.201,70.0,0.799,6.575,8.46,100.0,0.0,100.0,100.0,100.0,77.5
45,Accountable learning system,68.934,69.154,70.0,0.846,6.595,8.49,100.0,0.0,100.0,100.0,100.0,77.5
46,Accountable learning system,68.873,69.104,70.0,0.896,6.617,8.52,100.0,0.0,100.0,100.0,100.0,77.5
47,Accountable learning system,68.811,69.05,70.0,0.95,6.639,8.55,100.0,0.0,100.0,100.0,100.0,77.5
48,Accountable learning system,68.746,68.993,70.0,1.007,6.663,8.58,100.0,0.0,100.0,100.0,100.0,77.5
