year,scenario,policy_active,emissions_gtco2,co2_ppm,forcing_wm2,temperature_anomaly_c,ocean_heat_index,effective_sink_fraction,hazard_index,residual_vulnerability,risk_index
70,Delayed transition,True,12.151,582.569,3.92,4.303,8.093,0.339,100.0,45.75,25.163
71,Delayed transition,True,11.847,583.591,3.929,4.324,8.23,0.338,100.0,45.75,25.163
72,Delayed transition,True,11.551,584.588,3.938,4.344,8.368,0.337,100.0,45.75,25.163
73,Delayed transition,True,11.262,585.563,3.947,4.364,8.506,0.336,100.0,45.75,25.163
74,Delayed transition,True,10.981,586.515,3.956,4.384,8.644,0.335,100.0,45.75,25.163
75,Delayed transition,True,10.706,587.444,3.964,4.403,8.783,0.335,100.0,45.75,25.163
76,Delayed transition,True,10.439,588.352,3.973,4.422,8.922,0.334,100.0,45.75,25.163
77,Delayed transition,True,10.178,589.238,3.981,4.441,9.062,0.333,100.0,45.75,25.163
78,Delayed transition,True,9.923,590.104,3.988,4.46,9.201,0.332,100.0,45.75,25.163
79,Delayed transition,True,9.675,590.95,3.996,4.478,9.341,0.332,100.0,45.75,25.163
80,Delayed transition,True,9.433,591.776,4.004,4.496,9.481,0.331,100.0,45.75,25.163
0,Rapid mitigation,False,40.2,422.732,2.204,1.295,0.077,0.47,31.088,30.5,5.215
1,Rapid mitigation,False,40.401,425.478,2.239,1.385,0.155,0.47,33.24,30.5,5.576
2,Rapid mitigation,False,40.603,428.238,2.273,1.47,0.235,0.47,35.269,30.5,5.916
3,Rapid mitigation,False,40.806,431.013,2.308,1.549,0.316,0.47,37.188,30.5,6.238
4,Rapid mitigation,False,41.01,433.811,2.342,1.625,0.398,0.468,39.007,30.5,6.543
5,Rapid mitigation,True,38.549,436.458,2.375,1.697,0.481,0.465,40.733,30.5,6.833
6,Rapid mitigation,True,36.236,438.959,2.405,1.765,0.565,0.462,42.37,30.5,7.108
7,Rapid mitigation,True,34.062,441.322,2.434,1.83,0.65,0.459,43.922,30.5,7.368
8,Rapid mitigation,True,32.019,443.554,2.461,1.891,0.736,0.457,45.395,30.5,7.615
9,Rapid mitigation,True,30.097,445.663,2.487,1.95,0.823,0.454,46.793,30.5,7.85
10,Rapid mitigation,True,28.292,447.653,2.51,2.005,0.911,0.452,48.119,30.5,8.072
11,Rapid mitigation,True,26.594,449.533,2.533,2.057,1.0,0.45,49.378,30.5,8.283
12,Rapid mitigation,True,24.998,451.306,2.554,2.107,1.089,0.448,50.573,30.5,8.484
13,Rapid mitigation,True,23.499,452.979,2.574,2.154,1.179,0.446,51.708,30.5,8.674
14,Rapid mitigation,True,22.089,454.558,2.592,2.199,1.27,0.444,52.786,30.5,8.855
15,Rapid mitigation,True,20.763,456.047,2.61,2.242,1.362,0.442,53.81,30.5,9.027
16,Rapid mitigation,True,19.518,457.452,2.626,2.283,1.453,0.44,54.784,30.5,9.19
17,Rapid mitigation,True,18.346,458.776,2.642,2.321,1.546,0.439,55.71,30.5,9.345
18,Rapid mitigation,True,17.246,460.025,2.656,2.358,1.639,0.437,56.59,30.5,9.493
19,Rapid mitigation,True,16.211,461.202,2.67,2.393,1.732,0.436,57.428,30.5,9.634
20,Rapid mitigation,True,15.238,462.312,2.683,2.426,1.826,0.434,58.226,30.5,9.767
21,Rapid mitigation,True,14.324,463.358,2.695,2.458,1.921,0.433,58.986,30.5,9.895
22,Rapid mitigation,True,13.465,464.343,2.706,2.488,2.015,0.432,59.71,30.5,10.016
23,Rapid mitigation,True,12.657,465.272,2.717,2.517,2.11,0.43,60.401,30.5,10.132
24,Rapid mitigation,True,11.897,466.147,2.727,2.544,2.206,0.429,61.059,30.5,10.243
25,Rapid mitigation,True,11.183,466.972,2.736,2.57,2.302,0.428,61.688,30.5,10.348
26,Rapid mitigation,True,10.512,467.749,2.745,2.595,2.398,0.427,62.288,30.5,10.449
27,Rapid mitigation,True,9.882,468.481,2.754,2.619,2.494,0.426,62.862,30.5,10.545
28,Rapid mitigation,True,9.289,469.171,2.762,2.642,2.591,0.425,63.411,30.5,10.637
29,Rapid mitigation,True,8.731,469.821,2.769,2.664,2.688,0.424,63.936,30.5,10.725
30,Rapid mitigation,True,8.208,470.433,2.776,2.685,2.785,0.423,64.439,30.5,10.81
31,Rapid mitigation,True,7.715,471.009,2.782,2.705,2.882,0.423,64.921,30.5,10.891
32,Rapid mitigation,True,7.252,471.552,2.789,2.724,2.98,0.422,65.384,30.5,10.968
33,Rapid mitigation,True,6.817,472.064,2.794,2.743,3.078,0.421,65.828,30.5,11.043
34,Rapid mitigation,True,6.408,472.546,2.8,2.761,3.176,0.42,66.254,30.5,11.114
35,Rapid mitigation,True,6.024,472.999,2.805,2.778,3.274,0.42,66.664,30.5,11.183
36,Rapid mitigation,True,5.662,473.427,2.81,2.794,3.372,0.419,67.058,30.5,11.249
37,Rapid mitigation,True,5.322,473.83,2.814,2.81,3.471,0.418,67.438,30.5,11.313
38,Rapid mitigation,True,5.003,474.209,2.819,2.825,3.569,0.418,67.804,30.5,11.374
39,Rapid mitigation,True,4.703,474.566,2.823,2.84,3.668,0.417,68.157,30.5,11.433
40,Rapid mitigation,True,4.421,474.903,2.827,2.854,3.767,0.416,68.497,30.5,11.49
41,Rapid mitigation,True,4.155,475.22,2.83,2.868,3.866,0.416,68.827,30.5,11.546
42,Rapid mitigation,True,3.906,475.519,2.833,2.881,3.965,0.415,69.145,30.5,11.599
43,Rapid mitigation,True,3.672,475.8,2.837,2.894,4.064,0.415,69.454,30.5,11.651
44,Rapid mitigation,True,3.451,476.066,2.84,2.906,4.164,0.414,69.753,30.5,11.701
45,Rapid mitigation,True,3.244,476.316,2.842,2.918,4.263,0.414,70.043,30.5,11.75
46,Rapid mitigation,True,3.05,476.551,2.845,2.93,4.363,0.413,70.324,30.5,11.797
47,Rapid mitigation,True,2.867,476.773,2.848,2.942,4.463,0.413,70.597,30.5,11.843
48,Rapid mitigation,True,2.695,476.982,2.85,2.953,4.562,0.412,70.863,30.5,11.887
49,Rapid mitigation,True,2.533,477.18,2.852,2.963,4.662,0.412,71.122,30.5,11.931
50,Rapid mitigation,True,2.381,477.366,2.854,2.974,4.762,0.411,71.375,30.5,11.973
51,Rapid mitigation,True,2.238,477.541,2.856,2.984,4.862,0.411,71.621,30.5,12.014
52,Rapid mitigation,True,2.104,477.706,2.858,2.994,4.962,0.411,71.861,30.5,12.055
53,Rapid mitigation,True,1.978,477.862,2.86,3.004,5.062,0.41,72.096,30.5,12.094
54,Rapid mitigation,True,1.859,478.009,2.861,3.014,5.162,0.41,72.325,30.5,12.133
55,Rapid mitigation,True,1.747,478.148,2.863,3.023,5.262,0.409,72.55,30.5,12.17
56,Rapid mitigation,True,1.643,478.279,2.864,3.032,5.363,0.409,72.77,30.5,12.207
57,Rapid mitigation,True,1.544,478.402,2.866,3.041,5.463,0.409,72.985,30.5,12.243
58,Rapid mitigation,True,1.451,478.519,2.867,3.05,5.563,0.408,73.197,30.5,12.279
59,Rapid mitigation,True,1.364,478.629,2.868,3.059,5.664,0.408,73.405,30.5,12.314
60,Rapid mitigation,True,1.282,478.733,2.869,3.067,5.764,0.408,73.609,30.5,12.348
61,Rapid mitigation,True,1.206,478.831,2.871,3.075,5.865,0.407,73.81,30.5,12.382
62,Rapid mitigation,True,1.133,478.924,2.872,3.084,5.965,0.407,74.007,30.5,12.415
63,Rapid mitigation,True,1.065,479.012,2.873,3.092,6.066,0.407,74.202,30.5,12.447
64,Rapid mitigation,True,1.001,479.095,2.874,3.1,6.166,0.406,74.394,30.5,12.48
65,Rapid mitigation,True,0.941,479.173,2.874,3.108,6.267,0.406,74.583,30.5,12.511
66,Rapid mitigation,True,0.885,479.247,2.875,3.115,6.368,0.406,74.77,30.5,12.543
67,Rapid mitigation,True,0.832,479.317,2.876,3.123,6.468,0.405,74.954,30.5,12.574
68,Rapid mitigation,True,0.782,479.384,2.877,3.131,6.569,0.405,75.136,30.5,12.604
69,Rapid mitigation,True,0.735,479.447,2.877,3.138,6.67,0.405,75.316,30.5,12.634
70,Rapid mitigation,True,0.691,479.506,2.878,3.146,6.77,0.404,75.494,30.5,12.664
71,Rapid mitigation,True,0.649,479.563,2.879,3.153,6.871,0.404,75.671,30.5,12.694
72,Rapid mitigation,True,0.61,479.616,2.879,3.16,6.972,0.404,75.845,30.5,12.723
73,Rapid mitigation,True,0.574,479.667,2.88,3.167,7.073,0.404,76.018,30.5,12.752
74,Rapid mitigation,True,0.539,479.715,2.88,3.175,7.173,0.403,76.19,30.5,12.781
75,Rapid mitigation,True,0.507,479.761,2.881,3.182,7.274,0.403,76.36,30.5,12.809
76,Rapid mitigation,True,0.477,479.805,2.881,3.189,7.375,0.403,76.528,30.5,12.838
77,Rapid mitigation,True,0.448,479.846,2.882,3.196,7.476,0.402,76.696,30.5,12.866
78,Rapid mitigation,True,0.421,479.885,2.882,3.203,7.577,0.402,76.862,30.5,12.894
79,Rapid mitigation,True,0.396,479.923,2.883,3.209,7.678,0.402,77.027,30.5,12.921
80,Rapid mitigation,True,0.372,479.958,2.883,3.216,7.779,0.402,77.191,30.5,12.949
0,Justice-centered transition,False,40.2,422.681,2.203,1.294,0.077,0.48,31.066,14.2,2.426
1,Justice-centered transition,False,40.401,425.375,2.237,1.383,0.155,0.48,33.196,14.2,2.593
2,Justice-centered transition,False,40.603,428.083,2.271,1.467,0.235,0.48,35.204,14.2,2.749
3,Justice-centered transition,True,37.964,430.615,2.303,1.546,0.316,0.48,37.096,14.2,2.897
4,Justice-centered transition,True,35.496,432.991,2.332,1.62,0.397,0.478,38.879,14.2,3.036
5,Justice-centered transition,True,33.189,435.226,2.36,1.69,0.48,0.475,40.56,14.2,3.168
6,Justice-centered transition,True,31.032,437.327,2.386,1.756,0.563,0.472,42.145,14.2,3.292
7,Justice-centered transition,True,29.015,439.301,2.41,1.818,0.648,0.47,43.639,14.2,3.408
8,Justice-centered transition,True,27.129,441.157,2.432,1.877,0.733,0.467,45.05,14.2,3.518
9,Justice-centered transition,True,25.365,442.899,2.453,1.933,0.819,0.465,46.38,14.2,3.622
10,Justice-centered transition,True,23.717,444.535,2.473,1.985,0.905,0.463,47.636,14.2,3.72
11,Justice-centered transition,True,22.175,446.072,2.491,2.034,0.992,0.461,48.822,14.2,3.813
12,Justice-centered transition,True,20.734,447.514,2.509,2.081,1.08,0.459,49.942,14.2,3.9
13,Justice-centered transition,True,19.386,448.867,2.525,2.125,1.168,0.457,51.001,14.2,3.983
14,Justice-centered transition,True,18.126,450.136,2.54,2.167,1.257,0.455,52.002,14.2,4.061
15,Justice-centered transition,True,16.948,451.327,2.554,2.206,1.347,0.453,52.948,14.2,4.135
16,Justice-centered transition,True,15.846,452.445,2.567,2.243,1.437,0.452,53.844,14.2,4.205
17,Justice-centered transition,True,14.816,453.492,2.58,2.279,1.527,0.45,54.692,14.2,4.271
18,Justice-centered transition,True,13.853,454.475,2.591,2.312,1.618,0.449,55.495,14.2,4.334
19,Justice-centered transition,True,12.953,455.396,2.602,2.344,1.709,0.448,56.256,14.2,4.394
20,Justice-centered transition,True,12.111,456.259,2.612,2.374,1.8,0.446,56.978,14.2,4.45
21,Justice-centered transition,True,11.323,457.069,2.622,2.403,1.892,0.445,57.663,14.2,4.503
22,Justice-centered transition,True,10.587,457.828,2.631,2.43,1.984,0.444,58.313,14.2,4.554
23,Justice-centered transition,True,9.899,458.539,2.639,2.455,2.076,0.443,58.931,14.2,4.603
24,Justice-centered transition,True,9.256,459.205,2.647,2.48,2.169,0.442,59.519,14.2,4.648
25,Justice-centered transition,True,8.654,459.83,2.654,2.503,2.262,0.441,60.078,14.2,4.692
26,Justice-centered transition,True,8.092,460.415,2.661,2.525,2.355,0.44,60.611,14.2,4.734
27,Justice-centered transition,True,7.566,460.964,2.667,2.547,2.448,0.439,61.118,14.2,4.773
28,Justice-centered transition,True,7.074,461.478,2.673,2.567,2.542,0.438,61.603,14.2,4.811
29,Justice-centered transition,True,6.614,461.959,2.679,2.586,2.636,0.437,62.065,14.2,4.847
30,Justice-centered transition,True,6.184,462.41,2.684,2.604,2.73,0.437,62.507,14.2,4.882
31,Justice-centered transition,True,5.782,462.833,2.689,2.622,2.824,0.436,62.929,14.2,4.915
32,Justice-centered transition,True,5.406,463.229,2.693,2.639,2.918,0.435,63.334,14.2,4.946
33,Justice-centered transition,True,5.055,463.6,2.698,2.655,3.012,0.434,63.721,14.2,4.977
34,Justice-centered transition,True,4.726,463.948,2.702,2.671,3.107,0.434,64.093,14.2,5.006
35,Justice-centered transition,True,4.419,464.274,2.705,2.685,3.202,0.433,64.45,14.2,5.034
36,Justice-centered transition,True,4.132,464.579,2.709,2.7,3.296,0.433,64.793,14.2,5.06
37,Justice-centered transition,True,3.863,464.865,2.712,2.713,3.391,0.432,65.124,14.2,5.086
38,Justice-centered transition,True,3.612,465.133,2.715,2.727,3.486,0.431,65.442,14.2,5.111
39,Justice-centered transition,True,3.377,465.384,2.718,2.74,3.582,0.431,65.748,14.2,5.135
40,Justice-centered transition,True,3.158,465.62,2.721,2.752,3.677,0.43,66.044,14.2,5.158
41,Justice-centered transition,True,2.953,465.841,2.723,2.764,3.772,0.43,66.331,14.2,5.18
