week,scenario,intervention_active,susceptible,infected,recovered,new_infections,severe_cases,care_capacity,care_stress,public_trust,health_risk_index,prevention_value_index
2,Delayed intervention,False,99616.094,271.693,112.214,77.438,19.924,521.5,0.038,52.0,12.704,35.419
3,Delayed intervention,False,99527.349,311.532,161.118,88.744,22.846,522.0,0.044,52.0,12.915,35.28
4,Delayed intervention,False,99425.683,357.123,217.194,101.667,26.189,522.5,0.05,52.0,13.156,35.121
5,Delayed intervention,False,99309.257,409.267,281.476,116.426,30.013,523.0,0.057,52.0,13.432,34.939
6,Delayed intervention,False,99175.987,468.868,355.144,133.269,34.384,523.5,0.066,52.0,13.747,34.731
7,Delayed intervention,False,99023.515,536.944,439.541,152.472,39.376,524.0,0.075,52.0,14.107,34.495
8,Delayed intervention,False,98849.174,614.636,536.191,174.342,45.073,524.5,0.086,52.0,14.517,34.225
9,Delayed intervention,False,98649.958,703.217,646.825,199.216,51.569,525.0,0.098,52.0,14.984,33.917
10,Delayed intervention,False,98422.49,804.106,773.404,227.468,58.968,525.5,0.112,52.0,15.517,33.567
11,Delayed intervention,False,98162.988,918.869,918.143,259.502,67.384,526.0,0.128,52.0,16.122,33.169
12,Delayed intervention,False,97867.231,1049.23,1083.54,295.757,76.944,526.5,0.146,52.0,16.809,32.718
13,Delayed intervention,False,97530.532,1197.067,1272.401,336.699,87.785,527.0,0.167,52.0,17.587,32.207
14,Delayed intervention,True,97241.12,1271.007,1487.873,289.412,93.207,527.5,0.177,52.28,17.941,42.148
15,Delayed intervention,True,96935.049,1348.297,1716.654,306.071,98.875,528.0,0.187,52.56,18.312,41.954
16,Delayed intervention,True,96611.711,1428.942,1959.348,323.338,104.789,528.5,0.198,52.84,18.701,41.748
17,Delayed intervention,True,96270.516,1512.926,2216.557,341.194,110.948,529.0,0.21,53.12,19.107,41.532
18,Delayed intervention,True,95910.904,1600.212,2488.884,359.612,117.349,529.5,0.222,53.4,19.529,41.304
19,Delayed intervention,True,95532.345,1690.733,2776.922,378.559,123.987,530.0,0.234,53.68,19.968,41.066
20,Delayed intervention,True,95134.349,1784.397,3081.254,397.996,130.856,530.5,0.247,53.96,20.424,40.818
21,Delayed intervention,True,94716.473,1881.081,3402.446,417.876,137.946,531.0,0.26,54.24,20.895,40.559
22,Delayed intervention,True,94278.331,1980.629,3741.04,438.142,145.246,531.5,0.274,54.52,21.38,40.292
23,Delayed intervention,True,93819.597,2082.85,4097.553,458.734,152.742,532.0,0.287,54.8,21.879,40.016
24,Delayed intervention,True,93340.018,2187.516,4472.466,479.579,160.418,532.5,0.302,55.08,22.39,39.732
25,Delayed intervention,True,92839.418,2294.363,4866.219,500.6,168.253,533.0,0.316,55.36,22.912,39.441
26,Delayed intervention,True,92317.708,2403.087,5279.205,521.709,176.226,533.5,0.331,55.64,23.444,39.144
27,Delayed intervention,True,91774.895,2513.345,5711.76,542.813,184.312,534.0,0.345,55.92,23.983,38.843
28,Delayed intervention,True,91211.084,2624.753,6164.162,563.811,192.482,534.5,0.36,56.2,24.527,38.539
29,Delayed intervention,True,90626.49,2736.892,6636.618,584.594,200.705,535.0,0.376,56.48,25.075,38.232
30,Delayed intervention,True,90021.439,2849.302,7129.259,605.051,208.949,535.5,0.391,56.76,25.623,37.926
31,Delayed intervention,True,89396.377,2961.49,7642.133,625.062,217.176,536.0,0.406,57.04,26.17,37.621
32,Delayed intervention,True,88751.868,3072.931,8175.201,644.509,225.348,536.5,0.42,57.32,26.712,37.319
33,Delayed intervention,True,88088.602,3183.07,8728.329,663.267,233.425,537.0,0.435,57.6,27.247,37.023
34,Delayed intervention,True,87407.389,3291.33,9301.281,681.212,241.364,537.5,0.449,57.88,27.772,36.733
35,Delayed intervention,True,86709.166,3397.114,9893.721,698.223,249.122,538.0,0.463,58.16,28.283,36.453
36,Delayed intervention,True,85994.985,3499.814,10505.201,714.18,256.653,538.5,0.477,58.44,28.778,36.184
37,Delayed intervention,True,85266.018,3598.815,11135.167,728.968,263.913,539.0,0.49,58.72,29.252,35.928
38,Delayed intervention,True,84523.541,3693.504,11782.954,742.476,270.857,539.5,0.503,59.0,29.704,35.687
39,Delayed intervention,True,83768.936,3783.279,12447.785,754.606,277.44,540.0,0.514,59.28,30.13,35.464
40,Delayed intervention,True,83003.672,3867.553,13128.775,765.264,283.621,540.5,0.525,59.56,30.526,35.259
41,Delayed intervention,True,82229.302,3945.764,13824.935,774.371,289.356,541.0,0.535,59.84,30.891,35.076
42,Delayed intervention,True,81447.443,4017.385,14535.172,781.858,294.608,541.5,0.545,60.12,31.22,34.916
43,Delayed intervention,True,80659.77,4081.929,15258.301,787.673,299.341,542.0,0.553,60.4,31.513,34.78
44,Delayed intervention,True,79867.995,4138.957,15993.048,791.775,303.523,542.5,0.56,60.68,31.766,34.67
45,Delayed intervention,True,79073.855,4188.084,16738.061,794.14,307.126,543.0,0.566,60.96,31.978,34.587
46,Delayed intervention,True,78279.098,4228.987,17491.916,794.758,310.126,543.5,0.571,61.24,32.146,34.532
47,Delayed intervention,True,77485.462,4261.405,18253.133,793.636,312.503,544.0,0.575,61.52,32.271,34.505
48,Delayed intervention,True,76694.665,4285.149,19020.186,790.797,314.244,544.5,0.578,61.8,32.35,34.509
49,Delayed intervention,True,75908.389,4300.097,19791.513,786.275,315.34,545.0,0.579,62.08,32.383,34.542
50,Delayed intervention,True,75128.266,4306.203,20565.531,780.123,315.788,545.5,0.579,62.36,32.371,34.604
51,Delayed intervention,True,74355.863,4303.49,21340.647,772.403,315.589,546.0,0.579,62.64,32.313,34.697
52,Delayed intervention,True,73592.673,4292.052,22115.275,763.19,314.75,546.5,0.576,62.92,32.209,34.818
0,Trust-centered prevention,False,99767.64,198.16,34.2,52.36,12.55,560.5,0.022,62.0,7.504,40.665
1,Trust-centered prevention,False,99710.028,218.121,71.85,57.612,13.814,561.0,0.025,62.0,7.598,40.609
2,Trust-centered prevention,False,99646.649,240.057,113.293,63.379,15.204,561.5,0.027,62.0,7.702,40.547
3,Trust-centered prevention,False,99576.941,264.155,158.904,69.708,16.73,562.0,0.03,62.0,7.816,40.48
4,Trust-centered prevention,False,99500.289,290.617,209.094,76.652,18.406,562.5,0.033,62.0,7.942,40.406
5,Trust-centered prevention,True,99445.791,289.898,264.311,54.498,18.36,563.0,0.033,62.55,7.872,54.721
6,Trust-centered prevention,True,99391.569,289.04,319.392,54.222,18.306,563.5,0.033,63.1,7.801,54.862
7,Trust-centered prevention,True,99337.646,288.045,374.309,53.923,18.243,564.0,0.032,63.65,7.73,55.003
8,Trust-centered prevention,True,99284.048,286.914,429.038,53.598,18.171,564.5,0.032,64.2,7.658,55.145
9,Trust-centered prevention,True,99230.798,285.651,483.551,53.25,18.091,565.0,0.032,64.75,7.585,55.286
10,Trust-centered prevention,True,99177.92,284.256,537.825,52.879,18.003,565.5,0.032,65.3,7.512,55.428
11,Trust-centered prevention,True,99125.435,282.731,591.833,52.484,17.906,566.0,0.032,65.85,7.438,55.571
12,Trust-centered prevention,True,99073.367,281.08,645.552,52.068,17.802,566.5,0.031,66.4,7.364,55.714
13,Trust-centered prevention,True,99021.737,279.305,698.958,51.63,17.689,567.0,0.031,66.95,7.289,55.857
14,Trust-centered prevention,True,98970.565,277.409,752.026,51.172,17.569,567.5,0.031,67.5,7.213,56.0
15,Trust-centered prevention,True,98919.873,275.394,804.733,50.693,17.442,568.0,0.031,68.05,7.137,56.144
16,Trust-centered prevention,True,98869.678,273.264,857.058,50.194,17.307,568.5,0.03,68.6,7.061,56.288
17,Trust-centered prevention,True,98820.001,271.021,908.978,49.677,17.165,569.0,0.03,69.15,6.983,56.433
18,Trust-centered prevention,True,98770.858,268.67,960.472,49.143,17.016,569.5,0.03,69.7,6.906,56.577
19,Trust-centered prevention,True,98722.268,266.213,1011.52,48.59,16.86,570.0,0.03,70.25,6.828,56.722
20,Trust-centered prevention,True,98674.246,263.654,1062.1,48.022,16.698,570.5,0.029,70.8,6.749,56.868
21,Trust-centered prevention,True,98626.809,260.997,1112.194,47.437,16.53,571.0,0.029,71.35,6.67,57.013
22,Trust-centered prevention,True,98579.97,258.246,1161.784,46.838,16.356,571.5,0.029,71.9,6.59,57.159
23,Trust-centered prevention,True,98533.745,255.404,1210.85,46.225,16.176,572.0,0.028,72.45,6.511,57.305
24,Trust-centered prevention,True,98488.147,252.476,1259.377,45.599,15.99,572.5,0.028,73.0,6.43,57.451
25,Trust-centered prevention,True,98443.187,249.465,1307.348,44.96,15.799,573.0,0.028,73.55,6.35,57.598
26,Trust-centered prevention,True,98398.877,246.376,1354.746,44.309,15.604,573.5,0.027,74.1,6.269,57.744
27,Trust-centered prevention,True,98355.229,243.213,1401.558,43.648,15.404,574.0,0.027,74.65,6.187,57.891
28,Trust-centered prevention,True,98312.252,239.98,1447.768,42.977,15.199,574.5,0.026,75.2,6.106,58.038
29,Trust-centered prevention,True,98269.955,236.681,1493.364,42.297,14.99,575.0,0.026,75.75,6.024,58.185
30,Trust-centered prevention,True,98228.346,233.32,1538.334,41.609,14.777,575.5,0.026,76.3,5.941,58.333
31,Trust-centered prevention,True,98187.434,229.902,1582.664,40.913,14.56,576.0,0.025,76.85,5.859,58.48
32,Trust-centered prevention,True,98147.224,226.43,1626.346,40.21,14.341,576.5,0.025,77.4,5.776,58.628
33,Trust-centered prevention,True,98107.722,222.91,1669.368,39.502,14.118,577.0,0.024,77.95,5.693,58.775
34,Trust-centered prevention,True,98068.934,219.345,1711.72,38.788,13.892,577.5,0.024,78.5,5.61,58.923
35,Trust-centered prevention,True,98030.864,215.74,1753.396,38.07,13.664,578.0,0.024,79.05,5.527,59.071
36,Trust-centered prevention,True,97993.515,212.099,1794.387,37.349,13.433,578.5,0.023,79.6,5.443,59.219
37,Trust-centered prevention,True,97956.889,208.425,1834.685,36.625,13.2,579.0,0.023,80.15,5.359,59.367
38,Trust-centered prevention,True,97920.99,204.724,1874.286,35.899,12.966,579.5,0.022,80.7,5.276,59.515
39,Trust-centered prevention,True,97885.818,200.998,1913.184,35.172,12.73,580.0,0.022,81.25,5.192,59.663
40,Trust-centered prevention,True,97851.374,197.253,1951.373,34.444,12.493,580.5,0.022,81.8,5.108,59.812
41,Trust-centered prevention,True,97817.657,193.491,1988.851,33.717,12.254,581.0,0.021,82.35,5.024,59.96
42,Trust-centered prevention,True,97784.668,189.718,2025.615,32.99,12.015,581.5,0.021,82.9,4.94,60.108
43,Trust-centered prevention,True,97752.403,185.936,2061.661,32.265,11.776,582.0,0.02,83.45,4.856,60.256
44,Trust-centered prevention,True,97720.862,182.149,2096.989,31.541,11.536,582.5,0.02,84.0,4.772,60.404
45,Trust-centered prevention,True,97690.041,178.362,2131.597,30.821,11.296,583.0,0.019,84.55,4.688,60.553
46,Trust-centered prevention,True,97659.937,174.577,2165.486,30.104,11.057,583.5,0.019,85.1,4.604,60.701
47,Trust-centered prevention,True,97630.546,170.798,2198.656,29.391,10.817,584.0,0.019,85.65,4.52,60.849
48,Trust-centered prevention,True,97601.864,167.028,2231.107,28.682,10.578,584.5,0.018,86.2,4.436,60.997
49,Trust-centered prevention,True,97573.886,163.271,2262.843,27.978,10.341,585.0,0.018,86.75,4.352,61.145
50,Trust-centered prevention,True,97546.606,159.53,2293.864,27.28,10.104,585.5,0.017,87.3,4.268,61.293
51,Trust-centered prevention,True,97520.018,155.807,2324.175,26.588,9.868,586.0,0.017,87.85,4.185,61.441
52,Trust-centered prevention,True,97494.116,152.106,2353.778,25.902,9.633,586.5,0.016,88.4,4.101,61.589
0,Integrated equity and capacity strategy,False,99770.915,193.085,36.0,49.085,10.54,680.5,0.015,68.0,2.433,44.213
1,Integrated equity and capacity strategy,False,99718.287,207.096,74.617,52.628,11.305,681.0,0.017,68.0,2.49,44.185
2,Integrated equity and capacity strategy,False,99661.871,222.093,116.036,56.417,12.123,681.5,0.018,68.0,2.551,44.155
3,Integrated equity and capacity strategy,True,99626.234,213.311,160.455,35.637,11.644,682.0,0.017,68.7,2.431,60.548
4,Integrated equity and capacity strategy,True,99592.109,204.774,203.117,34.125,11.178,682.5,0.016,69.4,2.312,60.74
5,Integrated equity and capacity strategy,True,99559.448,196.48,244.072,32.661,10.725,683.0,0.016,70.1,2.193,60.932
6,Integrated equity and capacity strategy,True,99528.204,188.429,283.368,31.245,10.286,683.5,0.015,70.8,2.076,61.124
7,Integrated equity and capacity strategy,True,99498.329,180.618,321.054,29.875,9.859,684.0,0.014,71.5,1.96,61.314
8,Integrated equity and capacity strategy,True,99469.777,173.046,357.177,28.551,9.446,684.5,0.014,72.2,1.845,61.505
9,Integrated equity and capacity strategy,True,99442.504,165.71,391.786,27.273,9.046,685.0,0.013,72.9,1.731,61.695
10,Integrated equity and capacity strategy,True,99416.464,158.608,424.928,26.04,8.658,685.5,0.013,73.6,1.617,61.884
11,Integrated equity and capacity strategy,True,99391.614,151.736,456.65,24.85,8.283,686.0,0.012,74.3,1.505,62.073
12,Integrated equity and capacity strategy,True,99367.911,145.092,486.997,23.703,7.92,686.5,0.012,75.0,1.394,62.261
13,Integrated equity and capacity strategy,True,99345.312,138.672,516.015,22.599,7.57,687.0,0.011,75.7,1.283,62.449
14,Integrated equity and capacity strategy,True,99323.777,132.473,543.75,21.535,7.231,687.5,0.011,76.4,1.174,62.637
15,Integrated equity and capacity strategy,True,99303.265,126.49,570.245,20.512,6.905,688.0,0.01,77.1,1.065,62.824
16,Integrated equity and capacity strategy,True,99283.737,120.72,595.543,19.528,6.59,688.5,0.01,77.8,0.957,63.011
17,Integrated equity and capacity strategy,True,99265.155,115.159,619.687,18.582,6.286,689.0,0.009,78.5,0.851,63.197
18,Integrated equity and capacity strategy,True,99247.48,109.801,642.718,17.674,5.994,689.5,0.009,79.2,0.744,63.383
19,Integrated equity and capacity strategy,True,99230.678,104.644,664.679,16.803,5.712,690.0,0.008,79.9,0.639,63.568
20,Integrated equity and capacity strategy,True,99214.711,99.682,685.607,15.967,5.441,690.5,0.008,80.6,0.535,63.753
21,Integrated equity and capacity strategy,True,99199.546,94.91,705.544,15.165,5.181,691.0,0.008,81.3,0.431,63.937
22,Integrated equity and capacity strategy,True,99185.15,90.325,724.526,14.397,4.931,691.5,0.007,82.0,0.329,64.122
23,Integrated equity and capacity strategy,True,99171.489,85.921,742.591,13.661,4.69,692.0,0.007,82.7,0.226,64.305
24,Integrated equity and capacity strategy,True,99158.532,81.693,759.775,12.957,4.459,692.5,0.006,83.4,0.125,64.489
25,Integrated equity and capacity strategy,True,99146.249,77.638,776.113,12.283,4.238,693.0,0.006,84.1,0.024,64.672
26,Integrated equity and capacity strategy,True,99134.609,73.75,791.641,11.639,4.026,693.5,0.006,84.8,0.0,64.855
27,Integrated equity and capacity strategy,True,99123.585,70.024,806.391,11.024,3.822,694.0,0.006,85.5,0.0,65.037
28,Integrated equity and capacity strategy,True,99113.149,66.455,820.396,10.436,3.628,694.5,0.005,86.2,0.0,65.219
29,Integrated equity and capacity strategy,True,99103.274,63.039,833.687,9.875,3.441,695.0,0.005,86.9,0.0,65.401
30,Integrated equity and capacity strategy,True,99093.934,59.772,846.295,9.34,3.263,695.5,0.005,87.6,0.0,65.583
31,Integrated equity and capacity strategy,True,99085.104,56.647,858.249,8.83,3.092,696.0,0.004,88.3,0.0,65.764
32,Integrated equity and capacity strategy,True,99076.76,53.661,869.578,8.344,2.929,696.5,0.004,89.0,0.0,65.945
33,Integrated equity and capacity strategy,True,99068.88,50.81,880.311,7.881,2.774,697.0,0.004,89.7,0.0,66.125
34,Integrated equity and capacity strategy,True,99061.44,48.088,890.473,7.44,2.625,697.5,0.004,90.4,0.0,66.306
35,Integrated equity and capacity strategy,True,99054.42,45.49,900.09,7.02,2.483,698.0,0.004,91.1,0.0,66.486
36,Integrated equity and capacity strategy,True,99047.798,43.014,909.188,6.622,2.348,698.5,0.003,91.8,0.0,66.666
37,Integrated equity and capacity strategy,True,99041.555,40.654,917.791,6.243,2.219,699.0,0.003,92.5,0.0,66.846
38,Integrated equity and capacity strategy,True,99035.673,38.405,925.922,5.882,2.096,699.5,0.003,93.2,0.0,67.025
39,Integrated equity and capacity strategy,True,99030.132,36.265,933.603,5.541,1.98,700.0,0.003,93.9,0.0,67.204
40,Integrated equity and capacity strategy,True,99024.916,34.228,940.856,5.216,1.868,700.5,0.003,94.6,0.0,67.383
41,Integrated equity and capacity strategy,True,99020.008,32.291,947.701,4.909,1.763,701.0,0.003,95.3,0.0,67.562
42,Integrated equity and capacity strategy,True,99015.391,30.45,954.16,4.617,1.662,701.5,0.002,96.0,0.0,67.741
43,Integrated equity and capacity strategy,True,99011.05,28.7,960.249,4.341,1.567,702.0,0.002,96.7,0.0,67.919
44,Integrated equity and capacity strategy,True,99006.971,27.039,965.99,4.079,1.476,702.5,0.002,97.4,0.0,68.097
45,Integrated equity and capacity strategy,True,99003.14,25.463,971.397,3.831,1.39,703.0,0.002,98.1,0.0,68.276
46,Integrated equity and capacity strategy,True,98999.543,23.967,976.49,3.597,1.308,703.5,0.002,98.8,0.0,68.453
47,Integrated equity and capacity strategy,True,98996.167,22.549,981.283,3.376,1.231,704.0,0.002,99.5,0.0,68.631
48,Integrated equity and capacity strategy,True,98992.998,21.209,985.793,3.169,1.158,704.5,0.002,100.0,0.0,68.759
49,Integrated equity and capacity strategy,True,98990.018,19.947,990.035,2.98,1.089,705.0,0.002,100.0,0.0,68.761
50,Integrated equity and capacity strategy,True,98987.215,18.761,994.024,2.803,1.024,705.5,0.001,100.0,0.0,68.764
51,Integrated equity and capacity strategy,True,98984.578,17.645,997.777,2.636,0.963,706.0,0.001,100.0,0.0,68.766
52,Integrated equity and capacity strategy,True,98982.099,16.596,1001.306,2.479,0.906,706.5,0.001,100.0,0.0,68.768
