period,scenario,feedback_use_index,inquiry_strength,shared_alignment,defensive_routines_index,learning_stock,institutional_memory_stock,trust_stock,adaptive_capacity,organizational_performance,learning_capacity_score
1,Defensive performance culture,16.34,11.76,20.541,50.204,32.703,43.292,47.78,37.8,26.417,28.761
2,Defensive performance culture,15.879,11.76,20.216,52.506,31.409,43.789,47.182,38.37,25.83,28.214
3,Defensive performance culture,15.419,11.76,19.832,54.808,29.668,44.185,46.251,38.684,24.993,27.556
4,Defensive performance culture,14.958,11.76,19.388,57.11,27.465,44.482,44.981,38.716,23.894,26.785
5,Defensive performance culture,14.498,11.76,18.883,59.412,24.789,44.679,43.366,38.437,22.521,25.897
6,Defensive performance culture,14.038,11.76,18.316,61.714,21.624,44.775,41.399,37.82,20.862,24.89
7,Defensive performance culture,13.577,11.76,17.686,64.016,17.957,44.772,39.075,36.836,18.904,23.761
8,Defensive performance culture,13.117,11.76,16.992,66.318,13.774,44.669,36.387,35.454,16.635,22.506
9,Defensive performance culture,12.656,11.76,16.231,68.62,9.059,44.466,33.328,33.644,14.042,21.122
10,Defensive performance culture,12.196,11.76,15.405,70.922,3.799,44.163,29.892,31.375,11.11,19.606
11,Defensive performance culture,11.736,11.76,14.51,73.224,0.0,43.76,26.071,28.715,8.3,18.4
12,Defensive performance culture,11.275,11.76,13.546,75.526,0.0,43.258,21.86,25.851,6.176,18.017
13,Defensive performance culture,10.815,11.76,12.512,77.828,0.0,42.655,17.25,22.779,3.901,17.623
14,Defensive performance culture,10.354,11.76,11.406,80.13,0.0,41.953,12.235,19.495,1.471,17.216
15,Defensive performance culture,9.894,11.76,10.227,82.432,0.0,41.15,6.808,15.995,0.0,16.798
16,Defensive performance culture,9.434,11.76,8.974,84.734,0.0,40.248,0.961,12.274,0.0,16.367
17,Defensive performance culture,8.973,11.76,7.645,87.036,0.0,39.246,0.0,8.329,0.0,15.924
18,Defensive performance culture,8.513,11.76,7.196,89.338,0.0,38.143,0.0,4.155,0.0,15.47
19,Defensive performance culture,8.052,11.76,6.919,91.64,0.0,36.941,0.0,0.0,0.0,15.003
20,Defensive performance culture,7.592,11.76,6.643,93.942,0.0,35.717,0.0,0.0,0.0,14.534
21,Defensive performance culture,7.132,11.76,6.367,96.244,0.0,34.493,0.0,0.0,0.0,14.065
22,Defensive performance culture,6.671,11.76,6.091,98.546,0.0,33.269,0.0,0.0,0.0,13.596
23,Defensive performance culture,6.211,11.76,5.814,100.0,0.0,32.045,0.0,0.0,0.0,13.245
24,Defensive performance culture,5.92,11.76,5.64,100.0,0.0,30.821,0.0,0.0,0.0,13.099
25,Defensive performance culture,5.92,11.76,5.64,100.0,0.0,29.597,0.0,0.0,0.0,12.952
26,Defensive performance culture,5.92,11.76,5.64,100.0,0.0,28.373,0.0,0.0,0.0,12.805
27,Defensive performance culture,5.92,11.76,5.64,100.0,0.0,27.149,0.0,0.0,0.0,12.658
28,Defensive performance culture,5.92,11.76,5.64,100.0,0.0,25.925,0.0,0.0,0.0,12.511
29,Defensive performance culture,5.92,11.76,5.64,100.0,0.0,24.701,0.0,0.0,0.0,12.364
30,Defensive performance culture,5.92,11.76,5.64,100.0,0.0,23.477,0.0,0.0,0.0,12.217
31,Defensive performance culture,5.92,11.76,5.64,100.0,0.0,22.253,0.0,0.0,0.0,12.07
32,Defensive performance culture,5.92,11.76,5.64,100.0,0.0,21.029,0.0,0.0,0.0,11.924
33,Defensive performance culture,5.92,11.76,5.64,100.0,0.0,19.805,0.0,0.0,0.0,11.777
34,Defensive performance culture,5.92,11.76,5.64,100.0,0.0,18.581,0.0,0.0,0.0,11.63
35,Defensive performance culture,5.92,11.76,5.64,100.0,0.0,17.357,0.0,0.0,0.0,11.483
36,Defensive performance culture,5.92,11.76,5.64,100.0,0.0,16.133,0.0,0.0,0.0,11.336
37,Defensive performance culture,5.92,11.76,5.64,100.0,0.0,14.909,0.0,0.0,0.0,11.189
38,Defensive performance culture,5.92,11.76,5.64,100.0,0.0,13.685,0.0,0.0,0.0,11.042
39,Defensive performance culture,5.92,11.76,5.64,100.0,0.0,12.461,0.0,0.0,0.0,10.895
40,Defensive performance culture,5.92,11.76,5.64,100.0,0.0,11.237,0.0,0.0,0.0,10.748
41,Defensive performance culture,5.92,11.76,5.64,100.0,0.0,10.013,0.0,0.0,0.0,10.602
42,Defensive performance culture,5.92,11.76,5.64,100.0,0.0,8.789,0.0,0.0,0.0,10.455
43,Defensive performance culture,5.92,11.76,5.64,100.0,0.0,7.565,0.0,0.0,0.0,10.308
44,Defensive performance culture,5.92,11.76,5.64,100.0,0.0,6.341,0.0,0.0,0.0,10.161
45,Defensive performance culture,5.92,11.76,5.64,100.0,0.0,5.117,0.0,0.0,0.0,10.014
46,Defensive performance culture,5.92,11.76,5.64,100.0,0.0,3.893,0.0,0.0,0.0,9.867
47,Defensive performance culture,5.92,11.76,5.64,100.0,0.0,2.669,0.0,0.0,0.0,9.72
48,Defensive performance culture,5.92,11.76,5.64,100.0,0.0,1.445,0.0,0.0,0.0,9.573
0,Adaptive improvement culture,39.36,33.2,32.792,18.718,51.447,48.937,55.938,41.704,40.533,55.73
1,Adaptive improvement culture,39.696,33.2,34.423,17.036,69.283,55.947,64.254,48.716,49.255,60.731
2,Adaptive improvement culture,40.033,33.2,36.121,15.354,87.429,63.03,72.955,57.052,58.505,65.808
3,Adaptive improvement culture,40.369,33.2,37.889,13.672,100.0,70.186,82.049,66.437,66.911,69.668
4,Adaptive improvement culture,40.706,33.2,39.728,11.99,100.0,77.415,91.541,76.247,72.76,70.771
5,Adaptive improvement culture,41.042,33.2,41.639,10.308,100.0,84.716,100.0,86.483,78.561,71.883
6,Adaptive improvement culture,41.378,33.2,43.363,8.626,100.0,92.091,100.0,97.148,82.943,73.003
7,Adaptive improvement culture,41.715,33.2,43.565,6.944,100.0,99.539,100.0,100.0,84.933,74.133
8,Adaptive improvement culture,42.051,33.2,43.767,5.262,100.0,100.0,100.0,100.0,85.285,74.423
9,Adaptive improvement culture,42.388,33.2,43.969,3.58,100.0,100.0,100.0,100.0,85.583,74.659
10,Adaptive improvement culture,42.724,33.2,44.17,1.898,100.0,100.0,100.0,100.0,85.88,74.894
11,Adaptive improvement culture,43.06,33.2,44.372,0.216,100.0,100.0,100.0,100.0,86.178,75.13
12,Adaptive improvement culture,43.397,33.2,44.574,0.0,100.0,100.0,100.0,100.0,86.24,75.16
13,Adaptive improvement culture,43.44,33.2,44.6,0.0,100.0,100.0,100.0,100.0,86.244,75.16
14,Adaptive improvement culture,43.44,33.2,44.6,0.0,100.0,100.0,100.0,100.0,86.244,75.16
15,Adaptive improvement culture,43.44,33.2,44.6,0.0,100.0,100.0,100.0,100.0,86.244,75.16
16,Adaptive improvement culture,43.44,33.2,44.6,0.0,100.0,100.0,100.0,100.0,86.244,75.16
17,Adaptive improvement culture,43.44,33.2,44.6,0.0,100.0,100.0,100.0,100.0,86.244,75.16
18,Adaptive improvement culture,43.44,33.2,44.6,0.0,100.0,100.0,100.0,100.0,86.244,75.16
19,Adaptive improvement culture,43.44,33.2,44.6,0.0,100.0,100.0,100.0,100.0,86.244,75.16
20,Adaptive improvement culture,43.44,33.2,44.6,0.0,100.0,100.0,100.0,100.0,86.244,75.16
21,Adaptive improvement culture,43.44,33.2,44.6,0.0,100.0,100.0,100.0,100.0,86.244,75.16
22,Adaptive improvement culture,43.44,33.2,44.6,0.0,100.0,100.0,100.0,100.0,86.244,75.16
23,Adaptive improvement culture,43.44,33.2,44.6,0.0,100.0,100.0,100.0,100.0,86.244,75.16
24,Adaptive improvement culture,43.44,33.2,44.6,0.0,100.0,100.0,100.0,100.0,86.244,75.16
25,Adaptive improvement culture,43.44,33.2,44.6,0.0,100.0,100.0,100.0,100.0,86.244,75.16
26,Adaptive improvement culture,43.44,33.2,44.6,0.0,100.0,100.0,100.0,100.0,86.244,75.16
27,Adaptive improvement culture,43.44,33.2,44.6,0.0,100.0,100.0,100.0,100.0,86.244,75.16
28,Adaptive improvement culture,43.44,33.2,44.6,0.0,100.0,100.0,100.0,100.0,86.244,75.16
29,Adaptive improvement culture,43.44,33.2,44.6,0.0,100.0,100.0,100.0,100.0,86.244,75.16
30,Adaptive improvement culture,43.44,33.2,44.6,0.0,100.0,100.0,100.0,100.0,86.244,75.16
31,Adaptive improvement culture,43.44,33.2,44.6,0.0,100.0,100.0,100.0,100.0,86.244,75.16
32,Adaptive improvement culture,43.44,33.2,44.6,0.0,100.0,100.0,100.0,100.0,86.244,75.16
33,Adaptive improvement culture,43.44,33.2,44.6,0.0,100.0,100.0,100.0,100.0,86.244,75.16
34,Adaptive improvement culture,43.44,33.2,44.6,0.0,100.0,100.0,100.0,100.0,86.244,75.16
35,Adaptive improvement culture,43.44,33.2,44.6,0.0,100.0,100.0,100.0,100.0,86.244,75.16
36,Adaptive improvement culture,43.44,33.2,44.6,0.0,100.0,100.0,100.0,100.0,86.244,75.16
37,Adaptive improvement culture,43.44,33.2,44.6,0.0,100.0,100.0,100.0,100.0,86.244,75.16
38,Adaptive improvement culture,43.44,33.2,44.6,0.0,100.0,100.0,100.0,100.0,86.244,75.16
39,Adaptive improvement culture,43.44,33.2,44.6,0.0,100.0,100.0,100.0,100.0,86.244,75.16
40,Adaptive improvement culture,43.44,33.2,44.6,0.0,100.0,100.0,100.0,100.0,86.244,75.16
41,Adaptive improvement culture,43.44,33.2,44.6,0.0,100.0,100.0,100.0,100.0,86.244,75.16
42,Adaptive improvement culture,43.44,33.2,44.6,0.0,100.0,100.0,100.0,100.0,86.244,75.16
43,Adaptive improvement culture,43.44,33.2,44.6,0.0,100.0,100.0,100.0,100.0,86.244,75.16
44,Adaptive improvement culture,43.44,33.2,44.6,0.0,100.0,100.0,100.0,100.0,86.244,75.16
45,Adaptive improvement culture,43.44,33.2,44.6,0.0,100.0,100.0,100.0,100.0,86.244,75.16
46,Adaptive improvement culture,43.44,33.2,44.6,0.0,100.0,100.0,100.0,100.0,86.244,75.16
47,Adaptive improvement culture,43.44,33.2,44.6,0.0,100.0,100.0,100.0,100.0,86.244,75.16
48,Adaptive improvement culture,43.44,33.2,44.6,0.0,100.0,100.0,100.0,100.0,86.244,75.16
0,Learning organization pathway,51.28,47.28,41.08,8.63,61.191,52.429,59.75,44.122,47.233,73.385
1,Learning organization pathway,51.954,47.28,43.599,5.26,89.081,63.005,72.184,54.332,60.627,81.262
2,Learning organization pathway,52.628,47.28,46.242,1.89,100.0,73.727,85.313,65.786,70.795,85.423
3,Learning organization pathway,53.302,47.28,49.01,0.0,100.0,84.554,99.002,77.824,78.619,86.986
4,Learning organization pathway,53.68,47.28,51.7,0.0,100.0,95.41,100.0,90.296,83.97,88.289
5,Learning organization pathway,53.68,47.28,51.88,0.0,100.0,100.0,100.0,100.0,87.263,88.84
6,Learning organization pathway,53.68,47.28,51.88,0.0,100.0,100.0,100.0,100.0,87.263,88.84
7,Learning organization pathway,53.68,47.28,51.88,0.0,100.0,100.0,100.0,100.0,87.263,88.84
8,Learning organization pathway,53.68,47.28,51.88,0.0,100.0,100.0,100.0,100.0,87.263,88.84
9,Learning organization pathway,53.68,47.28,51.88,0.0,100.0,100.0,100.0,100.0,87.263,88.84
10,Learning organization pathway,53.68,47.28,51.88,0.0,100.0,100.0,100.0,100.0,87.263,88.84
11,Learning organization pathway,53.68,47.28,51.88,0.0,100.0,100.0,100.0,100.0,87.263,88.84
12,Learning organization pathway,53.68,47.28,51.88,0.0,100.0,100.0,100.0,100.0,87.263,88.84
13,Learning organization pathway,53.68,47.28,51.88,0.0,100.0,100.0,100.0,100.0,87.263,88.84
14,Learning organization pathway,53.68,47.28,51.88,0.0,100.0,100.0,100.0,100.0,87.263,88.84
15,Learning organization pathway,53.68,47.28,51.88,0.0,100.0,100.0,100.0,100.0,87.263,88.84
16,Learning organization pathway,53.68,47.28,51.88,0.0,100.0,100.0,100.0,100.0,87.263,88.84
17,Learning organization pathway,53.68,47.28,51.88,0.0,100.0,100.0,100.0,100.0,87.263,88.84
18,Learning organization pathway,53.68,47.28,51.88,0.0,100.0,100.0,100.0,100.0,87.263,88.84
19,Learning organization pathway,53.68,47.28,51.88,0.0,100.0,100.0,100.0,100.0,87.263,88.84
20,Learning organization pathway,53.68,47.28,51.88,0.0,100.0,100.0,100.0,100.0,87.263,88.84
21,Learning organization pathway,53.68,47.28,51.88,0.0,100.0,100.0,100.0,100.0,87.263,88.84
22,Learning organization pathway,53.68,47.28,51.88,0.0,100.0,100.0,100.0,100.0,87.263,88.84
23,Learning organization pathway,53.68,47.28,51.88,0.0,100.0,100.0,100.0,100.0,87.263,88.84
24,Learning organization pathway,53.68,47.28,51.88,0.0,100.0,100.0,100.0,100.0,87.263,88.84
25,Learning organization pathway,53.68,47.28,51.88,0.0,100.0,100.0,100.0,100.0,87.263,88.84
26,Learning organization pathway,53.68,47.28,51.88,0.0,100.0,100.0,100.0,100.0,87.263,88.84
27,Learning organization pathway,53.68,47.28,51.88,0.0,100.0,100.0,100.0,100.0,87.263,88.84
28,Learning organization pathway,53.68,47.28,51.88,0.0,100.0,100.0,100.0,100.0,87.263,88.84
29,Learning organization pathway,53.68,47.28,51.88,0.0,100.0,100.0,100.0,100.0,87.263,88.84
30,Learning organization pathway,53.68,47.28,51.88,0.0,100.0,100.0,100.0,100.0,87.263,88.84
31,Learning organization pathway,53.68,47.28,51.88,0.0,100.0,100.0,100.0,100.0,87.263,88.84
32,Learning organization pathway,53.68,47.28,51.88,0.0,100.0,100.0,100.0,100.0,87.263,88.84
33,Learning organization pathway,53.68,47.28,51.88,0.0,100.0,100.0,100.0,100.0,87.263,88.84
34,Learning organization pathway,53.68,47.28,51.88,0.0,100.0,100.0,100.0,100.0,87.263,88.84
35,Learning organization pathway,53.68,47.28,51.88,0.0,100.0,100.0,100.0,100.0,87.263,88.84
36,Learning organization pathway,53.68,47.28,51.88,0.0,100.0,100.0,100.0,100.0,87.263,88.84
37,Learning organization pathway,53.68,47.28,51.88,0.0,100.0,100.0,100.0,100.0,87.263,88.84
38,Learning organization pathway,53.68,47.28,51.88,0.0,100.0,100.0,100.0,100.0,87.263,88.84
39,Learning organization pathway,53.68,47.28,51.88,0.0,100.0,100.0,100.0,100.0,87.263,88.84
40,Learning organization pathway,53.68,47.28,51.88,0.0,100.0,100.0,100.0,100.0,87.263,88.84
41,Learning organization pathway,53.68,47.28,51.88,0.0,100.0,100.0,100.0,100.0,87.263,88.84
42,Learning organization pathway,53.68,47.28,51.88,0.0,100.0,100.0,100.0,100.0,87.263,88.84
43,Learning organization pathway,53.68,47.28,51.88,0.0,100.0,100.0,100.0,100.0,87.263,88.84
44,Learning organization pathway,53.68,47.28,51.88,0.0,100.0,100.0,100.0,100.0,87.263,88.84
45,Learning organization pathway,53.68,47.28,51.88,0.0,100.0,100.0,100.0,100.0,87.263,88.84
46,Learning organization pathway,53.68,47.28,51.88,0.0,100.0,100.0,100.0,100.0,87.263,88.84
47,Learning organization pathway,53.68,47.28,51.88,0.0,100.0,100.0,100.0,100.0,87.263,88.84
48,Learning organization pathway,53.68,47.28,51.88,0.0,100.0,100.0,100.0,100.0,87.263,88.84
