article_slug,article_title,domain_profile,scenario,year,resilience_stock,system_pressure,threshold_margin,administrative_or_system_burden,vulnerability_index,resilience_ratio,intervention_active,regime_classification
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,baseline_pressure,21,17.255,83.5,-66.245,49.8,82.629,0.2066,False,shifted_regime
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,baseline_pressure,22,12.968,85.75,-72.782,50.7,84.549,0.1512,False,shifted_regime
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,baseline_pressure,23,8.547,88.0,-79.453,51.6,86.507,0.0971,False,shifted_regime
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,baseline_pressure,24,3.994,90.25,-86.256,52.5,88.502,0.0443,False,shifted_regime
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,baseline_pressure,25,0.0,92.5,-92.5,53.4,90.34,0.0,False,shifted_regime
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,baseline_pressure,26,0.0,94.75,-94.75,54.3,91.06,0.0,False,shifted_regime
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,baseline_pressure,27,0.0,97.0,-97.0,55.2,91.78,0.0,False,shifted_regime
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,baseline_pressure,28,0.0,99.25,-99.25,56.1,92.5,0.0,False,shifted_regime
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,baseline_pressure,29,0.0,101.5,-101.5,57.0,93.22,0.0,False,shifted_regime
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,baseline_pressure,30,0.0,103.75,-103.75,57.9,93.94,0.0,False,shifted_regime
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,delayed_response,0,76.859,36.25,40.609,30.9,50.819,2.1203,False,resilient
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,delayed_response,1,75.586,38.5,37.086,31.8,51.896,1.9633,False,resilient
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,delayed_response,2,74.18,40.75,33.43,32.7,53.01,1.8204,False,resilient
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,delayed_response,3,72.641,43.0,29.641,33.6,54.16,1.6893,False,resilient
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,delayed_response,4,70.969,45.25,25.719,34.5,55.349,1.5684,False,resilient
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,delayed_response,5,69.165,47.5,21.665,35.4,56.574,1.4561,False,stressed_recoverable
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,delayed_response,6,67.228,49.75,17.478,36.3,57.836,1.3513,False,stressed_recoverable
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,delayed_response,7,65.158,52.0,13.158,37.2,59.136,1.253,False,stressed_recoverable
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,delayed_response,8,62.956,54.25,8.706,38.1,60.472,1.1605,False,near_threshold
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,delayed_response,9,60.62,56.5,4.12,39.0,61.846,1.0729,False,near_threshold
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,delayed_response,10,58.152,58.75,-0.598,39.9,63.257,0.9898,False,shifted_regime
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,delayed_response,11,55.551,61.0,-5.449,40.8,64.706,0.9107,False,shifted_regime
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,delayed_response,12,52.818,63.25,-10.432,41.7,66.191,0.8351,False,shifted_regime
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,delayed_response,13,49.951,65.5,-15.549,42.6,67.714,0.7626,False,shifted_regime
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,delayed_response,14,48.69,67.629,-18.938,43.116,68.631,0.72,True,shifted_regime
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,delayed_response,15,47.315,69.757,-22.442,43.632,69.579,0.6783,True,shifted_regime
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,delayed_response,16,45.826,71.886,-26.06,44.148,70.56,0.6375,True,shifted_regime
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,delayed_response,17,44.223,74.014,-29.791,44.664,71.573,0.5975,True,shifted_regime
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,delayed_response,18,42.506,76.143,-33.636,45.18,72.617,0.5582,True,shifted_regime
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,delayed_response,19,40.676,78.271,-37.595,45.696,73.693,0.5197,True,shifted_regime
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,delayed_response,20,38.731,80.4,-41.668,46.212,74.801,0.4817,True,shifted_regime
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,delayed_response,21,36.673,82.528,-45.855,46.728,75.941,0.4444,True,shifted_regime
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,delayed_response,22,34.501,84.657,-50.156,47.244,77.113,0.4075,True,shifted_regime
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,delayed_response,23,32.215,86.785,-54.57,47.76,78.317,0.3712,True,shifted_regime
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,delayed_response,24,29.815,88.914,-59.098,48.276,79.553,0.3353,True,shifted_regime
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,delayed_response,25,27.302,91.042,-63.74,48.792,80.82,0.2999,True,shifted_regime
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,delayed_response,26,24.674,93.171,-68.496,49.308,82.12,0.2648,True,shifted_regime
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,delayed_response,27,21.933,95.299,-73.366,49.824,83.451,0.2301,True,shifted_regime
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,delayed_response,28,19.078,97.428,-78.35,50.34,84.814,0.1958,True,shifted_regime
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,delayed_response,29,16.109,99.556,-83.447,50.856,86.209,0.1618,True,shifted_regime
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,delayed_response,30,13.026,101.685,-88.659,51.372,87.636,0.1281,True,shifted_regime
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,professional_redesign,0,77.246,36.25,40.996,30.9,50.711,2.1309,False,resilient
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,professional_redesign,1,76.358,38.5,37.858,31.8,51.68,1.9833,False,resilient
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,professional_redesign,2,75.338,40.75,34.588,32.7,52.685,1.8488,False,resilient
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,professional_redesign,3,74.186,43.0,31.186,33.6,53.728,1.7252,False,resilient
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,professional_redesign,4,72.9,45.25,27.65,34.5,54.808,1.611,False,resilient
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,professional_redesign,5,74.701,47.176,27.525,34.376,54.607,1.5835,True,resilient
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,professional_redesign,6,76.42,49.102,27.318,34.252,54.429,1.5563,True,resilient
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,professional_redesign,7,78.056,51.028,27.028,34.128,54.274,1.5297,True,resilient
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,professional_redesign,8,79.61,52.954,26.656,34.004,54.142,1.5034,True,resilient
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,professional_redesign,9,81.081,54.88,26.201,33.88,54.034,1.4774,True,resilient
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,professional_redesign,10,82.471,56.806,25.665,33.756,53.948,1.4518,True,resilient
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,professional_redesign,11,83.778,58.732,25.046,33.632,53.885,1.4264,True,resilient
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,professional_redesign,12,85.002,60.658,24.344,33.508,53.846,1.4013,True,stressed_recoverable
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,professional_redesign,13,86.144,62.584,23.56,33.384,53.829,1.3765,True,stressed_recoverable
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,professional_redesign,14,87.204,64.51,22.694,33.26,53.836,1.3518,True,stressed_recoverable
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,professional_redesign,15,88.182,66.436,21.746,33.136,53.865,1.3273,True,stressed_recoverable
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,professional_redesign,16,89.077,68.362,20.715,33.012,53.918,1.303,True,stressed_recoverable
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,professional_redesign,17,89.89,70.288,19.602,32.888,53.993,1.2789,True,stressed_recoverable
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,professional_redesign,18,90.621,72.214,18.407,32.764,54.092,1.2549,True,stressed_recoverable
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,professional_redesign,19,91.269,74.14,17.129,32.64,54.214,1.231,True,stressed_recoverable
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,professional_redesign,20,91.835,76.066,15.769,32.516,54.359,1.2073,True,stressed_recoverable
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,professional_redesign,21,92.319,77.992,14.327,32.392,54.527,1.1837,True,stressed_recoverable
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,professional_redesign,22,92.72,79.918,12.802,32.268,54.717,1.1602,True,stressed_recoverable
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,professional_redesign,23,93.039,81.844,11.195,32.144,54.931,1.1368,True,stressed_recoverable
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,professional_redesign,24,93.276,83.77,9.506,32.02,55.168,1.1135,True,near_threshold
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,professional_redesign,25,93.43,85.696,7.734,31.896,55.428,1.0902,True,near_threshold
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,professional_redesign,26,93.502,87.622,5.88,31.772,55.712,1.0671,True,near_threshold
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,professional_redesign,27,93.492,89.548,3.944,31.648,56.018,1.044,True,near_threshold
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,professional_redesign,28,93.399,91.474,1.925,31.524,56.347,1.021,True,near_threshold
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,professional_redesign,29,93.224,93.4,-0.176,31.4,56.699,0.9981,True,shifted_regime
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,professional_redesign,30,92.967,95.326,-2.359,31.276,57.075,0.9752,True,shifted_regime
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,transformative_change,0,77.462,36.25,41.212,30.9,50.651,2.1369,False,resilient
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,transformative_change,1,76.792,38.5,38.292,31.8,51.558,1.9946,False,resilient
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,transformative_change,2,75.988,40.75,35.238,32.7,52.503,1.8647,False,resilient
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,transformative_change,3,79.087,42.514,36.573,32.064,51.731,1.8603,True,resilient
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,transformative_change,4,82.128,44.278,37.85,31.428,50.974,1.8548,True,resilient
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,transformative_change,5,85.113,46.042,39.071,30.792,50.233,1.8486,True,resilient
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,transformative_change,6,88.04,47.806,40.234,30.156,49.508,1.8416,True,resilient
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,transformative_change,7,90.91,49.57,41.34,29.52,48.8,1.834,True,resilient
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,transformative_change,8,93.723,51.334,42.389,28.884,48.107,1.8258,True,resilient
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,transformative_change,9,96.479,53.098,43.381,28.248,47.43,1.817,True,resilient
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,transformative_change,10,99.178,54.862,44.316,27.612,46.77,1.8078,True,resilient
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,transformative_change,11,100.0,56.626,43.374,26.976,46.634,1.766,True,resilient
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,transformative_change,12,100.0,58.39,41.61,26.34,46.729,1.7126,True,resilient
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,transformative_change,13,100.0,60.154,39.846,25.704,46.824,1.6624,True,resilient
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,transformative_change,14,100.0,61.918,38.082,25.068,46.919,1.615,True,resilient
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,transformative_change,15,100.0,63.682,36.318,24.432,47.014,1.5703,True,resilient
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,transformative_change,16,100.0,65.446,34.554,23.796,47.109,1.528,True,resilient
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,transformative_change,17,100.0,67.21,32.79,23.16,47.204,1.4879,True,resilient
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,transformative_change,18,100.0,68.974,31.026,22.524,47.299,1.4498,True,resilient
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,transformative_change,19,100.0,70.738,29.262,21.888,47.394,1.4137,True,resilient
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,transformative_change,20,100.0,72.502,27.498,21.252,47.489,1.3793,True,resilient
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,transformative_change,21,100.0,74.266,25.734,20.616,47.583,1.3465,True,resilient
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,transformative_change,22,100.0,76.03,23.97,19.98,47.678,1.3153,True,stressed_recoverable
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,transformative_change,23,100.0,77.794,22.206,19.344,47.773,1.2854,True,stressed_recoverable
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,transformative_change,24,100.0,79.558,20.442,18.708,47.868,1.2569,True,stressed_recoverable
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,transformative_change,25,100.0,81.322,18.678,18.072,47.963,1.2297,True,stressed_recoverable
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,transformative_change,26,100.0,83.086,16.914,17.436,48.058,1.2036,True,stressed_recoverable
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,transformative_change,27,100.0,84.85,15.15,16.8,48.153,1.1786,True,stressed_recoverable
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,transformative_change,28,100.0,86.614,13.386,16.164,48.248,1.1545,True,stressed_recoverable
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,transformative_change,29,100.0,88.378,11.622,15.528,48.343,1.1315,True,stressed_recoverable
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,transformative_change,30,100.0,90.142,9.858,14.892,48.438,1.1094,True,near_threshold
