period,scenario,system_mean,clustering_index,diversity_index,synchronization_index,complexity_index,minimum_agent_state,maximum_agent_state
22,Strong local conformity,0.5363,0.9873,0.0694,0.9306,0.4115,0.4745,0.5919
23,Strong local conformity,0.5374,0.9874,0.0648,0.9352,0.4071,0.4834,0.5888
24,Strong local conformity,0.5365,0.9865,0.0607,0.9393,0.4029,0.4941,0.5923
25,Strong local conformity,0.5381,0.9863,0.0606,0.9394,0.4027,0.4931,0.5898
26,Strong local conformity,0.5391,0.9872,0.0586,0.9414,0.4012,0.4855,0.5894
27,Strong local conformity,0.5385,0.9857,0.057,0.943,0.3992,0.4818,0.5854
28,Strong local conformity,0.5376,0.9847,0.0571,0.9429,0.3989,0.4851,0.5878
29,Strong local conformity,0.5382,0.9879,0.0497,0.9503,0.393,0.4945,0.5722
30,Strong local conformity,0.5384,0.9866,0.0513,0.9487,0.3941,0.503,0.5843
31,Strong local conformity,0.5392,0.9865,0.0528,0.9472,0.3954,0.495,0.5917
32,Strong local conformity,0.5391,0.986,0.0531,0.9469,0.3956,0.4959,0.5831
33,Strong local conformity,0.5393,0.9862,0.0528,0.9472,0.3953,0.4952,0.5833
34,Strong local conformity,0.5384,0.9855,0.0531,0.9469,0.3954,0.4922,0.5875
35,Strong local conformity,0.5377,0.9856,0.0511,0.9489,0.3935,0.4964,0.5845
36,Strong local conformity,0.5402,0.9839,0.0543,0.9457,0.396,0.5008,0.5828
37,Strong local conformity,0.5415,0.9832,0.0514,0.9486,0.3929,0.502,0.5744
38,Strong local conformity,0.5421,0.9855,0.0478,0.9522,0.3903,0.4999,0.5838
39,Strong local conformity,0.5422,0.9851,0.0465,0.9535,0.389,0.4999,0.5738
40,Strong local conformity,0.5425,0.9865,0.0462,0.9538,0.3891,0.5058,0.5799
41,Strong local conformity,0.5426,0.9871,0.0463,0.9537,0.3895,0.5066,0.5808
42,Strong local conformity,0.5433,0.9854,0.0432,0.9568,0.386,0.501,0.584
43,Strong local conformity,0.544,0.9853,0.0428,0.9572,0.3855,0.4988,0.5832
44,Strong local conformity,0.5451,0.9849,0.0417,0.9583,0.3843,0.5108,0.5745
45,Strong local conformity,0.5457,0.9863,0.0396,0.9604,0.3828,0.5158,0.5816
46,Strong local conformity,0.5464,0.9852,0.0425,0.9575,0.3852,0.5077,0.5809
47,Strong local conformity,0.5463,0.988,0.039,0.961,0.3829,0.5122,0.5798
48,Strong local conformity,0.5453,0.9874,0.0408,0.9592,0.3844,0.5063,0.5806
49,Strong local conformity,0.5453,0.9865,0.0423,0.9577,0.3854,0.5098,0.5773
50,Strong local conformity,0.5446,0.9868,0.0399,0.9601,0.3833,0.5096,0.5735
51,Strong local conformity,0.5431,0.9858,0.0413,0.9587,0.3843,0.5086,0.5777
52,Strong local conformity,0.5426,0.9846,0.0408,0.9592,0.3833,0.515,0.577
53,Strong local conformity,0.5434,0.9848,0.042,0.958,0.3846,0.5075,0.5769
54,Strong local conformity,0.5444,0.9852,0.0416,0.9584,0.3844,0.5082,0.5786
55,Strong local conformity,0.5436,0.9861,0.0424,0.9576,0.3854,0.5071,0.5797
56,Strong local conformity,0.5426,0.9865,0.0409,0.9591,0.3841,0.5097,0.5824
57,Strong local conformity,0.542,0.9857,0.0439,0.9561,0.3867,0.5059,0.5808
58,Strong local conformity,0.5407,0.986,0.0442,0.9558,0.3871,0.507,0.576
59,Strong local conformity,0.5399,0.9858,0.0455,0.9545,0.3883,0.5045,0.5802
60,Strong local conformity,0.5396,0.986,0.0469,0.9531,0.3897,0.5074,0.5791
0,Adaptive diversity,0.4624,0.6695,0.8764,0.1236,0.6152,0.0067,0.9947
1,Adaptive diversity,0.4719,0.7717,0.6106,0.3894,0.7174,0.123,0.8724
2,Adaptive diversity,0.4828,0.8408,0.4376,0.5624,0.71,0.176,0.7707
3,Adaptive diversity,0.4934,0.8819,0.3308,0.6692,0.623,0.1955,0.7278
4,Adaptive diversity,0.5029,0.9059,0.2702,0.7298,0.5738,0.2677,0.6872
5,Adaptive diversity,0.5091,0.926,0.2129,0.7871,0.5264,0.326,0.6799
6,Adaptive diversity,0.5126,0.9341,0.1971,0.8029,0.5142,0.3576,0.6573
7,Adaptive diversity,0.5169,0.9491,0.1704,0.8296,0.4941,0.3999,0.6498
8,Adaptive diversity,0.5249,0.9591,0.15,0.85,0.4782,0.3992,0.6354
9,Adaptive diversity,0.5247,0.9551,0.1509,0.8491,0.4776,0.3993,0.6357
10,Adaptive diversity,0.5278,0.9562,0.1513,0.8487,0.4784,0.3989,0.6467
11,Adaptive diversity,0.5243,0.9497,0.1456,0.8544,0.4707,0.3923,0.6328
12,Adaptive diversity,0.5245,0.9501,0.1449,0.8551,0.4702,0.391,0.633
13,Adaptive diversity,0.5234,0.9504,0.1394,0.8606,0.4651,0.4181,0.6359
14,Adaptive diversity,0.5302,0.9458,0.1457,0.8543,0.4694,0.3978,0.6569
15,Adaptive diversity,0.5319,0.9494,0.1405,0.8595,0.4658,0.3925,0.6223
16,Adaptive diversity,0.5339,0.9424,0.1554,0.8446,0.4775,0.3735,0.6395
17,Adaptive diversity,0.5359,0.9471,0.1431,0.8569,0.4674,0.4257,0.6301
18,Adaptive diversity,0.5362,0.9452,0.1476,0.8524,0.471,0.4198,0.6628
19,Adaptive diversity,0.5387,0.9528,0.1298,0.8702,0.4568,0.4307,0.652
20,Adaptive diversity,0.5419,0.951,0.1327,0.8673,0.4589,0.4366,0.6563
21,Adaptive diversity,0.5433,0.9541,0.1346,0.8654,0.4618,0.4287,0.6452
22,Adaptive diversity,0.5465,0.947,0.1489,0.8511,0.473,0.4188,0.654
23,Adaptive diversity,0.5436,0.9495,0.1364,0.8636,0.4619,0.4341,0.6618
24,Adaptive diversity,0.5493,0.95,0.1412,0.8588,0.4667,0.4433,0.6675
25,Adaptive diversity,0.5481,0.9493,0.1435,0.8565,0.4686,0.4226,0.6505
26,Adaptive diversity,0.5432,0.9519,0.149,0.851,0.4747,0.439,0.6624
27,Adaptive diversity,0.5454,0.9477,0.1458,0.8542,0.4702,0.4387,0.6843
28,Adaptive diversity,0.5402,0.946,0.1531,0.8469,0.4765,0.4432,0.7021
29,Adaptive diversity,0.5369,0.9422,0.1543,0.8457,0.4764,0.4215,0.7184
30,Adaptive diversity,0.5358,0.948,0.1447,0.8553,0.4693,0.4361,0.6831
31,Adaptive diversity,0.5416,0.95,0.1376,0.8624,0.4632,0.4321,0.66
32,Adaptive diversity,0.5439,0.9503,0.1354,0.8646,0.4612,0.422,0.6448
33,Adaptive diversity,0.4517,0.9497,0.1387,0.8613,0.4642,0.3285,0.5381
34,Adaptive diversity,0.4665,0.9426,0.15,0.85,0.4725,0.3444,0.5765
35,Adaptive diversity,0.483,0.9485,0.1413,0.8587,0.4662,0.3829,0.5988
36,Adaptive diversity,0.4895,0.9465,0.1423,0.8577,0.4665,0.3719,0.6147
37,Adaptive diversity,0.5024,0.9464,0.1445,0.8555,0.4686,0.3846,0.6403
38,Adaptive diversity,0.5125,0.9434,0.1444,0.8556,0.4674,0.3977,0.6254
39,Adaptive diversity,0.5141,0.9489,0.1391,0.8609,0.4643,0.4046,0.6147
40,Adaptive diversity,0.5144,0.9526,0.1452,0.8548,0.4713,0.3849,0.6133
41,Adaptive diversity,0.5249,0.9485,0.1472,0.8528,0.4719,0.4021,0.6139
42,Adaptive diversity,0.5296,0.9497,0.1429,0.8571,0.4682,0.396,0.6237
43,Adaptive diversity,0.5338,0.9487,0.1397,0.8603,0.4648,0.3923,0.6331
44,Adaptive diversity,0.5379,0.9433,0.1398,0.8602,0.4629,0.3918,0.6201
45,Adaptive diversity,0.5351,0.945,0.1472,0.8528,0.4706,0.4162,0.6348
46,Adaptive diversity,0.5363,0.9444,0.1393,0.8607,0.4629,0.4057,0.6595
47,Adaptive diversity,0.5433,0.9513,0.1282,0.8718,0.4548,0.4121,0.647
48,Adaptive diversity,0.5416,0.9504,0.1389,0.8611,0.4646,0.4305,0.667
49,Adaptive diversity,0.5413,0.9513,0.1297,0.8703,0.4562,0.4442,0.6459
50,Adaptive diversity,0.5433,0.9533,0.1305,0.8695,0.4576,0.4408,0.6695
51,Adaptive diversity,0.5431,0.9493,0.1362,0.8638,0.4617,0.4206,0.6817
52,Adaptive diversity,0.5434,0.9535,0.1325,0.8675,0.4596,0.4136,0.7024
53,Adaptive diversity,0.5406,0.9477,0.1358,0.8642,0.4607,0.44,0.6369
54,Adaptive diversity,0.5386,0.9502,0.1358,0.8642,0.4615,0.4179,0.6742
55,Adaptive diversity,0.5373,0.947,0.1372,0.8628,0.4618,0.4211,0.6301
56,Adaptive diversity,0.5375,0.9575,0.1252,0.8748,0.454,0.4486,0.654
57,Adaptive diversity,0.5399,0.9589,0.1187,0.8813,0.4484,0.4541,0.6434
58,Adaptive diversity,0.539,0.9507,0.1195,0.8805,0.4462,0.4309,0.6297
59,Adaptive diversity,0.5378,0.9501,0.1303,0.8697,0.4563,0.4495,0.6327
60,Adaptive diversity,0.5438,0.9464,0.1391,0.8609,0.4634,0.4353,0.6564
0,Guided resilient adaptation,0.5034,0.6536,0.8691,0.1309,0.6115,0.011,0.9716
1,Guided resilient adaptation,0.5166,0.7482,0.6617,0.3383,0.6964,0.1104,0.8992
2,Guided resilient adaptation,0.5264,0.8146,0.5024,0.4976,0.7595,0.2041,0.8346
3,Guided resilient adaptation,0.5297,0.8608,0.388,0.612,0.6699,0.2774,0.7902
4,Guided resilient adaptation,0.5376,0.894,0.3096,0.6904,0.607,0.3345,0.7472
5,Guided resilient adaptation,0.5373,0.9218,0.2427,0.7573,0.5532,0.3792,0.7305
6,Guided resilient adaptation,0.5428,0.9373,0.202,0.798,0.52,0.4024,0.7248
7,Guided resilient adaptation,0.5459,0.9434,0.1697,0.8303,0.4914,0.4185,0.6919
8,Guided resilient adaptation,0.549,0.9523,0.1458,0.8542,0.4718,0.441,0.6786
9,Guided resilient adaptation,0.5505,0.9544,0.1367,0.8633,0.4638,0.4288,0.6811
10,Guided resilient adaptation,0.5564,0.957,0.1275,0.8725,0.4561,0.4506,0.6764
11,Guided resilient adaptation,0.5559,0.9566,0.1188,0.8812,0.4477,0.4745,0.6554
12,Guided resilient adaptation,0.5558,0.9597,0.1093,0.8907,0.4397,0.4826,0.6684
13,Guided resilient adaptation,0.5549,0.9532,0.1276,0.8724,0.4548,0.4557,0.6782
14,Guided resilient adaptation,0.5587,0.9542,0.1258,0.8742,0.4534,0.4441,0.6677
15,Guided resilient adaptation,0.5589,0.9582,0.1233,0.8767,0.4525,0.436,0.6485
16,Guided resilient adaptation,0.5564,0.9582,0.1209,0.8791,0.4503,0.4398,0.6405
17,Guided resilient adaptation,0.5573,0.9604,0.1234,0.8766,0.4534,0.4293,0.643
18,Guided resilient adaptation,0.5622,0.9616,0.12,0.88,0.4506,0.4473,0.6421
19,Guided resilient adaptation,0.566,0.9566,0.1225,0.8775,0.4512,0.4535,0.6595
20,Guided resilient adaptation,0.5671,0.9589,0.122,0.878,0.4515,0.4641,0.6763
21,Guided resilient adaptation,0.564,0.9532,0.1242,0.8758,0.4516,0.4522,0.6755
22,Guided resilient adaptation,0.565,0.9597,0.117,0.883,0.447,0.4606,0.6764
23,Guided resilient adaptation,0.568,0.9591,0.1117,0.8883,0.4418,0.4558,0.6395
24,Guided resilient adaptation,0.5632,0.9585,0.1171,0.8829,0.4467,0.4445,0.6477
25,Guided resilient adaptation,0.5641,0.9646,0.1092,0.8908,0.4413,0.4365,0.6546
26,Guided resilient adaptation,0.5626,0.9576,0.1175,0.8825,0.4467,0.4509,0.6807
27,Guided resilient adaptation,0.568,0.9605,0.1117,0.8883,0.4423,0.4856,0.6475
28,Guided resilient adaptation,0.5689,0.9545,0.1216,0.8784,0.4496,0.468,0.6705
29,Guided resilient adaptation,0.5721,0.9567,0.1116,0.8884,0.4409,0.4865,0.6649
30,Guided resilient adaptation,0.5717,0.9559,0.1139,0.8861,0.4428,0.485,0.6489
31,Guided resilient adaptation,0.5683,0.9582,0.1203,0.8797,0.4497,0.4708,0.6452
32,Guided resilient adaptation,0.5657,0.9548,0.1212,0.8788,0.4494,0.4645,0.6715
33,Guided resilient adaptation,0.5093,0.9549,0.1204,0.8796,0.4486,0.4192,0.6379
34,Guided resilient adaptation,0.5174,0.9561,0.1195,0.8805,0.4481,0.4087,0.6097
35,Guided resilient adaptation,0.5278,0.9532,0.1256,0.8744,0.4529,0.41,0.6269
36,Guided resilient adaptation,0.5317,0.9585,0.1175,0.8825,0.4471,0.4367,0.6357
37,Guided resilient adaptation,0.5392,0.9567,0.1169,0.8831,0.4459,0.4562,0.6344
38,Guided resilient adaptation,0.543,0.9518,0.1238,0.8762,0.4507,0.4492,0.6371
39,Guided resilient adaptation,0.5475,0.9531,0.1254,0.8746,0.4527,0.4326,0.6522
40,Guided resilient adaptation,0.5481,0.9601,0.1151,0.8849,0.4454,0.425,0.6315
41,Guided resilient adaptation,0.5498,0.9585,0.109,0.891,0.439,0.4667,0.6351
42,Guided resilient adaptation,0.5476,0.9595,0.1078,0.8922,0.4382,0.4745,0.6372
43,Guided resilient adaptation,0.5483,0.9538,0.1222,0.8778,0.4499,0.4634,0.6332
44,Guided resilient adaptation,0.5467,0.9471,0.1261,0.8739,0.4513,0.4577,0.6296
45,Guided resilient adaptation,0.5519,0.9555,0.1198,0.8802,0.4482,0.4363,0.6634
46,Guided resilient adaptation,0.5566,0.9608,0.1173,0.8827,0.4477,0.4302,0.6806
47,Guided resilient adaptation,0.5571,0.9544,0.1262,0.8738,0.4539,0.4405,0.6733
48,Guided resilient adaptation,0.5561,0.9564,0.1272,0.8728,0.4555,0.4657,0.6433
49,Guided resilient adaptation,0.5638,0.9639,0.1256,0.8744,0.4567,0.4697,0.6604
50,Guided resilient adaptation,0.5664,0.961,0.1277,0.8723,0.4576,0.4909,0.6755
51,Guided resilient adaptation,0.5618,0.9609,0.1269,0.8731,0.4569,0.4618,0.6724
52,Guided resilient adaptation,0.56,0.9618,0.1307,0.8693,0.4608,0.4459,0.663
53,Guided resilient adaptation,0.5594,0.9574,0.1277,0.8723,0.4564,0.4688,0.6606
54,Guided resilient adaptation,0.5566,0.9591,0.1292,0.8708,0.4585,0.4746,0.6477
55,Guided resilient adaptation,0.559,0.9552,0.1319,0.8681,0.4596,0.4692,0.6447
56,Guided resilient adaptation,0.5609,0.9574,0.1336,0.8664,0.462,0.4378,0.6624
57,Guided resilient adaptation,0.5588,0.9589,0.1221,0.8779,0.4516,0.4742,0.6707
58,Guided resilient adaptation,0.5628,0.9568,0.1178,0.8822,0.4468,0.4864,0.6625
59,Guided resilient adaptation,0.5615,0.9518,0.1259,0.8741,0.4527,0.4692,0.6604
60,Guided resilient adaptation,0.5623,0.9603,0.1147,0.8853,0.4451,0.4372,0.6548
