article_slug,article_title,domain_profile,scenario,year,system_capacity,system_pressure,threshold_margin,administrative_or_system_burden,vulnerability_index,resilience_ratio,intervention_active,regime_classification
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,baseline_pressure,18,26.129,72.3,-46.171,49.0,77.848,0.3614,False,shifted_regime
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,baseline_pressure,19,22.495,74.0,-51.505,50.0,79.521,0.304,False,shifted_regime
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,baseline_pressure,20,18.749,75.7,-56.951,51.0,81.226,0.2477,False,shifted_regime
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,baseline_pressure,21,14.891,77.4,-62.509,52.0,82.962,0.1924,False,shifted_regime
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,baseline_pressure,22,10.922,79.1,-68.178,53.0,84.73,0.1381,False,shifted_regime
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,baseline_pressure,23,6.842,80.8,-73.958,54.0,86.528,0.0847,False,shifted_regime
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,baseline_pressure,24,2.65,82.5,-79.85,55.0,88.358,0.0321,False,shifted_regime
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,baseline_pressure,25,0.0,84.2,-84.2,56.0,89.756,0.0,False,shifted_regime
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,baseline_pressure,26,0.0,85.9,-85.9,57.0,90.412,0.0,False,shifted_regime
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,baseline_pressure,27,0.0,87.6,-87.6,58.0,91.068,0.0,False,shifted_regime
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,baseline_pressure,28,0.0,89.3,-89.3,59.0,91.724,0.0,False,shifted_regime
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,baseline_pressure,29,0.0,91.0,-91.0,60.0,92.38,0.0,False,shifted_regime
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,baseline_pressure,30,0.0,92.7,-92.7,61.0,93.036,0.0,False,shifted_regime
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,delayed_response,0,72.711,41.7,31.011,31.0,52.997,1.7437,False,resilient
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,delayed_response,1,71.31,43.4,27.91,32.0,54.045,1.6431,False,resilient
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,delayed_response,2,69.797,45.1,24.697,33.0,55.125,1.5476,False,stressed_recoverable
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,delayed_response,3,68.174,46.8,21.374,34.0,56.235,1.4567,False,stressed_recoverable
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,delayed_response,4,66.438,48.5,17.938,35.0,57.377,1.3699,False,stressed_recoverable
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,delayed_response,5,64.591,50.2,14.391,36.0,58.55,1.2867,False,stressed_recoverable
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,delayed_response,6,62.633,51.9,10.733,37.0,59.755,1.2068,False,stressed_recoverable
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,delayed_response,7,60.563,53.6,6.963,38.0,60.99,1.1299,False,near_threshold
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,delayed_response,8,58.382,55.3,3.082,39.0,62.257,1.0557,False,near_threshold
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,delayed_response,9,56.089,57.0,-0.911,40.0,63.555,0.984,False,shifted_regime
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,delayed_response,10,53.685,58.7,-5.015,41.0,64.884,0.9146,False,shifted_regime
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,delayed_response,11,51.169,60.4,-9.231,42.0,66.245,0.8472,False,shifted_regime
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,delayed_response,12,48.541,62.1,-13.559,43.0,67.636,0.7817,False,shifted_regime
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,delayed_response,13,45.803,63.8,-17.997,44.0,69.059,0.7179,False,shifted_regime
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,delayed_response,14,44.689,65.408,-20.72,44.616,69.876,0.6832,True,shifted_regime
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,delayed_response,15,43.481,67.016,-23.536,45.232,70.72,0.6488,True,shifted_regime
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,delayed_response,16,42.179,68.625,-26.446,45.848,71.589,0.6146,True,shifted_regime
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,delayed_response,17,40.783,70.233,-29.449,46.464,72.485,0.5807,True,shifted_regime
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,delayed_response,18,39.294,71.841,-32.547,47.08,73.407,0.547,True,shifted_regime
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,delayed_response,19,37.71,73.449,-35.739,47.696,74.356,0.5134,True,shifted_regime
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,delayed_response,20,36.033,75.057,-39.025,48.312,75.33,0.4801,True,shifted_regime
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,delayed_response,21,34.261,76.666,-42.404,48.928,76.331,0.4469,True,shifted_regime
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,delayed_response,22,32.396,78.274,-45.878,49.544,77.359,0.4139,True,shifted_regime
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,delayed_response,23,30.437,79.882,-49.445,50.16,78.413,0.381,True,shifted_regime
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,delayed_response,24,28.383,81.49,-53.107,50.776,79.493,0.3483,True,shifted_regime
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,delayed_response,25,26.236,83.098,-56.862,51.392,80.599,0.3157,True,shifted_regime
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,delayed_response,26,23.995,84.707,-60.712,52.008,81.731,0.2833,True,shifted_regime
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,delayed_response,27,21.66,86.315,-64.655,52.624,82.89,0.2509,True,shifted_regime
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,delayed_response,28,19.231,87.923,-68.692,53.24,84.075,0.2187,True,shifted_regime
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,delayed_response,29,16.708,89.531,-72.823,53.856,85.287,0.1866,True,shifted_regime
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,delayed_response,30,14.091,91.139,-77.048,54.472,86.525,0.1546,True,shifted_regime
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,professional_redesign,0,73.097,41.7,31.397,31.0,52.889,1.7529,False,resilient
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,professional_redesign,1,72.082,43.4,28.682,32.0,53.829,1.6609,False,resilient
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,professional_redesign,2,70.956,45.1,25.856,33.0,54.8,1.5733,False,resilient
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,professional_redesign,3,69.718,46.8,22.918,34.0,55.803,1.4897,False,stressed_recoverable
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,professional_redesign,4,68.369,48.5,19.869,35.0,56.837,1.4097,False,stressed_recoverable
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,professional_redesign,5,70.124,49.955,20.168,34.976,56.599,1.4037,True,stressed_recoverable
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,professional_redesign,6,71.814,51.41,20.403,34.952,56.379,1.3969,True,stressed_recoverable
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,professional_redesign,7,73.439,52.866,20.574,34.928,56.178,1.3892,True,stressed_recoverable
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,professional_redesign,8,75.0,54.321,20.68,34.904,55.994,1.3807,True,stressed_recoverable
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,professional_redesign,9,76.497,55.776,20.721,34.88,55.829,1.3715,True,stressed_recoverable
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,professional_redesign,10,77.928,57.231,20.697,34.856,55.681,1.3616,True,stressed_recoverable
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,professional_redesign,11,79.295,58.686,20.609,34.832,55.552,1.3512,True,stressed_recoverable
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,professional_redesign,12,80.598,60.142,20.456,34.808,55.441,1.3401,True,stressed_recoverable
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,professional_redesign,13,81.835,61.597,20.238,34.784,55.348,1.3286,True,stressed_recoverable
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,professional_redesign,14,83.008,63.052,19.956,34.76,55.273,1.3165,True,stressed_recoverable
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,professional_redesign,15,84.117,64.507,19.61,34.736,55.216,1.304,True,stressed_recoverable
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,professional_redesign,16,85.161,65.962,19.198,34.712,55.177,1.291,True,stressed_recoverable
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,professional_redesign,17,86.14,67.418,18.722,34.688,55.157,1.2777,True,stressed_recoverable
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,professional_redesign,18,87.054,68.873,18.181,34.664,55.154,1.264,True,stressed_recoverable
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,professional_redesign,19,87.904,70.328,17.576,34.64,55.17,1.2499,True,stressed_recoverable
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,professional_redesign,20,88.689,71.783,16.906,34.616,55.204,1.2355,True,stressed_recoverable
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,professional_redesign,21,89.41,73.238,16.171,34.592,55.255,1.2208,True,stressed_recoverable
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,professional_redesign,22,90.066,74.694,15.372,34.568,55.325,1.2058,True,stressed_recoverable
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,professional_redesign,23,90.657,76.149,14.508,34.544,55.413,1.1905,True,stressed_recoverable
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,professional_redesign,24,91.184,77.604,13.58,34.52,55.519,1.175,True,stressed_recoverable
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,professional_redesign,25,91.645,79.059,12.586,34.496,55.644,1.1592,True,stressed_recoverable
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,professional_redesign,26,92.043,80.514,11.528,34.472,55.786,1.1432,True,stressed_recoverable
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,professional_redesign,27,92.376,81.97,10.406,34.448,55.946,1.1269,True,stressed_recoverable
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,professional_redesign,28,92.644,83.425,9.219,34.424,56.125,1.1105,True,near_threshold
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,professional_redesign,29,92.847,84.88,7.967,34.4,56.321,1.0939,True,near_threshold
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,professional_redesign,30,92.986,86.335,6.651,34.376,56.536,1.077,True,near_threshold
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,transformative_change,0,73.313,41.7,31.613,31.0,52.828,1.7581,False,resilient
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,transformative_change,1,72.515,43.4,29.115,32.0,53.708,1.6709,False,resilient
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,transformative_change,2,71.606,45.1,26.506,33.0,54.618,1.5877,False,resilient
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,transformative_change,3,74.614,46.433,28.181,32.464,53.828,1.6069,True,resilient
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,transformative_change,4,77.581,47.766,29.815,31.928,53.05,1.6242,True,resilient
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,transformative_change,5,80.507,49.098,31.409,31.392,52.283,1.6397,True,resilient
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,transformative_change,6,83.392,50.431,32.96,30.856,51.528,1.6536,True,resilient
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,transformative_change,7,86.235,51.764,34.471,30.32,50.784,1.6659,True,resilient
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,transformative_change,8,89.037,53.097,35.94,29.784,50.051,1.6769,True,resilient
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,transformative_change,9,91.798,54.43,37.369,29.248,49.331,1.6865,True,resilient
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,transformative_change,10,94.518,55.762,38.756,28.712,48.621,1.695,True,resilient
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,transformative_change,11,97.196,57.095,40.101,28.176,47.924,1.7024,True,resilient
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,transformative_change,12,99.834,58.428,41.406,27.64,47.238,1.7087,True,resilient
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,transformative_change,13,100.0,59.761,40.239,27.104,47.243,1.6733,True,resilient
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,transformative_change,14,100.0,61.094,38.906,26.568,47.296,1.6368,True,resilient
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,transformative_change,15,100.0,62.426,37.574,26.032,47.348,1.6019,True,resilient
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,transformative_change,16,100.0,63.759,36.241,25.496,47.4,1.5684,True,resilient
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,transformative_change,17,100.0,65.092,34.908,24.96,47.453,1.5363,True,resilient
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,transformative_change,18,100.0,66.425,33.575,24.424,47.505,1.5055,True,resilient
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,transformative_change,19,100.0,67.758,32.242,23.888,47.557,1.4758,True,resilient
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,transformative_change,20,100.0,69.09,30.91,23.352,47.609,1.4474,True,resilient
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,transformative_change,21,100.0,70.423,29.577,22.816,47.662,1.42,True,resilient
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,transformative_change,22,100.0,71.756,28.244,22.28,47.714,1.3936,True,resilient
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,transformative_change,23,100.0,73.089,26.911,21.744,47.766,1.3682,True,resilient
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,transformative_change,24,100.0,74.422,25.578,21.208,47.819,1.3437,True,resilient
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,transformative_change,25,100.0,75.754,24.246,20.672,47.871,1.3201,True,stressed_recoverable
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,transformative_change,26,100.0,77.087,22.913,20.136,47.923,1.2972,True,stressed_recoverable
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,transformative_change,27,100.0,78.42,21.58,19.6,47.976,1.2752,True,stressed_recoverable
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,transformative_change,28,100.0,79.753,20.247,19.064,48.028,1.2539,True,stressed_recoverable
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,transformative_change,29,100.0,81.086,18.914,18.528,48.08,1.2333,True,stressed_recoverable
wholes-parts-and-interdependence,Wholes Parts And Interdependence,general_systems,transformative_change,30,100.0,82.418,17.582,17.992,48.133,1.2133,True,stressed_recoverable
