period,scenario,complexity_pressure,resilience_capacity,feedback_amplification,accountability_score,harm_pressure,resilience_stock,learning_stock,trust_stock,accountability_memory,harm_stock,transformation_capacity,systems_readiness_score
24,Optimized brittle system,65.6,42.112,24.394,39.306,24.989,22.959,87.282,28.357,67.733,99.628,30.662,20.198
25,Optimized brittle system,65.6,42.619,24.048,39.742,24.714,23.241,90.292,27.357,70.433,100.0,31.36,20.957
26,Optimized brittle system,65.6,43.121,23.697,40.182,24.44,23.566,93.318,26.37,73.18,100.0,32.114,21.806
27,Optimized brittle system,65.6,43.629,23.341,40.633,24.16,23.935,96.362,25.414,75.975,100.0,32.881,22.678
28,Optimized brittle system,65.6,44.146,22.979,41.096,23.875,24.35,99.426,24.491,78.817,100.0,33.662,23.576
29,Optimized brittle system,65.6,44.672,22.611,41.573,23.584,24.812,100.0,23.601,81.71,100.0,33.956,23.827
30,Optimized brittle system,65.6,44.656,22.324,42.062,23.445,25.269,100.0,22.746,84.647,100.0,34.137,23.932
31,Optimized brittle system,65.6,44.519,22.052,42.564,23.337,25.711,100.0,21.925,87.629,100.0,34.318,24.042
32,Optimized brittle system,65.6,44.388,21.775,43.078,23.223,26.14,100.0,21.141,90.656,100.0,34.5,24.157
33,Optimized brittle system,65.6,44.262,21.492,43.605,23.105,26.555,100.0,20.393,93.73,100.0,34.682,24.278
34,Optimized brittle system,65.6,44.143,21.204,44.145,22.982,26.958,100.0,19.683,96.852,100.0,34.865,24.405
35,Optimized brittle system,65.6,44.029,20.91,44.699,22.854,27.351,100.0,19.012,100.0,100.0,35.05,24.539
36,Optimized brittle system,65.6,43.922,20.612,45.261,22.722,27.734,100.0,18.38,100.0,100.0,35.235,24.679
37,Optimized brittle system,65.6,43.821,20.629,45.198,22.764,28.099,100.0,17.744,100.0,100.0,35.279,24.656
38,Optimized brittle system,65.6,43.719,20.645,45.134,22.805,28.447,100.0,17.104,100.0,100.0,35.321,24.627
39,Optimized brittle system,65.6,43.617,20.661,45.07,22.847,28.776,100.0,16.459,100.0,100.0,35.36,24.592
40,Optimized brittle system,65.6,43.513,20.678,45.006,22.89,29.087,100.0,15.809,100.0,100.0,35.395,24.553
41,Optimized brittle system,65.6,43.409,20.694,44.941,22.932,29.379,100.0,15.155,100.0,100.0,35.428,24.507
42,Optimized brittle system,65.6,43.305,20.711,44.875,22.975,29.653,100.0,14.496,100.0,100.0,35.457,24.456
43,Optimized brittle system,65.6,43.199,20.728,44.81,23.019,29.908,100.0,13.833,100.0,100.0,35.483,24.399
44,Optimized brittle system,65.6,43.093,20.745,44.743,23.062,30.144,100.0,13.165,100.0,100.0,35.507,24.336
45,Optimized brittle system,65.6,42.986,20.762,44.676,23.106,30.362,100.0,12.492,100.0,100.0,35.527,24.268
46,Optimized brittle system,65.6,42.879,20.779,44.609,23.15,30.56,100.0,11.815,100.0,100.0,35.544,24.194
47,Optimized brittle system,65.6,42.77,20.797,44.541,23.195,30.739,100.0,11.133,100.0,100.0,35.557,24.114
48,Optimized brittle system,65.6,42.661,20.814,44.473,23.24,30.898,100.0,10.446,100.0,100.0,35.568,24.028
0,Adaptive learning system,62.16,46.576,23.268,50.53,14.429,37.221,39.024,38.9,30.851,16.756,46.906,34.221
1,Adaptive learning system,62.16,48.449,22.523,51.9,13.548,39.698,44.215,43.903,35.447,14.309,48.936,37.861
2,Adaptive learning system,62.16,50.392,21.753,53.32,12.636,42.44,49.579,49.128,40.193,11.547,51.091,41.724
3,Adaptive learning system,62.16,52.408,20.955,54.792,11.69,45.458,55.124,54.594,45.095,8.459,53.377,45.819
4,Adaptive learning system,62.16,54.502,20.13,56.318,10.972,48.75,60.853,60.322,50.148,5.092,55.79,50.143
5,Adaptive learning system,62.16,56.679,19.277,57.902,10.269,52.322,66.771,66.328,55.355,1.443,58.331,54.703
6,Adaptive learning system,62.16,58.942,18.394,59.544,9.54,56.188,72.888,72.632,60.723,0.0,60.707,59.037
7,Adaptive learning system,62.16,61.297,17.48,61.248,8.781,60.36,79.211,79.127,66.258,0.0,63.014,63.28
8,Adaptive learning system,62.16,63.727,16.538,63.004,8.406,64.824,85.74,85.746,71.948,0.0,65.421,67.686
9,Adaptive learning system,62.16,66.222,15.57,64.804,8.251,69.576,92.476,92.49,77.788,0.0,67.924,72.253
10,Adaptive learning system,62.16,68.783,14.576,66.647,8.092,74.623,99.421,99.363,83.782,0.0,70.526,76.984
11,Adaptive learning system,62.16,71.411,13.556,68.533,7.929,79.971,100.0,100.0,89.934,0.0,71.913,79.1
12,Adaptive learning system,62.16,71.64,12.904,69.827,7.825,85.351,100.0,100.0,96.193,0.0,73.058,80.817
13,Adaptive learning system,62.16,71.64,12.278,71.079,7.725,90.737,100.0,100.0,100.0,0.0,74.195,82.525
14,Adaptive learning system,62.16,71.64,11.898,71.84,7.664,96.126,100.0,100.0,100.0,0.0,75.225,84.11
15,Adaptive learning system,62.16,71.64,11.898,71.84,7.664,100.0,100.0,100.0,100.0,0.0,75.845,85.112
16,Adaptive learning system,62.16,71.64,11.898,71.84,7.664,100.0,100.0,100.0,100.0,0.0,75.845,85.112
17,Adaptive learning system,62.16,71.64,11.898,71.84,7.664,100.0,100.0,100.0,100.0,0.0,75.845,85.112
18,Adaptive learning system,62.16,71.64,11.898,71.84,7.664,100.0,100.0,100.0,100.0,0.0,75.845,85.112
19,Adaptive learning system,62.16,71.64,11.898,71.84,7.664,100.0,100.0,100.0,100.0,0.0,75.845,85.112
20,Adaptive learning system,62.16,71.64,11.898,71.84,7.664,100.0,100.0,100.0,100.0,0.0,75.845,85.112
21,Adaptive learning system,62.16,71.64,11.898,71.84,7.664,100.0,100.0,100.0,100.0,0.0,75.845,85.112
22,Adaptive learning system,62.16,71.64,11.898,71.84,7.664,100.0,100.0,100.0,100.0,0.0,75.845,85.112
23,Adaptive learning system,62.16,71.64,11.898,71.84,7.664,100.0,100.0,100.0,100.0,0.0,75.845,85.112
24,Adaptive learning system,62.16,71.64,11.898,71.84,7.664,100.0,100.0,100.0,100.0,0.0,75.845,85.112
25,Adaptive learning system,62.16,71.64,11.898,71.84,7.664,100.0,100.0,100.0,100.0,0.0,75.845,85.112
26,Adaptive learning system,62.16,71.64,11.898,71.84,7.664,100.0,100.0,100.0,100.0,0.0,75.845,85.112
27,Adaptive learning system,62.16,71.64,11.898,71.84,7.664,100.0,100.0,100.0,100.0,0.0,75.845,85.112
28,Adaptive learning system,62.16,71.64,11.898,71.84,7.664,100.0,100.0,100.0,100.0,0.0,75.845,85.112
29,Adaptive learning system,62.16,71.64,11.898,71.84,7.664,100.0,100.0,100.0,100.0,0.0,75.845,85.112
30,Adaptive learning system,62.16,71.64,11.898,71.84,7.664,100.0,100.0,100.0,100.0,0.0,75.845,85.112
31,Adaptive learning system,62.16,71.64,11.898,71.84,7.664,100.0,100.0,100.0,100.0,0.0,75.845,85.112
32,Adaptive learning system,62.16,71.64,11.898,71.84,7.664,100.0,100.0,100.0,100.0,0.0,75.845,85.112
33,Adaptive learning system,62.16,71.64,11.898,71.84,7.664,100.0,100.0,100.0,100.0,0.0,75.845,85.112
34,Adaptive learning system,62.16,71.64,11.898,71.84,7.664,100.0,100.0,100.0,100.0,0.0,75.845,85.112
35,Adaptive learning system,62.16,71.64,11.898,71.84,7.664,100.0,100.0,100.0,100.0,0.0,75.845,85.112
36,Adaptive learning system,62.16,71.64,11.898,71.84,7.664,100.0,100.0,100.0,100.0,0.0,75.845,85.112
37,Adaptive learning system,62.16,71.64,11.898,71.84,7.664,100.0,100.0,100.0,100.0,0.0,75.845,85.112
38,Adaptive learning system,62.16,71.64,11.898,71.84,7.664,100.0,100.0,100.0,100.0,0.0,75.845,85.112
39,Adaptive learning system,62.16,71.64,11.898,71.84,7.664,100.0,100.0,100.0,100.0,0.0,75.845,85.112
40,Adaptive learning system,62.16,71.64,11.898,71.84,7.664,100.0,100.0,100.0,100.0,0.0,75.845,85.112
41,Adaptive learning system,62.16,71.64,11.898,71.84,7.664,100.0,100.0,100.0,100.0,0.0,75.845,85.112
42,Adaptive learning system,62.16,71.64,11.898,71.84,7.664,100.0,100.0,100.0,100.0,0.0,75.845,85.112
43,Adaptive learning system,62.16,71.64,11.898,71.84,7.664,100.0,100.0,100.0,100.0,0.0,75.845,85.112
44,Adaptive learning system,62.16,71.64,11.898,71.84,7.664,100.0,100.0,100.0,100.0,0.0,75.845,85.112
45,Adaptive learning system,62.16,71.64,11.898,71.84,7.664,100.0,100.0,100.0,100.0,0.0,75.845,85.112
46,Adaptive learning system,62.16,71.64,11.898,71.84,7.664,100.0,100.0,100.0,100.0,0.0,75.845,85.112
47,Adaptive learning system,62.16,71.64,11.898,71.84,7.664,100.0,100.0,100.0,100.0,0.0,75.845,85.112
48,Adaptive learning system,62.16,71.64,11.898,71.84,7.664,100.0,100.0,100.0,100.0,0.0,75.845,85.112
0,Accountable transformation pathway,60.8,55.792,19.033,65.07,5.907,39.023,46.755,47.564,39.197,7.746,62.301,45.912
1,Accountable transformation pathway,60.8,58.376,17.98,67.036,5.067,43.381,53.742,54.853,45.785,1.65,65.559,51.725
2,Accountable transformation pathway,60.8,61.08,16.889,69.082,4.262,48.087,60.972,62.59,52.57,0.0,68.406,56.945
3,Accountable transformation pathway,60.8,63.908,15.758,71.213,4.081,53.123,68.443,70.559,59.531,0.0,71.175,62.063
4,Accountable transformation pathway,60.8,66.827,14.595,73.402,3.895,58.497,76.165,78.681,66.676,0.0,74.061,67.374
5,Accountable transformation pathway,60.8,69.825,13.4,75.643,3.704,64.22,84.141,86.96,74.007,0.0,77.065,72.881
6,Accountable transformation pathway,60.8,72.905,12.175,77.937,3.508,70.299,92.377,95.4,81.53,0.0,80.189,78.59
7,Accountable transformation pathway,60.8,76.067,10.916,80.286,3.307,76.743,100.0,100.0,89.248,0.0,83.262,83.627
8,Accountable transformation pathway,60.8,78.48,9.758,82.29,3.121,83.446,100.0,100.0,97.135,0.0,84.775,85.866
9,Accountable transformation pathway,60.8,78.48,8.97,83.867,2.995,90.155,100.0,100.0,100.0,0.0,86.196,87.998
10,Accountable transformation pathway,60.8,78.48,8.683,84.44,2.949,96.867,100.0,100.0,100.0,0.0,87.396,89.878
11,Accountable transformation pathway,60.8,78.48,8.683,84.44,2.949,100.0,100.0,100.0,100.0,0.0,87.897,90.687
12,Accountable transformation pathway,60.8,78.48,8.683,84.44,2.949,100.0,100.0,100.0,100.0,0.0,87.897,90.687
13,Accountable transformation pathway,60.8,78.48,8.683,84.44,2.949,100.0,100.0,100.0,100.0,0.0,87.897,90.687
14,Accountable transformation pathway,60.8,78.48,8.683,84.44,2.949,100.0,100.0,100.0,100.0,0.0,87.897,90.687
15,Accountable transformation pathway,60.8,78.48,8.683,84.44,2.949,100.0,100.0,100.0,100.0,0.0,87.897,90.687
16,Accountable transformation pathway,60.8,78.48,8.683,84.44,2.949,100.0,100.0,100.0,100.0,0.0,87.897,90.687
17,Accountable transformation pathway,60.8,78.48,8.683,84.44,2.949,100.0,100.0,100.0,100.0,0.0,87.897,90.687
18,Accountable transformation pathway,60.8,78.48,8.683,84.44,2.949,100.0,100.0,100.0,100.0,0.0,87.897,90.687
19,Accountable transformation pathway,60.8,78.48,8.683,84.44,2.949,100.0,100.0,100.0,100.0,0.0,87.897,90.687
20,Accountable transformation pathway,60.8,78.48,8.683,84.44,2.949,100.0,100.0,100.0,100.0,0.0,87.897,90.687
21,Accountable transformation pathway,60.8,78.48,8.683,84.44,2.949,100.0,100.0,100.0,100.0,0.0,87.897,90.687
22,Accountable transformation pathway,60.8,78.48,8.683,84.44,2.949,100.0,100.0,100.0,100.0,0.0,87.897,90.687
23,Accountable transformation pathway,60.8,78.48,8.683,84.44,2.949,100.0,100.0,100.0,100.0,0.0,87.897,90.687
24,Accountable transformation pathway,60.8,78.48,8.683,84.44,2.949,100.0,100.0,100.0,100.0,0.0,87.897,90.687
25,Accountable transformation pathway,60.8,78.48,8.683,84.44,2.949,100.0,100.0,100.0,100.0,0.0,87.897,90.687
26,Accountable transformation pathway,60.8,78.48,8.683,84.44,2.949,100.0,100.0,100.0,100.0,0.0,87.897,90.687
27,Accountable transformation pathway,60.8,78.48,8.683,84.44,2.949,100.0,100.0,100.0,100.0,0.0,87.897,90.687
28,Accountable transformation pathway,60.8,78.48,8.683,84.44,2.949,100.0,100.0,100.0,100.0,0.0,87.897,90.687
29,Accountable transformation pathway,60.8,78.48,8.683,84.44,2.949,100.0,100.0,100.0,100.0,0.0,87.897,90.687
30,Accountable transformation pathway,60.8,78.48,8.683,84.44,2.949,100.0,100.0,100.0,100.0,0.0,87.897,90.687
31,Accountable transformation pathway,60.8,78.48,8.683,84.44,2.949,100.0,100.0,100.0,100.0,0.0,87.897,90.687
32,Accountable transformation pathway,60.8,78.48,8.683,84.44,2.949,100.0,100.0,100.0,100.0,0.0,87.897,90.687
33,Accountable transformation pathway,60.8,78.48,8.683,84.44,2.949,100.0,100.0,100.0,100.0,0.0,87.897,90.687
34,Accountable transformation pathway,60.8,78.48,8.683,84.44,2.949,100.0,100.0,100.0,100.0,0.0,87.897,90.687
35,Accountable transformation pathway,60.8,78.48,8.683,84.44,2.949,100.0,100.0,100.0,100.0,0.0,87.897,90.687
36,Accountable transformation pathway,60.8,78.48,8.683,84.44,2.949,100.0,100.0,100.0,100.0,0.0,87.897,90.687
37,Accountable transformation pathway,60.8,78.48,8.683,84.44,2.949,100.0,100.0,100.0,100.0,0.0,87.897,90.687
38,Accountable transformation pathway,60.8,78.48,8.683,84.44,2.949,100.0,100.0,100.0,100.0,0.0,87.897,90.687
39,Accountable transformation pathway,60.8,78.48,8.683,84.44,2.949,100.0,100.0,100.0,100.0,0.0,87.897,90.687
40,Accountable transformation pathway,60.8,78.48,8.683,84.44,2.949,100.0,100.0,100.0,100.0,0.0,87.897,90.687
41,Accountable transformation pathway,60.8,78.48,8.683,84.44,2.949,100.0,100.0,100.0,100.0,0.0,87.897,90.687
42,Accountable transformation pathway,60.8,78.48,8.683,84.44,2.949,100.0,100.0,100.0,100.0,0.0,87.897,90.687
43,Accountable transformation pathway,60.8,78.48,8.683,84.44,2.949,100.0,100.0,100.0,100.0,0.0,87.897,90.687
44,Accountable transformation pathway,60.8,78.48,8.683,84.44,2.949,100.0,100.0,100.0,100.0,0.0,87.897,90.687
45,Accountable transformation pathway,60.8,78.48,8.683,84.44,2.949,100.0,100.0,100.0,100.0,0.0,87.897,90.687
46,Accountable transformation pathway,60.8,78.48,8.683,84.44,2.949,100.0,100.0,100.0,100.0,0.0,87.897,90.687
47,Accountable transformation pathway,60.8,78.48,8.683,84.44,2.949,100.0,100.0,100.0,100.0,0.0,87.897,90.687
48,Accountable transformation pathway,60.8,78.48,8.683,84.44,2.949,100.0,100.0,100.0,100.0,0.0,87.897,90.687
