article_slug,article_title,domain_profile,scenario,year,public_trust_capacity,administrative_burden,threshold_margin,administrative_or_system_burden,vulnerability_index,resilience_ratio,intervention_active,regime_classification
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,baseline_pressure,28,0.0,86.95,-86.95,61.9,92.316,0.0,False,shifted_regime
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,baseline_pressure,29,0.0,88.5,-88.5,63.0,92.98,0.0,False,shifted_regime
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,baseline_pressure,30,0.0,90.05,-90.05,64.1,93.644,0.0,False,shifted_regime
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,delayed_response,0,62.774,43.55,19.224,31.1,56.147,1.4414,False,stressed_recoverable
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,delayed_response,1,61.44,45.1,16.34,32.2,57.185,1.3623,False,stressed_recoverable
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,delayed_response,2,59.997,46.65,13.347,33.3,58.253,1.2861,False,stressed_recoverable
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,delayed_response,3,58.446,48.2,10.246,34.4,59.351,1.2126,False,stressed_recoverable
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,delayed_response,4,56.787,49.75,7.037,35.5,60.48,1.1414,False,near_threshold
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,delayed_response,5,55.02,51.3,3.72,36.6,61.638,1.0725,False,near_threshold
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,delayed_response,6,53.144,52.85,0.294,37.7,62.828,1.0056,False,near_threshold
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,delayed_response,7,51.16,54.4,-3.24,38.8,64.047,0.9404,False,shifted_regime
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,delayed_response,8,49.068,55.95,-6.882,39.9,65.297,0.877,False,shifted_regime
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,delayed_response,9,46.868,57.5,-10.632,41.0,66.577,0.8151,False,shifted_regime
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,delayed_response,10,44.559,59.05,-14.491,42.1,67.887,0.7546,False,shifted_regime
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,delayed_response,11,42.142,60.6,-18.458,43.2,69.228,0.6954,False,shifted_regime
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,delayed_response,12,39.617,62.15,-22.533,44.3,70.599,0.6374,False,shifted_regime
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,delayed_response,13,36.984,63.7,-26.716,45.4,72.001,0.5806,False,shifted_regime
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,delayed_response,14,35.978,65.166,-29.188,46.116,72.797,0.5521,True,shifted_regime
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,delayed_response,15,34.882,66.633,-31.751,46.832,73.618,0.5235,True,shifted_regime
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,delayed_response,16,33.694,68.099,-34.405,47.548,74.465,0.4948,True,shifted_regime
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,delayed_response,17,32.415,69.565,-37.15,48.264,75.338,0.466,True,shifted_regime
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,delayed_response,18,31.046,71.031,-39.986,48.98,76.236,0.4371,True,shifted_regime
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,delayed_response,19,29.585,72.498,-42.913,49.696,77.159,0.4081,True,shifted_regime
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,delayed_response,20,28.033,73.964,-45.931,50.412,78.108,0.379,True,shifted_regime
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,delayed_response,21,26.39,75.43,-49.04,51.128,79.083,0.3499,True,shifted_regime
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,delayed_response,22,24.656,76.897,-52.24,51.844,80.083,0.3206,True,shifted_regime
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,delayed_response,23,22.831,78.363,-55.532,52.56,81.109,0.2914,True,shifted_regime
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,delayed_response,24,20.915,79.829,-58.914,53.276,82.16,0.262,True,shifted_regime
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,delayed_response,25,18.908,81.296,-62.387,53.992,83.236,0.2326,True,shifted_regime
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,delayed_response,26,16.81,82.762,-65.952,54.708,84.338,0.2031,True,shifted_regime
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,delayed_response,27,14.621,84.228,-69.607,55.424,85.466,0.1736,True,shifted_regime
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,delayed_response,28,12.341,85.695,-73.353,56.14,86.618,0.144,True,shifted_regime
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,delayed_response,29,9.97,87.161,-77.191,56.856,87.797,0.1144,True,shifted_regime
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,delayed_response,30,7.508,88.627,-81.119,57.572,89.001,0.0847,True,shifted_regime
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,professional_redesign,0,63.16,43.55,19.61,31.1,56.039,1.4503,False,stressed_recoverable
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,professional_redesign,1,62.212,45.1,17.112,32.2,56.969,1.3794,False,stressed_recoverable
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,professional_redesign,2,61.155,46.65,14.505,33.3,57.929,1.3109,False,stressed_recoverable
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,professional_redesign,3,59.991,48.2,11.791,34.4,58.919,1.2446,False,stressed_recoverable
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,professional_redesign,4,58.718,49.75,8.968,35.5,59.939,1.1803,False,near_threshold
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,professional_redesign,5,60.551,51.077,9.474,35.576,59.691,1.1855,True,near_threshold
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,professional_redesign,6,62.322,52.404,9.918,35.652,59.461,1.1893,True,near_threshold
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,professional_redesign,7,64.031,53.73,10.3,35.728,59.248,1.1917,True,stressed_recoverable
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,professional_redesign,8,65.677,55.057,10.62,35.804,59.052,1.1929,True,stressed_recoverable
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,professional_redesign,9,67.261,56.384,10.877,35.88,58.874,1.1929,True,stressed_recoverable
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,professional_redesign,10,68.782,57.711,11.072,35.956,58.713,1.1918,True,stressed_recoverable
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,professional_redesign,11,70.242,59.038,11.204,36.032,58.57,1.1898,True,stressed_recoverable
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,professional_redesign,12,71.638,60.364,11.274,36.108,58.445,1.1868,True,stressed_recoverable
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,professional_redesign,13,72.973,61.691,11.282,36.184,58.336,1.1829,True,stressed_recoverable
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,professional_redesign,14,74.245,63.018,11.227,36.26,58.246,1.1782,True,stressed_recoverable
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,professional_redesign,15,75.455,64.345,11.11,36.336,58.172,1.1727,True,stressed_recoverable
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,professional_redesign,16,76.602,65.672,10.93,36.412,58.117,1.1664,True,stressed_recoverable
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,professional_redesign,17,77.687,66.998,10.689,36.488,58.078,1.1595,True,stressed_recoverable
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,professional_redesign,18,78.71,68.325,10.384,36.564,58.057,1.152,True,stressed_recoverable
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,professional_redesign,19,79.67,69.652,10.018,36.64,58.054,1.1438,True,stressed_recoverable
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,professional_redesign,20,80.568,70.979,9.589,36.716,58.068,1.1351,True,near_threshold
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,professional_redesign,21,81.403,72.306,9.098,36.792,58.099,1.1258,True,near_threshold
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,professional_redesign,22,82.176,73.632,8.544,36.868,58.148,1.116,True,near_threshold
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,professional_redesign,23,82.887,74.959,7.928,36.944,58.215,1.1058,True,near_threshold
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,professional_redesign,24,83.536,76.286,7.25,37.02,58.299,1.095,True,near_threshold
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,professional_redesign,25,84.122,77.613,6.509,37.096,58.4,1.0839,True,near_threshold
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,professional_redesign,26,84.645,78.94,5.706,37.172,58.519,1.0723,True,near_threshold
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,professional_redesign,27,85.107,80.266,4.84,37.248,58.655,1.0603,True,near_threshold
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,professional_redesign,28,85.506,81.593,3.912,37.324,58.809,1.048,True,near_threshold
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,professional_redesign,29,85.842,82.92,2.922,37.4,58.98,1.0352,True,near_threshold
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,professional_redesign,30,86.117,84.247,1.87,37.476,59.168,1.0222,True,near_threshold
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,transformative_change,0,63.377,43.55,19.827,31.1,55.979,1.4553,False,stressed_recoverable
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,transformative_change,1,62.645,45.1,17.545,32.2,56.847,1.389,False,stressed_recoverable
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,transformative_change,2,61.805,46.65,15.155,33.3,57.747,1.3249,False,stressed_recoverable
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,transformative_change,3,64.885,47.865,17.02,32.864,56.95,1.3556,True,stressed_recoverable
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,transformative_change,4,67.925,49.08,18.845,32.428,56.165,1.384,True,stressed_recoverable
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,transformative_change,5,70.926,50.296,20.631,31.992,55.391,1.4102,True,stressed_recoverable
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,transformative_change,6,73.888,51.511,22.377,31.556,54.628,1.4344,True,stressed_recoverable
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,transformative_change,7,76.81,52.726,24.084,31.12,53.876,1.4568,True,stressed_recoverable
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,transformative_change,8,79.693,53.941,25.752,30.684,53.135,1.4774,True,resilient
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,transformative_change,9,82.536,55.156,27.38,30.248,52.405,1.4964,True,resilient
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,transformative_change,10,85.34,56.372,28.968,29.812,51.686,1.5139,True,resilient
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,transformative_change,11,88.104,57.587,30.518,29.376,50.978,1.5299,True,resilient
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,transformative_change,12,90.829,58.802,32.027,28.94,50.281,1.5447,True,resilient
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,transformative_change,13,93.515,60.017,33.498,28.504,49.595,1.5581,True,resilient
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,transformative_change,14,96.161,61.232,34.929,28.068,48.921,1.5704,True,resilient
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,transformative_change,15,98.768,62.448,36.32,27.632,48.257,1.5816,True,resilient
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,transformative_change,16,100.0,63.663,36.337,27.196,47.978,1.5708,True,resilient
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,transformative_change,17,100.0,64.878,35.122,26.76,48.044,1.5414,True,resilient
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,transformative_change,18,100.0,66.093,33.907,26.324,48.11,1.513,True,resilient
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,transformative_change,19,100.0,67.308,32.692,25.888,48.176,1.4857,True,resilient
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,transformative_change,20,100.0,68.524,31.476,25.452,48.242,1.4594,True,resilient
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,transformative_change,21,100.0,69.739,30.261,25.016,48.309,1.4339,True,resilient
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,transformative_change,22,100.0,70.954,29.046,24.58,48.375,1.4094,True,resilient
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,transformative_change,23,100.0,72.169,27.831,24.144,48.441,1.3856,True,resilient
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,transformative_change,24,100.0,73.384,26.616,23.708,48.507,1.3627,True,resilient
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,transformative_change,25,100.0,74.6,25.4,23.272,48.573,1.3405,True,resilient
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,transformative_change,26,100.0,75.815,24.185,22.836,48.639,1.319,True,stressed_recoverable
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,transformative_change,27,100.0,77.03,22.97,22.4,48.705,1.2982,True,stressed_recoverable
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,transformative_change,28,100.0,78.245,21.755,21.964,48.772,1.278,True,stressed_recoverable
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,transformative_change,29,100.0,79.46,20.54,21.528,48.838,1.2585,True,stressed_recoverable
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,transformative_change,30,100.0,80.676,19.324,21.092,48.904,1.2395,True,stressed_recoverable
