period,scenario,boundary_ethics_score,accountability_index,harm_pressure,cumulative_harm,repair_flow,repair_stock,accountability_memory,trust_stock,ethical_leverage,model_risk,ethical_system_score
29,Consultative weak accountability,45.32,47.32,12.291,78.911,5.007,73.942,100.0,100.0,36.433,74.32,33.745
30,Consultative weak accountability,45.32,47.32,12.291,80.723,4.953,75.91,100.0,100.0,36.645,74.32,33.824
31,Consultative weak accountability,45.32,47.32,12.291,82.546,4.898,77.863,100.0,100.0,36.854,74.32,33.897
32,Consultative weak accountability,45.32,47.32,12.291,84.378,4.844,79.803,100.0,100.0,37.058,74.32,33.966
33,Consultative weak accountability,45.32,47.32,12.291,86.22,4.789,81.728,100.0,100.0,37.259,74.32,34.029
34,Consultative weak accountability,45.32,47.32,12.291,88.072,4.733,83.638,100.0,100.0,37.456,74.32,34.087
35,Consultative weak accountability,45.32,47.32,12.291,89.934,4.678,85.535,100.0,100.0,37.649,74.32,34.139
36,Consultative weak accountability,45.32,47.32,12.291,91.806,4.622,87.416,100.0,100.0,37.838,74.32,34.186
37,Consultative weak accountability,45.32,47.32,12.291,93.688,4.566,89.283,100.0,100.0,38.023,74.32,34.228
38,Consultative weak accountability,45.32,47.32,12.291,95.581,4.509,91.136,100.0,100.0,38.205,74.32,34.264
39,Consultative weak accountability,45.32,47.32,12.291,97.483,4.453,92.974,100.0,100.0,38.382,74.32,34.295
40,Consultative weak accountability,45.32,47.32,12.291,99.396,4.395,94.796,100.0,100.0,38.555,74.32,34.32
41,Consultative weak accountability,45.32,47.32,12.291,100.0,4.338,96.604,100.0,100.0,38.856,74.32,34.61
42,Consultative weak accountability,45.32,47.32,12.291,100.0,4.32,98.407,100.0,100.0,39.217,74.32,35.021
43,Consultative weak accountability,45.32,47.32,12.291,100.0,4.32,100.0,100.0,100.0,39.536,74.32,35.384
44,Consultative weak accountability,45.32,47.32,12.291,100.0,4.32,100.0,100.0,100.0,39.536,74.32,35.384
45,Consultative weak accountability,45.32,47.32,12.291,100.0,4.32,100.0,100.0,100.0,39.536,74.32,35.384
46,Consultative weak accountability,45.32,47.32,12.291,100.0,4.32,100.0,100.0,100.0,39.536,74.32,35.384
47,Consultative weak accountability,45.32,47.32,12.291,100.0,4.32,100.0,100.0,100.0,39.536,74.32,35.384
48,Consultative weak accountability,45.32,47.32,12.291,100.0,4.32,100.0,100.0,100.0,39.536,74.32,35.384
0,Accountable redesign,68.08,62.64,1.58,14.541,10.034,25.629,42.788,47.987,54.419,52.4,45.586
1,Accountable redesign,68.08,63.455,1.58,13.083,10.034,29.558,49.641,54.341,55.497,52.4,47.772
2,Accountable redesign,68.08,64.277,1.58,11.624,10.034,33.487,56.56,61.06,56.577,52.4,50.005
3,Accountable redesign,68.08,65.107,1.58,10.166,10.034,37.415,63.545,68.146,57.658,52.4,52.284
4,Accountable redesign,68.08,65.945,1.58,8.707,10.034,41.344,70.598,75.6,58.74,52.4,54.609
5,Accountable redesign,68.08,66.792,1.58,7.249,10.034,45.273,77.718,83.421,59.824,52.4,56.98
6,Accountable redesign,68.08,67.646,1.58,5.79,10.034,49.202,84.907,91.611,60.91,52.4,59.398
7,Accountable redesign,68.08,68.509,1.58,4.332,10.034,53.131,92.164,100.0,61.997,52.4,61.843
8,Accountable redesign,68.08,69.38,1.58,2.873,10.034,57.06,99.491,100.0,63.085,52.4,63.283
9,Accountable redesign,68.08,70.259,1.58,1.415,10.034,60.988,100.0,100.0,64.175,52.4,64.725
10,Accountable redesign,68.08,70.32,1.58,0.0,10.034,64.917,100.0,100.0,65.113,52.4,65.927
11,Accountable redesign,68.08,70.32,1.58,0.0,10.034,68.846,100.0,100.0,65.899,52.4,66.822
12,Accountable redesign,68.08,70.32,1.58,0.0,10.034,72.775,100.0,100.0,66.685,52.4,67.718
13,Accountable redesign,68.08,70.32,1.58,0.0,10.034,76.704,100.0,100.0,67.47,52.4,68.614
14,Accountable redesign,68.08,70.32,1.58,0.0,10.034,80.633,100.0,100.0,68.256,52.4,69.51
15,Accountable redesign,68.08,70.32,1.58,0.0,10.034,84.561,100.0,100.0,69.042,52.4,70.406
16,Accountable redesign,68.08,70.32,1.58,0.0,10.034,88.49,100.0,100.0,69.828,52.4,71.301
17,Accountable redesign,68.08,70.32,1.58,0.0,10.034,92.419,100.0,100.0,70.613,52.4,72.197
18,Accountable redesign,68.08,70.32,1.58,0.0,10.034,96.348,100.0,100.0,71.399,52.4,73.093
19,Accountable redesign,68.08,70.32,1.58,0.0,10.034,100.0,100.0,100.0,72.13,52.4,73.926
20,Accountable redesign,68.08,70.32,1.58,0.0,10.034,100.0,100.0,100.0,72.13,52.4,73.926
21,Accountable redesign,68.08,70.32,1.58,0.0,10.034,100.0,100.0,100.0,72.13,52.4,73.926
22,Accountable redesign,68.08,70.32,1.58,0.0,10.034,100.0,100.0,100.0,72.13,52.4,73.926
23,Accountable redesign,68.08,70.32,1.58,0.0,10.034,100.0,100.0,100.0,72.13,52.4,73.926
24,Accountable redesign,68.08,70.32,1.58,0.0,10.034,100.0,100.0,100.0,72.13,52.4,73.926
25,Accountable redesign,68.08,70.32,1.58,0.0,10.034,100.0,100.0,100.0,72.13,52.4,73.926
26,Accountable redesign,68.08,70.32,1.58,0.0,10.034,100.0,100.0,100.0,72.13,52.4,73.926
27,Accountable redesign,68.08,70.32,1.58,0.0,10.034,100.0,100.0,100.0,72.13,52.4,73.926
28,Accountable redesign,68.08,70.32,1.58,0.0,10.034,100.0,100.0,100.0,72.13,52.4,73.926
29,Accountable redesign,68.08,70.32,1.58,0.0,10.034,100.0,100.0,100.0,72.13,52.4,73.926
30,Accountable redesign,68.08,70.32,1.58,0.0,10.034,100.0,100.0,100.0,72.13,52.4,73.926
31,Accountable redesign,68.08,70.32,1.58,0.0,10.034,100.0,100.0,100.0,72.13,52.4,73.926
32,Accountable redesign,68.08,70.32,1.58,0.0,10.034,100.0,100.0,100.0,72.13,52.4,73.926
33,Accountable redesign,68.08,70.32,1.58,0.0,10.034,100.0,100.0,100.0,72.13,52.4,73.926
34,Accountable redesign,68.08,70.32,1.58,0.0,10.034,100.0,100.0,100.0,72.13,52.4,73.926
35,Accountable redesign,68.08,70.32,1.58,0.0,10.034,100.0,100.0,100.0,72.13,52.4,73.926
36,Accountable redesign,68.08,70.32,1.58,0.0,10.034,100.0,100.0,100.0,72.13,52.4,73.926
37,Accountable redesign,68.08,70.32,1.58,0.0,10.034,100.0,100.0,100.0,72.13,52.4,73.926
38,Accountable redesign,68.08,70.32,1.58,0.0,10.034,100.0,100.0,100.0,72.13,52.4,73.926
39,Accountable redesign,68.08,70.32,1.58,0.0,10.034,100.0,100.0,100.0,72.13,52.4,73.926
40,Accountable redesign,68.08,70.32,1.58,0.0,10.034,100.0,100.0,100.0,72.13,52.4,73.926
41,Accountable redesign,68.08,70.32,1.58,0.0,10.034,100.0,100.0,100.0,72.13,52.4,73.926
42,Accountable redesign,68.08,70.32,1.58,0.0,10.034,100.0,100.0,100.0,72.13,52.4,73.926
43,Accountable redesign,68.08,70.32,1.58,0.0,10.034,100.0,100.0,100.0,72.13,52.4,73.926
44,Accountable redesign,68.08,70.32,1.58,0.0,10.034,100.0,100.0,100.0,72.13,52.4,73.926
45,Accountable redesign,68.08,70.32,1.58,0.0,10.034,100.0,100.0,100.0,72.13,52.4,73.926
46,Accountable redesign,68.08,70.32,1.58,0.0,10.034,100.0,100.0,100.0,72.13,52.4,73.926
47,Accountable redesign,68.08,70.32,1.58,0.0,10.034,100.0,100.0,100.0,72.13,52.4,73.926
48,Accountable redesign,68.08,70.32,1.58,0.0,10.034,100.0,100.0,100.0,72.13,52.4,73.926
0,Repair-centered transformation,82.12,74.4,0.0,9.704,12.754,33.696,44.058,49.705,69.639,40.16,58.903
1,Repair-centered transformation,82.12,75.367,0.0,7.409,12.754,38.692,52.193,57.891,71.042,40.16,61.766
2,Repair-centered transformation,82.12,76.343,0.0,5.113,12.754,43.688,60.407,66.561,72.446,40.16,64.691
3,Repair-centered transformation,82.12,77.329,0.0,2.817,12.754,48.684,68.699,75.714,73.852,40.16,67.676
4,Repair-centered transformation,82.12,78.324,0.0,0.521,12.754,53.68,77.071,85.352,75.26,40.16,70.721
5,Repair-centered transformation,82.12,79.329,0.0,0.0,12.754,58.676,85.523,95.385,76.492,40.16,73.455
6,Repair-centered transformation,82.12,80.343,0.0,0.0,12.754,63.672,94.057,100.0,77.674,40.16,75.435
7,Repair-centered transformation,82.12,81.367,0.0,0.0,12.754,68.668,100.0,100.0,78.858,40.16,76.865
8,Repair-centered transformation,82.12,82.08,0.0,0.0,12.754,73.664,100.0,100.0,79.985,40.16,78.206
9,Repair-centered transformation,82.12,82.08,0.0,0.0,12.754,78.66,100.0,100.0,80.984,40.16,79.345
10,Repair-centered transformation,82.12,82.08,0.0,0.0,12.754,83.656,100.0,100.0,81.984,40.16,80.484
11,Repair-centered transformation,82.12,82.08,0.0,0.0,12.754,88.652,100.0,100.0,82.983,40.16,81.623
12,Repair-centered transformation,82.12,82.08,0.0,0.0,12.754,93.649,100.0,100.0,83.982,40.16,82.762
13,Repair-centered transformation,82.12,82.08,0.0,0.0,12.754,98.645,100.0,100.0,84.981,40.16,83.901
14,Repair-centered transformation,82.12,82.08,0.0,0.0,12.754,100.0,100.0,100.0,85.252,40.16,84.21
15,Repair-centered transformation,82.12,82.08,0.0,0.0,12.754,100.0,100.0,100.0,85.252,40.16,84.21
16,Repair-centered transformation,82.12,82.08,0.0,0.0,12.754,100.0,100.0,100.0,85.252,40.16,84.21
17,Repair-centered transformation,82.12,82.08,0.0,0.0,12.754,100.0,100.0,100.0,85.252,40.16,84.21
18,Repair-centered transformation,82.12,82.08,0.0,0.0,12.754,100.0,100.0,100.0,85.252,40.16,84.21
19,Repair-centered transformation,82.12,82.08,0.0,0.0,12.754,100.0,100.0,100.0,85.252,40.16,84.21
20,Repair-centered transformation,82.12,82.08,0.0,0.0,12.754,100.0,100.0,100.0,85.252,40.16,84.21
21,Repair-centered transformation,82.12,82.08,0.0,0.0,12.754,100.0,100.0,100.0,85.252,40.16,84.21
22,Repair-centered transformation,82.12,82.08,0.0,0.0,12.754,100.0,100.0,100.0,85.252,40.16,84.21
23,Repair-centered transformation,82.12,82.08,0.0,0.0,12.754,100.0,100.0,100.0,85.252,40.16,84.21
24,Repair-centered transformation,82.12,82.08,0.0,0.0,12.754,100.0,100.0,100.0,85.252,40.16,84.21
25,Repair-centered transformation,82.12,82.08,0.0,0.0,12.754,100.0,100.0,100.0,85.252,40.16,84.21
26,Repair-centered transformation,82.12,82.08,0.0,0.0,12.754,100.0,100.0,100.0,85.252,40.16,84.21
27,Repair-centered transformation,82.12,82.08,0.0,0.0,12.754,100.0,100.0,100.0,85.252,40.16,84.21
28,Repair-centered transformation,82.12,82.08,0.0,0.0,12.754,100.0,100.0,100.0,85.252,40.16,84.21
29,Repair-centered transformation,82.12,82.08,0.0,0.0,12.754,100.0,100.0,100.0,85.252,40.16,84.21
30,Repair-centered transformation,82.12,82.08,0.0,0.0,12.754,100.0,100.0,100.0,85.252,40.16,84.21
31,Repair-centered transformation,82.12,82.08,0.0,0.0,12.754,100.0,100.0,100.0,85.252,40.16,84.21
32,Repair-centered transformation,82.12,82.08,0.0,0.0,12.754,100.0,100.0,100.0,85.252,40.16,84.21
33,Repair-centered transformation,82.12,82.08,0.0,0.0,12.754,100.0,100.0,100.0,85.252,40.16,84.21
34,Repair-centered transformation,82.12,82.08,0.0,0.0,12.754,100.0,100.0,100.0,85.252,40.16,84.21
35,Repair-centered transformation,82.12,82.08,0.0,0.0,12.754,100.0,100.0,100.0,85.252,40.16,84.21
36,Repair-centered transformation,82.12,82.08,0.0,0.0,12.754,100.0,100.0,100.0,85.252,40.16,84.21
37,Repair-centered transformation,82.12,82.08,0.0,0.0,12.754,100.0,100.0,100.0,85.252,40.16,84.21
38,Repair-centered transformation,82.12,82.08,0.0,0.0,12.754,100.0,100.0,100.0,85.252,40.16,84.21
39,Repair-centered transformation,82.12,82.08,0.0,0.0,12.754,100.0,100.0,100.0,85.252,40.16,84.21
40,Repair-centered transformation,82.12,82.08,0.0,0.0,12.754,100.0,100.0,100.0,85.252,40.16,84.21
41,Repair-centered transformation,82.12,82.08,0.0,0.0,12.754,100.0,100.0,100.0,85.252,40.16,84.21
42,Repair-centered transformation,82.12,82.08,0.0,0.0,12.754,100.0,100.0,100.0,85.252,40.16,84.21
43,Repair-centered transformation,82.12,82.08,0.0,0.0,12.754,100.0,100.0,100.0,85.252,40.16,84.21
44,Repair-centered transformation,82.12,82.08,0.0,0.0,12.754,100.0,100.0,100.0,85.252,40.16,84.21
45,Repair-centered transformation,82.12,82.08,0.0,0.0,12.754,100.0,100.0,100.0,85.252,40.16,84.21
46,Repair-centered transformation,82.12,82.08,0.0,0.0,12.754,100.0,100.0,100.0,85.252,40.16,84.21
47,Repair-centered transformation,82.12,82.08,0.0,0.0,12.754,100.0,100.0,100.0,85.252,40.16,84.21
48,Repair-centered transformation,82.12,82.08,0.0,0.0,12.754,100.0,100.0,100.0,85.252,40.16,84.21
