article_slug,article_title,domain_profile,scenario,year,human_learning_capacity,workload_pressure,threshold_margin,administrative_or_system_burden,vulnerability_index,resilience_ratio,intervention_active,regime_classification
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,delayed_response,11,46.347,66.0,-19.653,44.4,69.443,0.7022,False,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,delayed_response,12,43.425,67.75,-24.325,45.6,70.996,0.641,False,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,delayed_response,13,40.381,69.5,-29.119,46.8,72.583,0.581,False,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,delayed_response,14,38.954,71.156,-32.202,47.616,73.567,0.5474,True,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,delayed_response,15,37.423,72.811,-35.388,48.432,74.579,0.514,True,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,delayed_response,16,35.79,74.467,-38.677,49.248,75.62,0.4806,True,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,delayed_response,17,34.053,76.122,-42.069,50.064,76.69,0.4473,True,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,delayed_response,18,32.213,77.778,-45.565,50.88,77.788,0.4142,True,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,delayed_response,19,30.27,79.433,-49.163,51.696,78.916,0.3811,True,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,delayed_response,20,28.224,81.089,-52.864,52.512,80.072,0.3481,True,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,delayed_response,21,26.075,82.744,-56.669,53.328,81.258,0.3151,True,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,delayed_response,22,23.823,84.4,-60.576,54.144,82.472,0.2823,True,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,delayed_response,23,21.468,86.055,-64.587,54.96,83.715,0.2495,True,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,delayed_response,24,19.01,87.711,-68.7,55.776,84.987,0.2167,True,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,delayed_response,25,16.449,89.366,-72.917,56.592,86.287,0.1841,True,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,delayed_response,26,13.785,91.022,-77.237,57.408,87.617,0.1514,True,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,delayed_response,27,11.017,92.677,-81.66,58.224,88.975,0.1189,True,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,delayed_response,28,8.147,94.333,-86.186,59.04,90.363,0.0864,True,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,delayed_response,29,5.174,95.988,-90.814,59.856,91.779,0.0539,True,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,delayed_response,30,2.097,97.644,-95.546,60.672,93.224,0.0215,True,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,professional_redesign,0,70.912,46.75,24.162,31.2,54.48,1.5168,False,stressed_recoverable
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,professional_redesign,1,69.704,48.5,21.204,32.4,55.553,1.4372,False,stressed_recoverable
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,professional_redesign,2,68.375,50.25,18.125,33.6,56.66,1.3607,False,stressed_recoverable
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,professional_redesign,3,66.925,52.0,14.925,34.8,57.801,1.287,False,stressed_recoverable
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,professional_redesign,4,65.355,53.75,11.605,36.0,58.976,1.2159,False,stressed_recoverable
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,professional_redesign,5,66.88,55.248,11.632,36.176,58.88,1.2105,True,stressed_recoverable
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,professional_redesign,6,68.331,56.746,11.585,36.352,58.805,1.2042,True,stressed_recoverable
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,professional_redesign,7,69.708,58.244,11.464,36.528,58.75,1.1968,True,stressed_recoverable
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,professional_redesign,8,71.012,59.742,11.27,36.704,58.717,1.1886,True,stressed_recoverable
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,professional_redesign,9,72.243,61.24,11.003,36.88,58.703,1.1797,True,stressed_recoverable
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,professional_redesign,10,73.4,62.738,10.662,37.056,58.711,1.1699,True,stressed_recoverable
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,professional_redesign,11,74.483,64.236,10.247,37.232,58.738,1.1595,True,stressed_recoverable
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,professional_redesign,12,75.492,65.734,9.758,37.408,58.787,1.1485,True,near_threshold
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,professional_redesign,13,76.429,67.232,9.197,37.584,58.856,1.1368,True,near_threshold
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,professional_redesign,14,77.291,68.73,8.561,37.76,58.946,1.1246,True,near_threshold
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,professional_redesign,15,78.08,70.228,7.852,37.936,59.056,1.1118,True,near_threshold
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,professional_redesign,16,78.796,71.726,7.07,38.112,59.187,1.0986,True,near_threshold
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,professional_redesign,17,79.437,73.224,6.213,38.288,59.339,1.0849,True,near_threshold
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,professional_redesign,18,80.006,74.722,5.284,38.464,59.511,1.0707,True,near_threshold
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,professional_redesign,19,80.5,76.22,4.28,38.64,59.704,1.0562,True,near_threshold
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,professional_redesign,20,80.921,77.718,3.203,38.816,59.917,1.0412,True,near_threshold
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,professional_redesign,21,81.269,79.216,2.053,38.992,60.151,1.0259,True,near_threshold
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,professional_redesign,22,81.543,80.714,0.829,39.168,60.405,1.0103,True,near_threshold
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,professional_redesign,23,81.743,82.212,-0.469,39.344,60.68,0.9943,True,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,professional_redesign,24,81.87,83.71,-1.84,39.52,60.976,0.978,True,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,professional_redesign,25,81.924,85.208,-3.284,39.696,61.292,0.9615,True,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,professional_redesign,26,81.903,86.706,-4.803,39.872,61.629,0.9446,True,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,professional_redesign,27,81.809,88.204,-6.395,40.048,61.987,0.9275,True,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,professional_redesign,28,81.642,89.702,-8.06,40.224,62.365,0.9101,True,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,professional_redesign,29,81.401,91.2,-9.799,40.4,62.764,0.8926,True,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,professional_redesign,30,81.086,92.698,-11.612,40.576,63.183,0.8747,True,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,transformative_change,0,71.129,46.75,24.379,31.2,54.419,1.5215,False,stressed_recoverable
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,transformative_change,1,70.138,48.5,21.638,32.4,55.431,1.4461,False,stressed_recoverable
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,transformative_change,2,69.025,50.25,18.775,33.6,56.478,1.3736,False,stressed_recoverable
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,transformative_change,3,71.822,51.622,20.2,33.264,55.824,1.3913,True,stressed_recoverable
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,transformative_change,4,74.569,52.994,21.575,32.928,55.184,1.4071,True,stressed_recoverable
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,transformative_change,5,77.266,54.366,22.9,32.592,54.559,1.4212,True,stressed_recoverable
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,transformative_change,6,79.912,55.738,24.174,32.256,53.947,1.4337,True,stressed_recoverable
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,transformative_change,7,82.509,57.11,25.399,31.92,53.349,1.4447,True,resilient
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,transformative_change,8,85.056,58.482,26.574,31.584,52.765,1.4544,True,resilient
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,transformative_change,9,87.553,59.854,27.699,31.248,52.196,1.4628,True,resilient
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,transformative_change,10,90.0,61.226,28.774,30.912,51.64,1.47,True,resilient
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,transformative_change,11,92.397,62.598,29.799,30.576,51.098,1.476,True,resilient
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,transformative_change,12,94.744,63.97,30.774,30.24,50.57,1.4811,True,resilient
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,transformative_change,13,97.041,65.342,31.699,29.904,50.057,1.4851,True,resilient
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,transformative_change,14,99.288,66.714,32.574,29.568,49.557,1.4883,True,resilient
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,transformative_change,15,100.0,68.086,31.914,29.232,49.487,1.4687,True,resilient
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,transformative_change,16,100.0,69.458,30.542,28.896,49.616,1.4397,True,resilient
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,transformative_change,17,100.0,70.83,29.17,28.56,49.745,1.4118,True,resilient
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,transformative_change,18,100.0,72.202,27.798,28.224,49.875,1.385,True,resilient
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,transformative_change,19,100.0,73.574,26.426,27.888,50.004,1.3592,True,resilient
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,transformative_change,20,100.0,74.946,25.054,27.552,50.133,1.3343,True,resilient
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,transformative_change,21,100.0,76.318,23.682,27.216,50.263,1.3103,True,stressed_recoverable
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,transformative_change,22,100.0,77.69,22.31,26.88,50.392,1.2872,True,stressed_recoverable
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,transformative_change,23,100.0,79.062,20.938,26.544,50.522,1.2648,True,stressed_recoverable
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,transformative_change,24,100.0,80.434,19.566,26.208,50.651,1.2433,True,stressed_recoverable
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,transformative_change,25,100.0,81.806,18.194,25.872,50.78,1.2224,True,stressed_recoverable
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,transformative_change,26,100.0,83.178,16.822,25.536,50.91,1.2022,True,stressed_recoverable
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,transformative_change,27,100.0,84.55,15.45,25.2,51.039,1.1827,True,stressed_recoverable
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,transformative_change,28,100.0,85.922,14.078,24.864,51.168,1.1638,True,stressed_recoverable
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,transformative_change,29,100.0,87.294,12.706,24.528,51.298,1.1456,True,stressed_recoverable
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,transformative_change,30,100.0,88.666,11.334,24.192,51.427,1.1278,True,stressed_recoverable
