period,scenario,engagement_index,creator_metric_pressure,harmful_cascade_risk,moderation_backlog,platform_dependency,governance_readiness,user_trust,public_value_index,platform_risk_index
5,Overloaded moderation,83.122,48.479,39.3,33.406,64.845,17.0,49.836,38.695,27.552
6,Overloaded moderation,87.456,51.28,43.052,37.058,68.525,17.0,44.249,36.458,30.494
7,Overloaded moderation,91.836,54.245,47.076,41.071,72.315,17.0,38.005,34.014,33.649
8,Overloaded moderation,96.263,57.374,51.38,45.464,76.216,17.0,31.055,31.351,37.026
9,Overloaded moderation,100.0,60.642,55.949,50.244,80.21,17.0,23.353,28.464,40.616
10,Overloaded moderation,100.0,63.91,60.665,55.355,84.204,17.0,14.868,25.382,44.339
11,Overloaded moderation,100.0,67.178,65.528,60.806,88.198,17.0,5.566,22.096,48.197
12,Overloaded moderation,100.0,70.446,70.538,66.608,92.192,17.0,0.0,19.609,52.112
13,Overloaded moderation,100.0,73.714,75.695,72.77,96.186,17.0,0.0,18.322,56.054
14,Overloaded moderation,100.0,76.982,80.999,79.304,100.0,17.0,0.0,17.022,60.102
15,Overloaded moderation,100.0,80.25,86.451,86.22,100.0,17.0,0.0,15.888,63.807
16,Overloaded moderation,100.0,83.518,92.049,93.527,100.0,17.0,0.0,14.731,67.645
17,Overloaded moderation,100.0,86.786,97.794,100.0,100.0,17.0,0.0,13.55,71.344
18,Overloaded moderation,100.0,90.054,100.0,100.0,100.0,17.0,0.0,12.936,72.513
19,Overloaded moderation,100.0,93.322,100.0,100.0,100.0,17.0,0.0,12.674,72.991
20,Overloaded moderation,100.0,96.59,100.0,100.0,100.0,17.0,0.0,12.413,73.47
21,Overloaded moderation,100.0,99.858,100.0,100.0,100.0,17.0,0.0,12.151,73.948
22,Overloaded moderation,100.0,100.0,100.0,100.0,100.0,17.0,0.0,12.14,73.969
23,Overloaded moderation,100.0,100.0,100.0,100.0,100.0,17.0,0.0,12.14,73.969
24,Overloaded moderation,100.0,100.0,100.0,100.0,100.0,17.0,0.0,12.14,73.969
25,Overloaded moderation,100.0,100.0,100.0,100.0,100.0,17.0,0.0,12.14,73.969
26,Overloaded moderation,100.0,100.0,100.0,100.0,100.0,17.0,0.0,12.14,73.969
27,Overloaded moderation,100.0,100.0,100.0,100.0,100.0,17.0,0.0,12.14,73.969
28,Overloaded moderation,100.0,100.0,100.0,100.0,100.0,17.0,0.0,12.14,73.969
29,Overloaded moderation,100.0,100.0,100.0,100.0,100.0,17.0,0.0,12.14,73.969
30,Overloaded moderation,100.0,100.0,100.0,100.0,100.0,17.0,0.0,12.14,73.969
31,Overloaded moderation,100.0,100.0,100.0,100.0,100.0,17.0,0.0,12.14,73.969
32,Overloaded moderation,100.0,100.0,100.0,100.0,100.0,17.0,0.0,12.14,73.969
33,Overloaded moderation,100.0,100.0,100.0,100.0,100.0,17.0,0.0,12.14,73.969
34,Overloaded moderation,100.0,100.0,100.0,100.0,100.0,17.0,0.0,12.14,73.969
35,Overloaded moderation,100.0,100.0,100.0,100.0,100.0,17.0,0.0,12.14,73.969
36,Overloaded moderation,100.0,100.0,100.0,100.0,100.0,17.0,0.0,12.14,73.969
0,Balanced governance,54.1,34.99,21.013,17.373,45.823,53.44,73.637,60.487,6.065
1,Balanced governance,56.224,35.032,20.074,16.718,46.698,53.44,75.366,60.97,5.712
2,Balanced governance,58.374,35.125,19.185,16.04,47.627,53.44,77.183,61.459,5.381
3,Balanced governance,60.551,35.27,18.351,15.342,48.611,53.44,79.085,61.95,5.076
4,Balanced governance,62.755,35.468,17.572,14.63,49.65,53.44,81.066,62.442,4.799
5,Balanced governance,64.989,35.72,16.853,13.907,50.745,53.44,83.12,62.934,4.552
6,Balanced governance,67.254,36.026,16.197,13.18,51.896,53.44,85.242,63.424,4.337
7,Balanced governance,69.55,36.387,15.607,12.452,53.105,53.44,87.424,63.909,4.156
8,Balanced governance,71.88,36.804,15.086,11.73,54.372,53.44,89.66,64.388,4.013
9,Balanced governance,74.243,37.278,14.637,11.019,55.698,53.44,91.941,64.857,3.91
10,Balanced governance,76.641,37.809,14.264,10.325,57.084,53.44,94.259,65.315,3.85
11,Balanced governance,79.075,38.399,13.97,9.654,58.531,53.44,96.604,65.759,3.834
12,Balanced governance,81.545,39.048,13.758,9.013,60.04,53.44,98.968,66.185,3.868
13,Balanced governance,84.054,39.758,13.633,8.408,61.611,53.44,100.0,66.297,3.976
14,Balanced governance,86.601,40.528,13.597,7.847,63.246,53.44,100.0,66.159,4.157
15,Balanced governance,89.187,41.361,13.655,7.336,64.946,53.44,100.0,65.998,4.395
16,Balanced governance,91.814,42.256,13.81,6.883,66.711,53.44,100.0,65.814,4.694
17,Balanced governance,94.481,43.216,14.065,6.497,68.543,53.44,100.0,65.604,5.057
18,Balanced governance,97.191,44.24,14.425,6.184,70.443,53.44,100.0,65.37,5.486
19,Balanced governance,99.942,45.331,14.894,5.953,72.411,53.44,100.0,65.109,5.986
20,Balanced governance,100.0,46.423,15.413,5.76,74.381,53.44,100.0,64.84,6.51
21,Balanced governance,100.0,47.515,15.981,5.607,76.351,53.44,100.0,64.563,7.058
22,Balanced governance,100.0,48.607,16.598,5.497,78.321,53.44,100.0,64.279,7.631
23,Balanced governance,100.0,49.699,17.265,5.433,80.291,53.44,100.0,63.986,8.229
24,Balanced governance,100.0,50.791,17.98,5.42,82.261,53.44,100.0,63.686,8.854
25,Balanced governance,100.0,51.883,18.745,5.46,84.231,53.44,100.0,63.378,9.507
26,Balanced governance,100.0,52.975,19.559,5.557,86.201,53.44,100.0,63.062,10.187
27,Balanced governance,100.0,54.067,20.422,5.715,88.171,53.44,100.0,62.738,10.895
28,Balanced governance,100.0,55.159,21.334,5.936,90.141,53.44,100.0,62.406,11.634
29,Balanced governance,100.0,56.251,22.295,6.225,92.111,53.44,100.0,62.066,12.402
30,Balanced governance,100.0,57.343,23.306,6.584,94.081,53.44,100.0,61.719,13.201
31,Balanced governance,100.0,58.435,24.365,7.018,96.051,53.44,100.0,61.363,14.032
32,Balanced governance,100.0,59.527,25.474,7.529,98.021,53.44,100.0,61.0,14.896
33,Balanced governance,100.0,60.619,26.632,8.121,99.991,53.44,100.0,60.629,15.792
34,Balanced governance,100.0,61.711,27.839,8.798,100.0,53.44,100.0,60.348,16.48
35,Balanced governance,100.0,62.803,29.095,9.562,100.0,53.44,100.0,60.06,17.201
36,Balanced governance,100.0,63.895,30.4,10.418,100.0,53.44,99.948,59.752,17.958
0,Public-value platform design,49.012,34.051,19.544,16.626,44.627,67.0,75.337,67.032,2.221
1,Public-value platform design,50.038,33.12,17.062,15.097,44.28,67.0,78.973,68.321,0.865
2,Public-value platform design,51.079,32.206,14.555,13.412,43.959,67.0,82.919,69.679,0.0
3,Public-value platform design,52.138,31.31,12.024,11.568,43.665,67.0,87.186,71.109,0.0
4,Public-value platform design,53.215,30.432,9.469,9.564,43.397,67.0,91.783,72.613,0.0
5,Public-value platform design,54.312,29.573,6.893,7.401,43.157,67.0,96.723,74.193,0.0
6,Public-value platform design,55.43,28.732,4.296,5.075,42.945,67.0,100.0,75.407,0.0
7,Public-value platform design,56.571,27.91,1.679,2.587,42.761,67.0,100.0,75.9,0.0
8,Public-value platform design,57.737,27.108,0.0,0.002,42.606,67.0,100.0,76.241,0.0
9,Public-value platform design,58.904,26.326,0.0,0.0,42.481,67.0,100.0,76.31,0.0
10,Public-value platform design,60.032,25.562,0.0,0.0,42.384,67.0,100.0,76.376,0.0
11,Public-value platform design,61.122,24.817,0.0,0.0,42.314,67.0,100.0,76.439,0.0
12,Public-value platform design,62.175,24.09,0.0,0.0,42.27,67.0,100.0,76.499,0.0
13,Public-value platform design,63.192,23.379,0.0,0.0,42.252,67.0,100.0,76.557,0.0
14,Public-value platform design,64.173,22.685,0.0,0.0,42.258,67.0,100.0,76.612,0.0
15,Public-value platform design,65.119,22.007,0.0,0.0,42.288,67.0,100.0,76.665,0.0
16,Public-value platform design,66.031,21.345,0.0,0.0,42.341,67.0,100.0,76.715,0.0
17,Public-value platform design,66.911,20.697,0.0,0.0,42.416,67.0,100.0,76.763,0.0
18,Public-value platform design,67.757,20.063,0.0,0.0,42.512,67.0,100.0,76.809,0.0
19,Public-value platform design,68.573,19.443,0.0,0.0,42.628,67.0,100.0,76.853,0.0
20,Public-value platform design,69.357,18.836,0.0,0.0,42.764,67.0,100.0,76.895,0.0
21,Public-value platform design,70.111,18.242,0.0,0.0,42.919,67.0,100.0,76.935,0.0
22,Public-value platform design,70.835,17.66,0.0,0.0,43.092,67.0,100.0,76.973,0.0
23,Public-value platform design,71.53,17.09,0.0,0.0,43.282,67.0,100.0,77.009,0.0
24,Public-value platform design,72.196,16.531,0.0,0.0,43.489,67.0,100.0,77.043,0.0
25,Public-value platform design,72.835,15.982,0.0,0.0,43.712,67.0,100.0,77.076,0.0
26,Public-value platform design,73.446,15.444,0.0,0.0,43.95,67.0,100.0,77.107,0.0
27,Public-value platform design,74.03,14.916,0.0,0.0,44.202,67.0,100.0,77.137,0.0
28,Public-value platform design,74.588,14.397,0.0,0.0,44.469,67.0,100.0,77.165,0.0
29,Public-value platform design,75.12,13.887,0.0,0.0,44.749,67.0,100.0,77.192,0.0
30,Public-value platform design,75.626,13.386,0.0,0.0,45.042,67.0,100.0,77.217,0.0
31,Public-value platform design,76.107,12.892,0.0,0.0,45.347,67.0,100.0,77.241,0.0
32,Public-value platform design,76.564,12.407,0.0,0.0,45.663,67.0,100.0,77.264,0.0
33,Public-value platform design,76.996,11.928,0.0,0.0,45.99,67.0,100.0,77.286,0.0
34,Public-value platform design,77.405,11.456,0.0,0.0,46.327,67.0,100.0,77.307,0.0
35,Public-value platform design,77.79,10.991,0.0,0.0,46.673,67.0,100.0,77.327,0.0
36,Public-value platform design,78.151,10.532,0.0,0.0,47.029,67.0,100.0,77.346,0.0
