period,actor_id,actor_group,advantage_index,resource_share,resource_award
5,A004,high_advantage,83.701,0.15163,181957.77
5,A005,low_advantage,25.428,0.04607,55278.31
5,A006,high_advantage,91.117,0.16507,198080.61
5,A007,low_advantage,23.309,0.04223,50671.79
5,A008,high_advantage,95.355,0.17274,207293.67
5,A009,low_advantage,37.083,0.06718,80614.2
5,A010,low_advantage,21.19,0.03839,46065.26
6,A001,high_advantage,87.855,0.15739,188867.56
6,A002,mid_advantage,58.927,0.10557,126679.46
6,A003,low_advantage,29.999,0.05374,64491.36
6,A004,high_advantage,84.641,0.15163,181957.77
6,A005,low_advantage,25.714,0.04607,55278.31
6,A006,high_advantage,92.14,0.16507,198080.61
6,A007,low_advantage,23.571,0.04223,50671.79
6,A008,high_advantage,96.426,0.17274,207293.67
6,A009,low_advantage,37.499,0.06718,80614.2
6,A010,low_advantage,21.428,0.03839,46065.26
7,A001,high_advantage,88.831,0.15739,188867.56
7,A002,mid_advantage,59.582,0.10557,126679.46
7,A003,low_advantage,30.332,0.05374,64491.36
7,A004,high_advantage,85.581,0.15163,181957.77
7,A005,low_advantage,25.999,0.04607,55278.31
7,A006,high_advantage,93.164,0.16507,198080.61
7,A007,low_advantage,23.833,0.04223,50671.79
7,A008,high_advantage,97.497,0.17274,207293.67
7,A009,low_advantage,37.916,0.06718,80614.2
7,A010,low_advantage,21.666,0.03839,46065.26
8,A001,high_advantage,89.807,0.15739,188867.56
8,A002,mid_advantage,60.236,0.10557,126679.46
8,A003,low_advantage,30.666,0.05374,64491.36
8,A004,high_advantage,86.521,0.15163,181957.77
8,A005,low_advantage,26.285,0.04607,55278.31
8,A006,high_advantage,94.187,0.16507,198080.61
8,A007,low_advantage,24.094,0.04223,50671.79
8,A008,high_advantage,98.568,0.17274,207293.67
8,A009,low_advantage,38.332,0.06718,80614.2
8,A010,low_advantage,21.904,0.03839,46065.26
9,A001,high_advantage,90.782,0.15739,188867.56
9,A002,mid_advantage,60.891,0.10557,126679.46
9,A003,low_advantage,30.999,0.05374,64491.36
9,A004,high_advantage,87.461,0.15163,181957.77
9,A005,low_advantage,26.57,0.04607,55278.31
9,A006,high_advantage,95.211,0.16507,198080.61
9,A007,low_advantage,24.356,0.04223,50671.79
9,A008,high_advantage,99.639,0.17274,207293.67
9,A009,low_advantage,38.749,0.06718,80614.2
9,A010,low_advantage,22.142,0.03839,46065.26
10,A001,high_advantage,91.758,0.15739,188867.56
10,A002,mid_advantage,61.545,0.10557,126679.46
10,A003,low_advantage,31.332,0.05374,64491.36
10,A004,high_advantage,88.401,0.15163,181957.77
10,A005,low_advantage,26.856,0.04607,55278.31
10,A006,high_advantage,96.234,0.16507,198080.61
10,A007,low_advantage,24.618,0.04223,50671.79
10,A008,high_advantage,100.71,0.17274,207293.67
10,A009,low_advantage,39.165,0.06718,80614.2
10,A010,low_advantage,22.38,0.03839,46065.26
11,A001,high_advantage,92.734,0.15739,188867.56
11,A002,mid_advantage,62.2,0.10557,126679.46
11,A003,low_advantage,31.665,0.05374,64491.36
11,A004,high_advantage,89.341,0.15163,181957.77
11,A005,low_advantage,27.142,0.04607,55278.31
11,A006,high_advantage,97.258,0.16507,198080.61
11,A007,low_advantage,24.88,0.04223,50671.79
11,A008,high_advantage,101.781,0.17274,207293.67
11,A009,low_advantage,39.582,0.06718,80614.2
11,A010,low_advantage,22.618,0.03839,46065.26
12,A001,high_advantage,93.71,0.15739,188867.56
12,A002,mid_advantage,62.854,0.10557,126679.46
12,A003,low_advantage,31.998,0.05374,64491.36
12,A004,high_advantage,90.281,0.15163,181957.77
12,A005,low_advantage,27.427,0.04607,55278.31
12,A006,high_advantage,98.281,0.16507,198080.61
12,A007,low_advantage,25.142,0.04223,50671.79
12,A008,high_advantage,102.852,0.17274,207293.67
12,A009,low_advantage,39.998,0.06718,80614.2
12,A010,low_advantage,22.856,0.03839,46065.26
