year,scenario,policy_active,travel_demand,vehicle_demand,road_capacity,transit_capacity,transit_mode_share,congestion_index,housing_supply_index,housing_cost_index,transport_cost_index,utility_cost_index,affordability_index,infrastructure_condition,displacement_pressure,climate_risk_index,access_index,urban_resilience_index
24,Deferred maintenance,True,96.25,76.135,71.75,36.283,20.899,58.361,48.852,100.0,36.665,24.0,3.367,0.0,100.0,54.596,77.786,20.808
25,Deferred maintenance,True,96.9,76.583,71.9,36.478,20.967,58.582,49.232,100.0,36.73,24.0,3.345,0.0,100.0,54.599,77.737,20.794
26,Deferred maintenance,True,97.55,77.03,72.05,36.673,21.036,58.801,49.612,100.0,36.794,24.0,3.322,0.0,100.0,54.601,77.689,20.781
27,Deferred maintenance,True,98.2,77.476,72.2,36.868,21.104,59.019,49.992,100.0,36.858,24.0,3.3,0.0,100.0,54.604,77.641,20.767
28,Deferred maintenance,True,98.85,77.921,72.35,37.063,21.172,59.235,50.372,100.0,36.921,24.0,3.278,0.0,100.0,54.607,77.594,20.754
29,Deferred maintenance,True,99.5,78.366,72.5,37.258,21.24,59.45,50.752,100.0,36.984,24.0,3.256,0.0,100.0,54.609,77.548,20.741
30,Deferred maintenance,True,100.15,78.809,72.65,37.453,21.309,59.663,51.132,100.0,37.047,24.0,3.234,0.0,100.0,54.612,77.502,20.729
0,Transit housing coordination,False,80.65,62.041,68.15,38.269,23.074,50.07,46.328,68.015,33.371,19.3,21.853,59.827,41.824,32.621,98.457,49.003
1,Transit housing coordination,False,81.3,62.66,68.3,38.538,22.928,50.458,46.656,74.353,33.533,19.409,18.923,57.65,43.839,33.517,97.263,47.263
2,Transit housing coordination,False,81.95,63.291,68.45,38.807,22.768,50.855,46.984,81.049,33.701,19.518,15.829,55.467,46.055,34.434,96.008,45.46
3,Transit housing coordination,False,82.6,63.937,68.6,39.076,22.595,51.261,47.312,88.14,33.874,19.627,12.556,53.28,48.483,35.373,94.688,43.587
4,Transit housing coordination,True,83.25,63.687,68.75,40.641,23.499,50.95,48.952,94.178,33.603,19.736,9.912,51.922,50.228,36.03,94.222,42.472
5,Transit housing coordination,True,83.9,63.928,68.9,42.206,23.805,51.031,50.592,100.0,33.576,19.804,7.288,50.563,52.148,36.685,93.43,41.204
6,Transit housing coordination,True,84.55,64.157,69.05,43.771,24.12,51.102,52.232,100.0,33.544,19.872,7.285,49.202,54.068,37.025,93.115,40.766
7,Transit housing coordination,True,85.2,64.183,69.2,45.336,24.668,51.013,53.872,100.0,33.414,19.94,7.317,47.843,55.988,37.361,92.93,40.4
8,Transit housing coordination,True,85.85,64.203,69.35,46.901,25.215,50.918,55.512,100.0,33.282,20.008,7.35,46.485,57.908,37.697,92.746,40.034
9,Transit housing coordination,True,86.5,64.215,69.5,48.466,25.763,50.818,57.152,100.0,33.149,20.076,7.383,45.128,59.828,38.032,92.564,39.67
10,Transit housing coordination,True,87.15,64.22,69.65,50.031,26.311,50.712,58.792,100.0,33.013,20.144,7.417,43.773,61.748,38.367,92.384,39.307
11,Transit housing coordination,True,87.8,64.218,69.8,51.596,26.859,50.602,60.432,100.0,32.876,20.211,7.451,42.419,63.668,38.701,92.206,38.945
12,Transit housing coordination,True,88.45,64.209,69.95,53.161,27.406,50.486,62.072,100.0,32.737,20.279,7.486,41.066,65.588,39.035,92.029,38.584
13,Transit housing coordination,True,89.1,64.193,70.1,54.726,27.954,50.365,63.712,100.0,32.596,20.347,7.522,39.714,67.508,39.369,91.854,38.224
14,Transit housing coordination,True,89.75,64.17,70.25,56.291,28.502,50.24,65.352,100.0,32.454,20.414,7.558,38.364,69.428,39.702,91.682,37.865
15,Transit housing coordination,True,90.4,64.139,70.4,57.856,29.05,50.109,66.992,100.0,32.309,20.482,7.595,37.016,71.348,40.035,91.511,37.508
16,Transit housing coordination,True,91.05,64.102,70.55,59.421,29.597,49.973,68.632,100.0,32.163,20.549,7.633,35.669,73.268,40.367,91.341,37.151
17,Transit housing coordination,True,91.7,64.057,70.7,60.986,30.145,49.832,70.272,100.0,32.015,20.617,7.671,34.324,75.188,40.698,91.174,36.796
18,Transit housing coordination,True,92.35,64.005,70.85,62.551,30.693,49.686,71.912,100.0,31.866,20.684,7.71,32.981,77.108,41.029,91.008,36.442
19,Transit housing coordination,True,93.0,63.946,71.0,64.116,31.241,49.536,73.552,100.0,31.714,20.751,7.75,31.64,79.028,41.36,90.845,36.089
20,Transit housing coordination,True,93.65,63.88,71.15,65.681,31.788,49.38,75.192,100.0,31.561,20.818,7.79,30.3,80.948,41.69,90.683,35.737
21,Transit housing coordination,True,94.3,63.807,71.3,67.246,32.336,49.22,76.832,100.0,31.407,20.885,7.831,28.963,82.868,42.02,90.522,35.387
22,Transit housing coordination,True,94.95,63.727,71.45,68.811,32.884,49.055,78.472,100.0,31.25,20.952,7.872,27.627,84.788,42.349,90.364,35.037
23,Transit housing coordination,True,95.6,63.639,71.6,70.376,33.432,48.885,80.112,100.0,31.092,21.019,7.914,26.293,86.708,42.677,90.207,34.69
24,Transit housing coordination,True,96.25,63.545,71.75,71.941,33.979,48.71,81.752,100.0,30.932,21.085,7.957,24.962,88.628,43.005,90.053,34.343
25,Transit housing coordination,True,96.9,63.443,71.9,73.506,34.527,48.531,83.392,100.0,30.771,21.152,8.0,23.632,90.548,43.332,89.899,33.997
26,Transit housing coordination,True,97.55,63.334,72.05,75.071,35.075,48.347,85.032,100.0,30.608,21.218,8.044,22.305,92.468,43.658,89.748,33.653
27,Transit housing coordination,True,98.2,63.219,72.2,76.636,35.623,48.158,86.672,100.0,30.443,21.285,8.088,20.98,94.388,43.984,89.599,33.31
28,Transit housing coordination,True,98.85,63.096,72.35,78.201,36.17,47.965,88.312,100.0,30.277,21.351,8.133,19.658,96.308,44.31,89.451,32.969
29,Transit housing coordination,True,99.5,62.965,72.5,79.766,36.718,47.767,89.952,100.0,30.109,21.417,8.178,18.338,98.228,44.634,89.305,32.629
30,Transit housing coordination,True,100.15,62.828,72.65,81.331,37.266,47.564,91.592,100.0,29.94,21.483,8.224,17.02,100.0,44.958,89.179,32.295
0,Integrated resilient urbanism,False,78.65,59.215,67.15,42.315,24.71,48.501,50.432,62.579,32.528,18.3,28.795,64.065,35.561,28.328,100.0,52.853
1,Integrated resilient urbanism,False,79.3,59.763,67.3,42.63,24.637,48.84,50.864,67.428,32.659,18.397,26.547,62.126,37.268,29.083,100.0,51.724
2,Integrated resilient urbanism,False,79.95,60.319,67.45,42.945,24.554,49.186,51.296,72.574,32.795,18.494,24.165,60.183,39.129,29.855,99.978,50.55
3,Integrated resilient urbanism,True,80.6,59.771,67.6,44.7,25.842,48.631,53.456,76.007,32.369,18.591,22.749,59.566,39.83,30.179,100.0,50.145
4,Integrated resilient urbanism,True,81.25,59.866,67.75,46.455,26.319,48.6,55.616,79.469,32.272,18.622,21.219,58.95,40.634,30.516,99.86,49.58
5,Integrated resilient urbanism,True,81.9,59.955,67.9,48.21,26.795,48.565,57.776,82.977,32.175,18.653,19.669,58.334,41.543,30.856,99.56,48.963
6,Integrated resilient urbanism,True,82.55,60.04,68.05,49.965,27.269,48.526,59.936,86.551,32.076,18.683,18.089,57.719,42.56,31.2,99.243,48.332
7,Integrated resilient urbanism,True,83.2,60.12,68.2,51.72,27.74,48.484,62.096,90.21,31.976,18.714,16.471,57.104,43.686,31.547,98.907,47.685
8,Integrated resilient urbanism,True,83.85,60.198,68.35,53.475,28.208,48.44,64.256,93.972,31.877,18.745,14.807,56.49,44.925,31.901,98.547,47.019
9,Integrated resilient urbanism,True,84.5,60.272,68.5,55.23,28.672,48.394,66.416,97.86,31.777,18.776,13.086,55.876,46.281,32.261,98.164,46.331
10,Integrated resilient urbanism,True,85.15,60.346,68.65,56.985,29.13,48.347,68.576,100.0,31.678,18.806,12.151,55.263,47.701,32.526,97.912,45.888
11,Integrated resilient urbanism,True,85.8,60.353,68.8,58.74,29.659,48.247,70.736,100.0,31.548,18.837,12.191,54.651,49.121,32.674,97.875,45.771
12,Integrated resilient urbanism,True,86.45,60.279,68.95,60.495,30.273,48.083,72.896,100.0,31.38,18.867,12.244,54.041,50.541,32.821,97.886,45.682
13,Integrated resilient urbanism,True,87.1,60.197,69.1,62.25,30.887,47.914,75.056,100.0,31.21,18.898,12.297,53.433,51.961,32.966,97.9,45.595
14,Integrated resilient urbanism,True,87.75,60.107,69.25,64.005,31.502,47.739,77.216,100.0,31.038,18.928,12.351,52.827,53.381,33.111,97.916,45.508
15,Integrated resilient urbanism,True,88.4,60.009,69.4,65.76,32.116,47.558,79.376,100.0,30.864,18.959,12.406,52.223,54.801,33.255,97.933,45.423
16,Integrated resilient urbanism,True,89.05,59.904,69.55,67.515,32.73,47.372,81.536,100.0,30.689,18.989,12.461,51.622,56.221,33.399,97.953,45.34
17,Integrated resilient urbanism,True,89.7,59.79,69.7,69.27,33.344,47.18,83.696,100.0,30.511,19.019,12.517,51.023,57.641,33.542,97.975,45.258
18,Integrated resilient urbanism,True,90.35,59.668,69.85,71.025,33.959,46.983,85.856,100.0,30.331,19.049,12.574,50.426,59.061,33.685,97.999,45.177
19,Integrated resilient urbanism,True,91.0,59.539,70.0,72.78,34.573,46.78,88.016,100.0,30.15,19.079,12.632,49.832,60.481,33.826,98.025,45.098
20,Integrated resilient urbanism,True,91.65,59.401,70.15,74.535,35.187,46.572,90.176,100.0,29.967,19.108,12.69,49.24,61.901,33.967,98.053,45.02
21,Integrated resilient urbanism,True,92.3,59.255,70.3,76.29,35.801,46.359,92.336,100.0,29.781,19.138,12.749,48.65,63.321,34.108,98.083,44.944
22,Integrated resilient urbanism,True,92.95,59.102,70.45,78.045,36.416,46.14,94.496,100.0,29.594,19.167,12.809,48.064,64.741,34.247,98.115,44.869
23,Integrated resilient urbanism,True,93.6,58.94,70.6,79.8,37.03,45.916,96.656,100.0,29.405,19.197,12.869,47.48,66.161,34.386,98.149,44.796
24,Integrated resilient urbanism,True,94.25,58.77,70.75,81.555,37.644,45.687,98.816,100.0,29.215,19.226,12.93,46.898,67.581,34.524,98.185,44.725
25,Integrated resilient urbanism,True,94.9,58.593,70.9,83.31,38.258,45.453,100.0,100.0,29.022,19.255,12.991,46.32,69.001,34.661,98.224,44.655
26,Integrated resilient urbanism,True,95.55,58.407,71.05,85.065,38.873,45.213,100.0,100.0,28.827,19.284,13.054,45.745,70.421,34.797,98.264,44.586
27,Integrated resilient urbanism,True,96.2,58.214,71.2,86.82,39.487,44.968,100.0,100.0,28.631,19.313,13.117,45.172,71.841,34.933,98.306,44.519
28,Integrated resilient urbanism,True,96.85,58.012,71.35,88.575,40.101,44.718,100.0,100.0,28.433,19.341,13.18,44.602,73.261,35.068,98.35,44.454
29,Integrated resilient urbanism,True,97.5,57.802,71.5,90.33,40.715,44.463,100.0,100.0,28.233,19.37,13.244,44.036,74.681,35.202,98.397,44.39
30,Integrated resilient urbanism,True,98.15,57.585,71.65,92.085,41.33,44.203,100.0,100.0,28.032,19.398,13.309,43.472,76.101,35.335,98.445,44.328
