period,scenario,drift_index,feedback_bias_index,group_a_error,group_b_error,false_positive_gap,false_negative_gap,automation_burden,human_review_backlog,contestability_index,governance_readiness,ai_system_risk,public_trust
7,Biased feedback loop,13.493,32.198,18.429,35.898,17.469,9.129,36.329,33.435,12.234,25.41,19.076,66.283
8,Biased feedback loop,15.179,33.223,18.732,36.56,17.828,9.52,36.498,33.6,12.2,25.41,19.68,65.975
9,Biased feedback loop,16.866,34.248,19.036,37.223,18.187,9.911,36.667,33.766,12.167,25.41,20.283,65.666
10,Biased feedback loop,18.553,35.273,19.339,37.885,18.545,10.302,36.835,33.931,12.133,25.41,20.886,65.357
11,Biased feedback loop,20.239,36.298,19.643,38.547,18.904,10.694,37.004,34.097,12.099,25.41,21.49,65.049
12,Biased feedback loop,21.926,37.322,19.947,39.209,19.263,11.085,37.173,34.262,12.065,25.41,22.093,64.74
13,Biased feedback loop,23.612,38.347,20.25,39.872,19.622,11.476,37.341,34.428,12.032,25.41,22.696,64.432
14,Biased feedback loop,25.299,39.372,20.554,40.534,19.98,11.867,37.51,34.594,11.998,25.41,23.299,64.123
15,Biased feedback loop,26.986,40.397,20.857,41.196,20.339,12.258,37.679,34.759,11.964,25.41,23.903,63.814
16,Biased feedback loop,28.672,41.422,21.161,41.859,20.698,12.649,37.847,34.925,11.931,25.41,24.506,63.506
17,Biased feedback loop,30.359,42.446,21.465,42.521,21.056,13.04,38.016,35.09,11.897,25.41,25.109,63.197
18,Biased feedback loop,32.045,43.471,21.768,43.183,21.415,13.431,38.185,35.256,11.863,25.41,25.713,62.889
19,Biased feedback loop,33.732,44.496,22.072,43.845,21.774,13.823,38.353,35.421,11.829,25.41,26.316,62.58
20,Biased feedback loop,35.419,45.521,22.375,44.508,22.132,14.214,38.522,35.587,11.796,25.41,26.919,62.272
21,Biased feedback loop,37.105,46.546,22.679,45.17,22.491,14.605,38.691,35.752,11.762,25.41,27.522,61.963
22,Biased feedback loop,38.792,47.57,22.983,45.832,22.85,14.996,38.859,35.918,11.728,25.41,28.126,61.654
23,Biased feedback loop,40.478,48.595,23.286,46.494,23.208,15.387,39.028,36.084,11.694,25.41,28.729,61.346
24,Biased feedback loop,42.165,49.62,23.59,47.157,23.567,15.778,39.196,36.249,11.661,25.41,29.332,61.037
25,Biased feedback loop,43.852,50.645,23.893,47.819,23.926,16.169,39.365,36.415,11.627,25.41,29.936,60.729
26,Biased feedback loop,45.538,51.67,24.197,48.481,24.284,16.56,39.534,36.58,11.593,25.41,30.539,60.42
27,Biased feedback loop,47.225,52.694,24.5,49.144,24.643,16.952,39.702,36.746,11.56,25.41,31.142,60.111
28,Biased feedback loop,48.911,53.719,24.804,49.806,25.002,17.343,39.871,36.911,11.526,25.41,31.745,59.803
29,Biased feedback loop,50.598,54.744,25.108,50.468,25.36,17.734,40.04,37.077,11.492,25.41,32.349,59.494
30,Biased feedback loop,52.285,55.769,25.411,51.13,25.719,18.125,40.208,37.243,11.458,25.41,32.952,59.186
31,Biased feedback loop,53.971,56.794,25.715,51.793,26.078,18.516,40.377,37.408,11.425,25.41,33.555,58.877
32,Biased feedback loop,55.658,57.818,26.018,52.455,26.436,18.907,40.546,37.574,11.391,25.41,34.159,58.569
33,Biased feedback loop,57.344,58.843,26.322,53.117,26.795,19.298,40.714,37.739,11.357,25.41,34.762,58.26
34,Biased feedback loop,59.031,59.868,26.626,53.779,27.154,19.689,40.883,37.905,11.323,25.41,35.365,57.951
35,Biased feedback loop,60.718,60.893,26.929,54.442,27.512,20.081,41.052,38.07,11.29,25.41,35.968,57.643
36,Biased feedback loop,62.404,61.918,27.233,55.104,27.871,20.472,41.22,38.236,11.256,25.41,36.572,57.334
0,Monitored deployment,1.067,13.654,15.192,24.171,8.979,3.499,13.247,10.103,50.151,60.52,0.0,89.486
1,Monitored deployment,2.134,13.309,15.384,24.242,8.858,3.498,13.353,10.121,50.129,60.52,0.0,89.462
2,Monitored deployment,3.2,12.963,15.576,24.313,8.737,3.497,13.46,10.138,50.108,60.52,0.0,89.439
3,Monitored deployment,4.267,12.618,15.768,24.384,8.616,3.496,13.567,10.156,50.087,60.52,0.0,89.415
4,Monitored deployment,5.334,12.272,15.96,24.455,8.495,3.495,13.673,10.174,50.065,60.52,0.0,89.392
5,Monitored deployment,6.401,11.926,16.152,24.526,8.374,3.494,13.78,10.192,50.044,60.52,0.0,89.368
6,Monitored deployment,7.468,11.581,16.344,24.597,8.253,3.493,13.887,10.209,50.023,60.52,0.169,89.269
7,Monitored deployment,8.534,11.235,16.536,24.669,8.132,3.492,13.993,10.227,50.001,60.52,0.349,89.164
8,Monitored deployment,9.601,10.89,16.728,24.74,8.011,3.49,14.1,10.245,49.98,60.52,0.529,89.06
9,Monitored deployment,10.668,10.544,16.92,24.811,7.89,3.489,14.207,10.263,49.959,60.52,0.709,88.955
10,Monitored deployment,11.735,10.198,17.112,24.882,7.769,3.488,14.313,10.28,49.937,60.52,0.889,88.851
11,Monitored deployment,12.802,9.853,17.304,24.953,7.648,3.487,14.42,10.298,49.916,60.52,1.069,88.746
12,Monitored deployment,13.868,9.507,17.496,25.024,7.528,3.486,14.527,10.316,49.895,60.52,1.249,88.642
13,Monitored deployment,14.935,9.162,17.688,25.095,7.407,3.485,14.634,10.334,49.873,60.52,1.429,88.537
14,Monitored deployment,16.002,8.816,17.88,25.166,7.286,3.484,14.74,10.351,49.852,60.52,1.61,88.433
15,Monitored deployment,17.069,8.47,18.072,25.237,7.165,3.483,14.847,10.369,49.831,60.52,1.79,88.328
16,Monitored deployment,18.136,8.125,18.264,25.308,7.044,3.482,14.954,10.387,49.809,60.52,1.97,88.224
17,Monitored deployment,19.202,7.779,18.456,25.379,6.923,3.481,15.06,10.405,49.788,60.52,2.15,88.119
18,Monitored deployment,20.269,7.434,18.648,25.45,6.802,3.48,15.167,10.423,49.767,60.52,2.33,88.015
19,Monitored deployment,21.336,7.088,18.84,25.521,6.681,3.479,15.274,10.44,49.745,60.52,2.51,87.91
20,Monitored deployment,22.403,6.742,19.033,25.592,6.56,3.478,15.38,10.458,49.724,60.52,2.69,87.806
21,Monitored deployment,23.47,6.397,19.225,25.663,6.439,3.477,15.487,10.476,49.703,60.52,2.87,87.701
22,Monitored deployment,24.536,6.051,19.417,25.734,6.318,3.476,15.594,10.494,49.681,60.52,3.05,87.597
23,Monitored deployment,25.603,5.706,19.609,25.806,6.197,3.475,15.7,10.511,49.66,60.52,3.23,87.492
24,Monitored deployment,26.67,5.36,19.801,25.877,6.076,3.474,15.807,10.529,49.639,60.52,3.41,87.388
25,Monitored deployment,27.737,5.014,19.993,25.948,5.955,3.473,15.914,10.547,49.617,60.52,3.591,87.283
26,Monitored deployment,28.804,4.669,20.185,26.019,5.834,3.471,16.02,10.565,49.596,60.52,3.771,87.179
27,Monitored deployment,29.87,4.323,20.377,26.09,5.713,3.47,16.127,10.582,49.575,60.52,3.951,87.074
28,Monitored deployment,30.937,3.978,20.569,26.161,5.592,3.469,16.234,10.6,49.553,60.52,4.131,86.97
29,Monitored deployment,32.004,3.632,20.761,26.232,5.471,3.468,16.34,10.618,49.532,60.52,4.311,86.865
30,Monitored deployment,33.071,3.286,20.953,26.303,5.35,3.467,16.447,10.636,49.511,60.52,4.491,86.761
31,Monitored deployment,34.138,2.941,21.145,26.374,5.229,3.466,16.554,10.654,49.489,60.52,4.671,86.656
32,Monitored deployment,35.204,2.595,21.337,26.445,5.108,3.465,16.66,10.671,49.468,60.52,4.851,86.552
33,Monitored deployment,36.271,2.25,21.529,26.516,4.987,3.464,16.767,10.689,49.447,60.52,5.031,86.447
34,Monitored deployment,37.338,1.904,21.721,26.587,4.866,3.463,16.874,10.707,49.425,60.52,5.211,86.343
35,Monitored deployment,38.405,1.558,21.913,26.658,4.745,3.462,16.98,10.725,49.404,60.52,5.391,86.238
36,Monitored deployment,39.472,1.213,22.105,26.729,4.624,3.461,17.087,10.742,49.383,60.52,5.572,86.134
0,Accountable human-centered governance,0.777,9.168,14.14,20.749,6.609,2.354,0.0,0.0,79.8,80.88,0.0,100.0
1,Accountable human-centered governance,1.553,8.336,14.28,20.597,6.317,2.208,0.0,0.0,79.8,80.88,0.0,100.0
2,Accountable human-centered governance,2.33,7.503,14.419,20.446,6.026,2.062,0.0,0.0,79.8,80.88,0.0,100.0
3,Accountable human-centered governance,3.106,6.671,14.559,20.294,5.735,1.916,0.0,0.0,79.8,80.88,0.0,100.0
4,Accountable human-centered governance,3.883,5.839,14.699,20.143,5.444,1.77,0.0,0.0,79.8,80.88,0.0,100.0
5,Accountable human-centered governance,4.66,5.007,14.839,19.991,5.152,1.624,0.0,0.0,79.8,80.88,0.0,100.0
6,Accountable human-centered governance,5.436,4.175,14.979,19.84,4.861,1.479,0.0,0.0,79.8,80.88,0.0,100.0
7,Accountable human-centered governance,6.213,3.342,15.118,19.688,4.57,1.333,0.0,0.0,79.8,80.88,0.0,100.0
8,Accountable human-centered governance,6.989,2.51,15.258,19.537,4.279,1.187,0.0,0.0,79.8,80.88,0.0,100.0
9,Accountable human-centered governance,7.766,1.678,15.398,19.385,3.987,1.041,0.0,0.0,79.8,80.88,0.0,100.0
10,Accountable human-centered governance,8.543,0.846,15.538,19.234,3.696,0.895,0.0,0.0,79.8,80.88,0.0,100.0
11,Accountable human-centered governance,9.319,0.014,15.677,19.082,3.405,0.749,0.0,0.0,79.8,80.88,0.0,100.0
12,Accountable human-centered governance,10.096,0.0,15.817,19.217,3.4,0.808,0.0,0.0,79.8,80.88,0.0,100.0
13,Accountable human-centered governance,10.872,0.0,15.957,19.357,3.4,0.87,0.0,0.0,79.8,80.88,0.0,100.0
14,Accountable human-centered governance,11.649,0.0,16.097,19.497,3.4,0.932,0.0,0.0,79.8,80.88,0.0,100.0
15,Accountable human-centered governance,12.426,0.0,16.237,19.637,3.4,0.994,0.0,0.0,79.8,80.88,0.0,100.0
16,Accountable human-centered governance,13.202,0.0,16.376,19.776,3.4,1.056,0.0,0.0,79.8,80.88,0.0,100.0
17,Accountable human-centered governance,13.979,0.0,16.516,19.916,3.4,1.118,0.0,0.0,79.8,80.88,0.0,100.0
18,Accountable human-centered governance,14.755,0.0,16.656,20.056,3.4,1.18,0.0,0.0,79.8,80.88,0.0,100.0
19,Accountable human-centered governance,15.532,0.0,16.796,20.196,3.4,1.243,0.0,0.0,79.8,80.88,0.0,100.0
20,Accountable human-centered governance,16.309,0.0,16.936,20.336,3.4,1.305,0.0,0.0,79.8,80.88,0.0,100.0
21,Accountable human-centered governance,17.085,0.0,17.075,20.475,3.4,1.367,0.0,0.0,79.8,80.88,0.0,100.0
22,Accountable human-centered governance,17.862,0.0,17.215,20.615,3.4,1.429,0.0,0.0,79.8,80.88,0.0,100.0
23,Accountable human-centered governance,18.638,0.0,17.355,20.755,3.4,1.491,0.0,0.0,79.8,80.88,0.0,100.0
24,Accountable human-centered governance,19.415,0.0,17.495,20.895,3.4,1.553,0.0,0.0,79.8,80.88,0.0,100.0
25,Accountable human-centered governance,20.192,0.0,17.634,21.034,3.4,1.615,0.0,0.0,79.8,80.88,0.0,100.0
26,Accountable human-centered governance,20.968,0.0,17.774,21.174,3.4,1.677,0.0,0.0,79.8,80.88,0.0,100.0
27,Accountable human-centered governance,21.745,0.0,17.914,21.314,3.4,1.74,0.0,0.0,79.8,80.88,0.0,100.0
28,Accountable human-centered governance,22.521,0.0,18.054,21.454,3.4,1.802,0.0,0.0,79.8,80.88,0.0,100.0
29,Accountable human-centered governance,23.298,0.0,18.194,21.594,3.4,1.864,0.0,0.0,79.8,80.88,0.0,100.0
30,Accountable human-centered governance,24.075,0.0,18.333,21.733,3.4,1.926,0.0,0.0,79.8,80.88,0.0,100.0
31,Accountable human-centered governance,24.851,0.0,18.473,21.873,3.4,1.988,0.0,0.0,79.8,80.88,0.0,100.0
32,Accountable human-centered governance,25.628,0.0,18.613,22.013,3.4,2.05,0.0,0.0,79.8,80.88,0.0,100.0
33,Accountable human-centered governance,26.404,0.0,18.753,22.153,3.4,2.112,0.0,0.0,79.8,80.88,0.0,100.0
34,Accountable human-centered governance,27.181,0.0,18.893,22.293,3.4,2.174,0.0,0.0,79.8,80.88,0.0,100.0
35,Accountable human-centered governance,27.958,0.0,19.032,22.432,3.4,2.237,0.0,0.0,79.8,80.88,0.0,100.0
36,Accountable human-centered governance,28.734,0.0,19.172,22.572,3.4,2.299,0.0,0.0,79.8,80.88,0.0,100.0
