year,scenario,resilience,pressure,threshold_margin,recovery_time_index,vulnerability_index,intervention_active,regime
3,Transformative adaptation,70.93,43.0,27.93,0.606,49.4,false,resilient regime
4,Transformative adaptation,69.0,45.0,24.0,0.652,49.75,false,stressed but recoverable
5,Transformative adaptation,67.0,47.0,20.0,0.701,50.1,false,stressed but recoverable
6,Transformative adaptation,67.69,38.22,29.47,0.565,48.65,true,stressed but recoverable
7,Transformative adaptation,68.6,31.37,37.23,0.457,47.2,true,stressed but recoverable
8,Transformative adaptation,69.7,26.03,43.67,0.373,45.75,true,stressed but recoverable
9,Transformative adaptation,70.94,21.86,49.07,0.308,44.3,true,resilient regime
10,Transformative adaptation,72.3,18.61,53.68,0.257,42.85,true,resilient regime
11,Transformative adaptation,73.76,16.08,57.68,0.218,41.4,true,resilient regime
12,Transformative adaptation,75.3,14.1,61.2,0.187,39.95,true,resilient regime
13,Transformative adaptation,76.91,12.56,64.35,0.163,38.5,true,resilient regime
14,Transformative adaptation,78.57,11.36,67.22,0.145,37.05,true,resilient regime
15,Transformative adaptation,80.29,10.42,69.87,0.13,35.6,true,resilient regime
16,Transformative adaptation,82.05,9.69,72.36,0.118,34.15,true,resilient regime
17,Transformative adaptation,83.84,9.11,74.73,0.109,32.7,true,resilient regime
18,Transformative adaptation,85.68,8.67,77.01,0.101,31.25,true,resilient regime
19,Transformative adaptation,87.54,8.32,79.22,0.095,29.8,true,resilient regime
20,Transformative adaptation,89.44,8.05,81.39,0.09,28.35,true,resilient regime
21,Transformative adaptation,91.36,7.84,83.52,0.086,26.9,true,resilient regime
22,Transformative adaptation,93.31,7.68,85.64,0.082,25.45,true,resilient regime
23,Transformative adaptation,95.29,7.55,87.74,0.079,24.0,true,resilient regime
24,Transformative adaptation,97.29,7.45,89.84,0.077,22.55,true,resilient regime
25,Transformative adaptation,99.31,7.37,91.95,0.074,21.1,true,resilient regime
26,Transformative adaptation,100.0,7.31,92.69,0.073,19.65,true,resilient regime
27,Transformative adaptation,100.0,7.26,92.74,0.073,18.2,true,resilient regime
28,Transformative adaptation,100.0,7.22,92.78,0.072,16.75,true,resilient regime
29,Transformative adaptation,100.0,7.19,92.81,0.072,15.3,true,resilient regime
30,Transformative adaptation,100.0,7.17,92.83,0.072,13.85,true,resilient regime
31,Transformative adaptation,100.0,7.15,92.85,0.072,12.4,true,resilient regime
32,Transformative adaptation,100.0,7.14,92.86,0.071,10.95,true,resilient regime
33,Transformative adaptation,100.0,7.13,92.87,0.071,9.5,true,resilient regime
34,Transformative adaptation,100.0,7.12,92.88,0.071,8.05,true,resilient regime
35,Transformative adaptation,100.0,7.11,92.89,0.071,6.6,true,resilient regime
